turn,topic_count,episode_count,new_topic_created,new_topic_label,compaction_occurred,compaction_turn
1,1,1,True,topic_1,False,---
2,1,1,False,---,False,---
3,2,2,True,topic_2,False,---
4,2,2,False,---,False,---
5,2,2,False,---,False,---
6,2,2,False,---,False,---
7,2,2,False,---,False,---
8,2,2,False,---,False,---
9,2,2,False,---,False,---
10,2,2,False,---,False,---
11,2,2,False,---,False,---
12,2,2,False,---,False,---
13,2,2,False,---,False,---
14,2,2,False,---,False,---
15,2,2,False,---,False,---
16,2,2,False,---,False,---
17,2,2,False,---,False,---
18,2,2,False,---,False,---
19,2,2,False,---,False,---
20,1,1,False,---,False,---
21,1,1,False,---,False,---
22,1,1,False,---,False,---
23,1,1,False,---,False,---
24,1,1,False,---,False,---
25,1,1,False,---,False,---
26,1,1,False,---,False,---
27,1,1,False,---,False,---
28,1,1,False,---,False,---
29,1,1,False,---,False,---
30,1,1,False,---,False,---
31,2,2,True,topic_3,False,---
32,2,2,False,---,False,---
33,2,2,False,---,False,---
34,2,2,False,---,False,---
35,2,2,False,---,False,---
