turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,45.71761123947041,0.02187340879999101,125,187
2,43.83300876024267,0.022813857142907745,42,504
3,46.221639585123285,0.0216348880951825,84,626
4,49.02355887045133,0.020398355872991183,630,796
5,48.54632373800669,0.02059888211920576,453,1503
6,48.78785365041625,0.02049690497076147,684,2102
7,48.73756465233447,0.02051805434131599,668,2986
8,48.532612056660284,0.02060470182055175,769,3886
9,48.55361019902424,0.020595790836169307,873,4833
10,48.191850433636375,0.02075039640524017,612,5982
11,42.35930866072711,0.02360756187050657,695,6770
12,41.70478422007135,0.023978064356432464,606,6952
13,42.44494735458285,0.023559930270287598,740,6824
14,42.944405750215104,0.023285920075747958,792,6957
15,42.98700163962237,0.02326284601990642,804,7038
16,43.72995859345723,0.022867618268214356,947,7060
17,42.144799070300344,0.023727720194653985,822,8322
18,43.25739304599498,0.023117435647051453,850,6955
19,43.619755907733335,0.022925391928264097,892,7131
20,43.13100328827533,0.023185178265302222,980,8230
21,43.804748754365825,0.022828575175889678,995,7147
22,42.68302649148355,0.023428516724312596,867,8274
23,41.97619052242521,0.02382302890172379,692,7124
24,41.94884894644609,0.023838556363647734,660,6922
25,42.48285370830364,0.02353890835267833,862,8086
26,41.57083675146707,0.024055325274748268,637,7139
27,40.907808196338664,0.024445210928937085,549,6866
28,43.723769680497924,0.022870855081967675,915,6763
29,41.03789495348928,0.024367721617625862,680,8228
30,41.950635962028215,0.023837540887464828,631,6900
31,43.705528775542305,0.022880400443973162,901,6868
32,38.75959582531715,0.025800062634987953,926,14835
33,35.81681408569168,0.027919847857140537,700,15573
34,36.624992756542504,0.027303759666174,719,14629
35,36.61253861781279,0.02731304732618236,748,15284
