turn,stm_candidates,ltm_candidates,duplicates_removed,final_set_size,ltm_episodes_in_final_set,provenance_list
1,0,0,0,0,0,[]
2,0,0,0,0,0,[]
3,0,0,0,0,0,[]
4,0,0,0,0,0,[]
5,0,0,0,0,0,[]
6,0,0,0,0,0,[]
7,0,0,0,0,0,[]
8,0,0,0,0,0,[]
9,0,0,0,0,0,[]
10,0,0,0,0,0,[]
11,0,0,0,0,0,[]
12,0,0,0,0,0,[]
13,0,0,0,0,0,[]
14,0,0,0,0,0,[]
15,0,0,0,0,0,[]
16,0,0,0,0,0,[]
17,1,0,0,1,0,"[{""episode_id"":""1944ffc6-010d-4841-b28d-845af4c38975"",""provenance"":""stm""}]"
18,0,0,0,0,0,[]
19,0,0,0,0,0,[]
20,1,0,0,1,0,"[{""episode_id"":""1944ffc6-010d-4841-b28d-845af4c38975"",""provenance"":""stm""}]"
21,0,0,0,0,0,[]
22,1,0,0,1,0,"[{""episode_id"":""1944ffc6-010d-4841-b28d-845af4c38975"",""provenance"":""stm""}]"
23,0,0,0,0,0,[]
24,0,0,0,0,0,[]
25,1,0,0,1,0,"[{""episode_id"":""4877aaaa-d595-4964-ad34-fd7a944e50a8"",""provenance"":""stm""}]"
26,0,0,0,0,0,[]
27,0,0,0,0,0,[]
28,0,0,0,0,0,[]
29,1,0,0,1,0,"[{""episode_id"":""1944ffc6-010d-4841-b28d-845af4c38975"",""provenance"":""stm""}]"
30,0,0,0,0,0,[]
31,0,0,0,0,0,[]
32,0,5,1,4,4,"[{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""f3cbc15a-57a9-402d-9780-4e18af99a91e"",""provenance"":""ltm""},{""episode_id"":""8cb72b89-562d-4536-9772-056aeb55e3db"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""}]"
33,0,5,2,3,3,"[{""episode_id"":""2ef181a8-4e50-4891-83ca-3773043ca22a"",""provenance"":""ltm""},{""episode_id"":""f3cbc15a-57a9-402d-9780-4e18af99a91e"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""}]"
34,0,5,1,4,4,"[{""episode_id"":""b8ae5b95-34ed-436e-bd11-a49e2fe0936b"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""c48717af-e969-4457-8a76-22c2deb0a025"",""provenance"":""ltm""}]"
35,0,5,3,2,2,"[{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""}]"
36,0,5,0,5,5,"[{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""f3cbc15a-57a9-402d-9780-4e18af99a91e"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""15a5c279-1071-4eeb-88ec-81c75a9bd20e"",""provenance"":""ltm""},{""episode_id"":""c48717af-e969-4457-8a76-22c2deb0a025"",""provenance"":""ltm""}]"
37,0,5,1,4,4,"[{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""8cb72b89-562d-4536-9772-056aeb55e3db"",""provenance"":""ltm""},{""episode_id"":""15a5c279-1071-4eeb-88ec-81c75a9bd20e"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""}]"
38,0,5,1,4,4,"[{""episode_id"":""1944ffc6-010d-4841-b28d-845af4c38975"",""provenance"":""ltm""},{""episode_id"":""15a5c279-1071-4eeb-88ec-81c75a9bd20e"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""}]"
39,0,5,0,5,5,"[{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""62a76ea3-b24a-445f-a879-b94c47e35126"",""provenance"":""ltm""},{""episode_id"":""2ef181a8-4e50-4891-83ca-3773043ca22a"",""provenance"":""ltm""},{""episode_id"":""f3cbc15a-57a9-402d-9780-4e18af99a91e"",""provenance"":""ltm""}]"
40,0,5,1,4,4,"[{""episode_id"":""c48717af-e969-4457-8a76-22c2deb0a025"",""provenance"":""ltm""},{""episode_id"":""15a5c279-1071-4eeb-88ec-81c75a9bd20e"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""}]"
41,0,5,0,5,5,"[{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""1944ffc6-010d-4841-b28d-845af4c38975"",""provenance"":""ltm""},{""episode_id"":""f3cbc15a-57a9-402d-9780-4e18af99a91e"",""provenance"":""ltm""},{""episode_id"":""15a5c279-1071-4eeb-88ec-81c75a9bd20e"",""provenance"":""ltm""}]"
42,0,5,1,4,4,"[{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""5e58a418-51fb-40e5-bd31-d342f46aafde"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""1944ffc6-010d-4841-b28d-845af4c38975"",""provenance"":""ltm""}]"
43,0,5,2,3,3,"[{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""c48717af-e969-4457-8a76-22c2deb0a025"",""provenance"":""ltm""}]"
44,1,5,1,5,4,"[{""episode_id"":""afc2044f-6756-4c73-9868-3a631f83a09f"",""provenance"":""stm""},{""episode_id"":""2ef181a8-4e50-4891-83ca-3773043ca22a"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""fd5b6ed4-0926-4a75-9514-b0db8c85a23e"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""}]"
45,0,5,0,5,5,"[{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""c48717af-e969-4457-8a76-22c2deb0a025"",""provenance"":""ltm""},{""episode_id"":""b8ae5b95-34ed-436e-bd11-a49e2fe0936b"",""provenance"":""ltm""},{""episode_id"":""e02f06b0-3216-4c40-98b2-6e0892b686b6"",""provenance"":""ltm""}]"
46,0,5,3,2,2,"[{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""}]"
47,0,5,1,4,4,"[{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""c48717af-e969-4457-8a76-22c2deb0a025"",""provenance"":""ltm""},{""episode_id"":""15a5c279-1071-4eeb-88ec-81c75a9bd20e"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""}]"
48,0,5,1,4,4,"[{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""15a5c279-1071-4eeb-88ec-81c75a9bd20e"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""c48717af-e969-4457-8a76-22c2deb0a025"",""provenance"":""ltm""}]"
49,0,5,1,4,4,"[{""episode_id"":""b8ae5b95-34ed-436e-bd11-a49e2fe0936b"",""provenance"":""ltm""},{""episode_id"":""8cb72b89-562d-4536-9772-056aeb55e3db"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""}]"
50,0,5,1,4,4,"[{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""f3cbc15a-57a9-402d-9780-4e18af99a91e"",""provenance"":""ltm""},{""episode_id"":""8cb72b89-562d-4536-9772-056aeb55e3db"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""}]"
51,0,5,1,4,4,"[{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""f3cbc15a-57a9-402d-9780-4e18af99a91e"",""provenance"":""ltm""},{""episode_id"":""c48717af-e969-4457-8a76-22c2deb0a025"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""}]"
52,0,5,2,3,3,"[{""episode_id"":""5e58a418-51fb-40e5-bd31-d342f46aafde"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""f3cbc15a-57a9-402d-9780-4e18af99a91e"",""provenance"":""ltm""}]"
53,0,5,2,3,3,"[{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""1944ffc6-010d-4841-b28d-845af4c38975"",""provenance"":""ltm""}]"
54,0,5,0,5,5,"[{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""f3cbc15a-57a9-402d-9780-4e18af99a91e"",""provenance"":""ltm""},{""episode_id"":""b8ae5b95-34ed-436e-bd11-a49e2fe0936b"",""provenance"":""ltm""},{""episode_id"":""62a76ea3-b24a-445f-a879-b94c47e35126"",""provenance"":""ltm""}]"
55,0,5,2,3,3,"[{""episode_id"":""15a5c279-1071-4eeb-88ec-81c75a9bd20e"",""provenance"":""ltm""},{""episode_id"":""f3cbc15a-57a9-402d-9780-4e18af99a91e"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""}]"
56,0,5,2,3,3,"[{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""8cb72b89-562d-4536-9772-056aeb55e3db"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""}]"
57,1,5,1,5,4,"[{""episode_id"":""5ec3507e-6c05-433c-aa3e-d7201f7ecdf3"",""provenance"":""stm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""2ef181a8-4e50-4891-83ca-3773043ca22a"",""provenance"":""ltm""},{""episode_id"":""15a5c279-1071-4eeb-88ec-81c75a9bd20e"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""}]"
58,1,5,1,5,4,"[{""episode_id"":""5ec3507e-6c05-433c-aa3e-d7201f7ecdf3"",""provenance"":""stm""},{""episode_id"":""f3cbc15a-57a9-402d-9780-4e18af99a91e"",""provenance"":""ltm""},{""episode_id"":""2ef181a8-4e50-4891-83ca-3773043ca22a"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""15a5c279-1071-4eeb-88ec-81c75a9bd20e"",""provenance"":""ltm""}]"
59,1,5,2,4,3,"[{""episode_id"":""5ec3507e-6c05-433c-aa3e-d7201f7ecdf3"",""provenance"":""stm""},{""episode_id"":""f3cbc15a-57a9-402d-9780-4e18af99a91e"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""15a5c279-1071-4eeb-88ec-81c75a9bd20e"",""provenance"":""ltm""}]"
60,1,5,0,6,5,"[{""episode_id"":""5ec3507e-6c05-433c-aa3e-d7201f7ecdf3"",""provenance"":""stm""},{""episode_id"":""1944ffc6-010d-4841-b28d-845af4c38975"",""provenance"":""ltm""},{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""62a76ea3-b24a-445f-a879-b94c47e35126"",""provenance"":""ltm""},{""episode_id"":""c48717af-e969-4457-8a76-22c2deb0a025"",""provenance"":""ltm""},{""episode_id"":""15a5c279-1071-4eeb-88ec-81c75a9bd20e"",""provenance"":""ltm""}]"
61,0,5,2,3,3,"[{""episode_id"":""632efe6b-0e15-4dc7-8335-91c21847d879"",""provenance"":""ltm""},{""episode_id"":""e02f06b0-3216-4c40-98b2-6e0892b686b6"",""provenance"":""ltm""},{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""}]"
62,0,5,0,5,5,"[{""episode_id"":""ac489178-dcfa-4013-bd4f-067d2e16bcf8"",""provenance"":""ltm""},{""episode_id"":""b8ae5b95-34ed-436e-bd11-a49e2fe0936b"",""provenance"":""ltm""},{""episode_id"":""51a6efbf-6ebe-43c5-8a8e-49aaa66ab827"",""provenance"":""ltm""},{""episode_id"":""2ef181a8-4e50-4891-83ca-3773043ca22a"",""provenance"":""ltm""},{""episode_id"":""e02f06b0-3216-4c40-98b2-6e0892b686b6"",""provenance"":""ltm""}]"
