turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,43.55218293632257,0.022960961600067095,125,187
2,35.78239092258095,0.02794670714328753,42,504
3,41.16828132945842,0.02429054523790477,84,626
4,47.96299047745961,0.020849408888921422,630,796
5,46.168428603721,0.021659823178807602,453,1503
6,46.624137409949874,0.021448117982480766,684,2102
7,45.59820244237242,0.02193068907187323,668,2986
8,45.269039523690985,0.022090152795856483,769,3886
9,44.67996478216176,0.022381396334476177,873,4833
10,42.06417541544754,0.0237731986927946,612,5982
11,41.96349778279517,0.02383023467624272,695,6770
12,41.536421540258736,0.024075256435626274,606,6952
13,42.59426617631112,0.02347733837837901,740,6824
14,42.97985965943633,0.023266711616180154,792,6957
15,42.95307360144966,0.023281221019914398,804,7038
16,43.92546306259856,0.022765838542780786,947,7060
17,41.962539581463204,0.023830778832121643,822,8322
18,43.115198041875885,0.023193677529411885,850,6955
19,43.377506483094095,0.023053422869978454,892,7131
20,42.91354620781963,0.02330266520406514,980,8230
21,43.590348350346616,0.022940858190963465,995,7147
22,42.16937289227516,0.02371389307957164,867,8274
23,42.186892163176815,0.023704045231207112,692,7124
24,42.18625943037394,0.023704400757560508,660,6922
25,42.9492780983754,0.023283278422270525,862,8086
26,41.51788095290388,0.024086007692308706,637,7139
27,40.81439937359267,0.02450115683062116,549,6866
28,43.47493347231386,0.023001760327864103,915,6763
29,41.07325328950286,0.024346744411784183,680,8228
30,41.50717703817999,0.024092219017452315,631,6900
31,43.60572243946671,0.022932769922300818,901,6868
32,42.64796768763876,0.02344777615956231,1078,9278
33,38.793180021693956,0.025777726895314563,554,8638
34,40.35513848613458,0.024779991780813367,803,10383
35,40.19784196275017,0.024876957348274133,626,8237
36,41.3784009111441,0.02416719781287339,823,9332
37,41.130753418618156,0.024312708056238575,782,9160
38,41.82621751058774,0.023908449281766,905,9331
39,38.89058360678359,0.025713165174141853,603,9615
40,41.84066373588912,0.023900194469005112,904,9319
41,43.50872485895327,0.022983895833348447,1248,9544
42,39.380518838569394,0.025393266251753824,723,10702
43,42.41882881782134,0.023574436821317234,1013,9430
44,40.118113422022226,0.024926396450413973,817,10689
45,37.21311085097233,0.026872249514551708,618,11954
46,42.0114899283409,0.02380301202613148,765,8106
47,41.92938268880342,0.02384962372143471,919,9535
48,40.1213131207026,0.024924408555411906,713,9633
49,40.85782186032969,0.024475117724543593,835,10161
50,41.74940606066196,0.023952436557947633,889,9166
51,42.07386661376114,0.023767722828520094,898,9642
52,42.348335542173196,0.023613678960395876,808,8057
53,40.586809194612066,0.0246385468541033,747,9339
54,39.58436010096619,0.025262502600758012,769,10561
55,37.2811411817135,0.02682321324676892,385,7126
56,40.84702189744326,0.024481588951839668,706,8604
57,38.649266261279166,0.025873712407364684,540,8792
58,42.35865099461161,0.023607928404689015,771,7433
59,41.91454955952316,0.023858063858705977,736,7611
60,38.93439460721712,0.02568423138688366,685,10952
61,41.60570022083213,0.024035168130623032,888,9470
62,44.56878472505129,0.022437228346455642,889,11797
63,43.02747421089804,0.02324096448465755,718,11394
64,45.329822193126745,0.022060532153413734,1017,11829
65,45.25195295710164,0.02209849375888791,705,8602
66,43.36950766314129,0.02305767470931832,688,10576
67,44.71625171278933,0.022363233985329526,818,10556
68,48.347643765121674,0.020683531235940127,1335,9628
69,46.195796293991535,0.021646991289769484,1194,12169
70,46.31225014227367,0.02159255913776479,1067,10827
71,46.08717358100475,0.021698011014764405,1153,12080
72,47.550943154156045,0.021030077085076662,1187,10106
73,41.80917530743633,0.02391819481361873,617,11335
74,42.667729856443486,0.02343691598696537,613,10096
75,43.838720792226354,0.022810884577118495,804,11557
76,41.66264091830926,0.024002319055116243,635,11897
77,44.604132755183485,0.022419447217786992,629,8155
78,43.45456432540552,0.023012542307675476,676,10138
79,43.369200282549436,0.023057838131324095,792,11972
80,44.9848517763996,0.022229705345492103,767,9768
81,45.6525018911989,0.021904604535875057,948,10651
82,44.41824514410716,0.022513271218970413,886,11799
83,45.960431174863864,0.021757846356909468,947,10236
84,44.58786236615216,0.02242762821388645,879,11348
85,44.565194555887324,0.02243903588810641,822,10814
86,44.82502042792664,0.022308969197412466,922,11612
87,42.177264520658866,0.02370945606276077,701,12067
88,44.67303550844609,0.022384867932489953,711,9209
89,42.905265836741556,0.023307162430949407,724,11778
90,42.24670785786893,0.02367048346972529,611,10618
91,42.720204511434915,0.02340812763975252,644,10556
92,45.03638232442735,0.022204270156433246,831,10395
93,44.91438286362857,0.022264582885091685,818,10333
94,43.06384869986361,0.02322133367524968,585,9308
95,42.22086856820563,0.02368496987181947,624,10968
96,45.683060304667116,0.02188995205949101,874,9945
97,45.64306676473236,0.021909132555761643,986,11140
98,47.051427814964576,0.021253340152239817,1051,9721
99,44.90446277442931,0.022269501475239706,949,11803
100,40.31716719584735,0.024803329934921608,461,9602
101,44.040688432711995,0.022706275391854058,638,8973
102,44.40680983955763,0.022519068665662154,667,9108
103,44.88045645138593,0.022281413315909347,766,9723
104,45.021893111505065,0.022211416066474917,722,9141
105,45.27029752406245,0.02208953894037192,755,9146
106,45.75149890809466,0.02185720738917853,812,9240
107,44.50400135239897,0.022469889664114333,774,10120
108,45.57111003582108,0.021943727050184908,817,9462
109,47.378632885012394,0.021106560892691712,941,8286
110,43.67695154912939,0.02289537077410644,633,9351
111,43.10120751537011,0.023201206129628612,571,9058
112,13.720344106166984,0.07288446938809083,49,8957
113,14.378917056704172,0.06954626666642812,54,9339
114,18.26315942613515,0.05475503863635822,88,10732
115,24.593132613607377,0.040661757723646,123,9004
116,29.049088154716845,0.03442448846152939,208,11122
117,35.03956355512638,0.028539168258381386,356,11871
118,22.6913677790841,0.04406962196971466,132,11173
119,28.0420474155652,0.03566073422459636,187,10505
120,47.53200892785462,0.02103845435015859,931,7839
121,30.982718523093272,0.03227605735289627,204,9199
