turn,b_ltm,k_min,topics_present,topic_count,floor_selected_per_topic,floor_selected,fill_selected,containment_drops,refills,collapsed_to_episode,ltm_chars_used,ltm_records_used,budget_utilization,chars_per_topic,selection
1,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
2,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
3,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
4,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
5,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
6,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
7,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
8,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
9,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
10,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
11,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
12,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
13,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
14,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
15,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
16,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
17,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
18,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
19,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
20,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
21,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
22,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
23,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
24,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
25,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
26,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
27,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
28,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
29,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
30,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
31,32000,1,[],0,{},0,0,0,0,0,0,0,0.0000,{},[]
32,32000,1,"[""f2d154ee-1364-4de7-8f5f-2c7ae3b92341""]",1,"{""f2d154ee-1364-4de7-8f5f-2c7ae3b92341"":1}",1,6,5,0,24,28750,7,0.8984,"{""f2d154ee-1364-4de7-8f5f-2c7ae3b92341"":28750}","[{""episode_id"":""908b8c5e-66f8-41d1-b875-63a431b9ff4b"",""distilled_id"":""b7b080a9-9e95-5d27-bccb-3aa55fb9f2a9"",""topic"":""f2d154ee-1364-4de7-8f5f-2c7ae3b92341"",""similarity"":0.232251,""chars"":4538,""phase"":""floor""},{""episode_id"":""62bfa5b3-18a7-41ab-8e05-09ee6d8a9c84"",""distilled_id"":""7a2d30dd-2438-50b7-b85c-3f6d5c04149f"",""topic"":""f2d154ee-1364-4de7-8f5f-2c7ae3b92341"",""similarity"":0.229789,""chars"":3028,""phase"":""fill""},{""episode_id"":""ddf1249b-de7d-413d-ba3c-4104c7725109"",""distilled_id"":""7188a7bd-b8dc-5e14-87e4-8106c4d50bbe"",""topic"":""f2d154ee-1364-4de7-8f5f-2c7ae3b92341"",""similarity"":0.210116,""chars"":4482,""phase"":""fill""},{""episode_id"":""98872452-010e-45d4-965b-c34e338812b0"",""distilled_id"":""39d11edb-b481-51f0-b8b7-b99a16479c8d"",""topic"":""f2d154ee-1364-4de7-8f5f-2c7ae3b92341"",""similarity"":0.209005,""chars"":4615,""phase"":""fill""},{""episode_id"":""1c47e749-3d21-4255-9a63-4bb2cf15c669"",""distilled_id"":""fbeaeb75-f073-5902-9779-1721fff9ccfd"",""topic"":""f2d154ee-1364-4de7-8f5f-2c7ae3b92341"",""similarity"":0.203836,""chars"":4455,""phase"":""fill""},{""episode_id"":""761e828b-48bb-4424-9d65-e17ab7e6b813"",""distilled_id"":""3e8f73a0-ff72-53ee-96ce-6e0aafd755b9"",""topic"":""f2d154ee-1364-4de7-8f5f-2c7ae3b92341"",""similarity"":0.16703,""chars"":4087,""phase"":""fill""},{""episode_id"":""486fa02d-a5b5-48f6-85b2-9dbd84657ae1"",""distilled_id"":""9404e66b-7dea-58b4-9049-4f55b2e9b2af"",""topic"":""f2d154ee-1364-4de7-8f5f-2c7ae3b92341"",""similarity"":0.16372,""chars"":3545,""phase"":""fill""}]"
33,32000,1,"[""f2d154ee-1364-4de7-8f5f-2c7ae3b92341""]",1,"{""f2d154ee-1364-4de7-8f5f-2c7ae3b92341"":1}",1,7,5,0,24,31382,8,0.9807,"{""f2d154ee-1364-4de7-8f5f-2c7ae3b92341"":31382}","[{""episode_id"":""908b8c5e-66f8-41d1-b875-63a431b9ff4b"",""distilled_id"":""9a448704-637c-543d-b083-444cdbfba374"",""topic"":""f2d154ee-1364-4de7-8f5f-2c7ae3b92341"",""similarity"":0.23317,""chars"":4538,""phase"":""floor""},{""episode_id"":""62bfa5b3-18a7-41ab-8e05-09ee6d8a9c84"",""distilled_id"":""7a2d30dd-2438-50b7-b85c-3f6d5c04149f"",""topic"":""f2d154ee-1364-4de7-8f5f-2c7ae3b92341"",""similarity"":0.168143,""chars"":3028,""phase"":""fill""},{""episode_id"":""b8a6e4e7-a2ee-4665-9b86-a0889e7d0e3e"",""distilled_id"":""0c36ce08-05f2-52c7-b5f2-aa9da621b064"",""topic"":""f2d154ee-1364-4de7-8f5f-2c7ae3b92341"",""similarity"":0.159644,""chars"":3739,""phase"":""fill""},{""episode_id"":""486fa02d-a5b5-48f6-85b2-9dbd84657ae1"",""distilled_id"":""9404e66b-7dea-58b4-9049-4f55b2e9b2af"",""topic"":""f2d154ee-1364-4de7-8f5f-2c7ae3b92341"",""similarity"":0.149261,""chars"":3545,""phase"":""fill""},{""episode_id"":""761e828b-48bb-4424-9d65-e17ab7e6b813"",""distilled_id"":""3e8f73a0-ff72-53ee-96ce-6e0aafd755b9"",""topic"":""f2d154ee-1364-4de7-8f5f-2c7ae3b92341"",""similarity"":0.143275,""chars"":4087,""phase"":""fill""},{""episode_id"":""0ab88810-df32-480c-add1-f8d80b77c580"",""distilled_id"":""5bbdc389-7e1d-589a-bced-a04a83c6b003"",""topic"":""f2d154ee-1364-4de7-8f5f-2c7ae3b92341"",""similarity"":0.141869,""chars"":3348,""phase"":""fill""},{""episode_id"":""98872452-010e-45d4-965b-c34e338812b0"",""distilled_id"":""39d11edb-b481-51f0-b8b7-b99a16479c8d"",""topic"":""f2d154ee-1364-4de7-8f5f-2c7ae3b92341"",""similarity"":0.140339,""chars"":4615,""phase"":""fill""},{""episode_id"":""ddf1249b-de7d-413d-ba3c-4104c7725109"",""distilled_id"":""af4550cd-4e27-5916-8147-e885f39ec147"",""topic"":""f2d154ee-1364-4de7-8f5f-2c7ae3b92341"",""similarity"":0.137194,""chars"":4482,""phase"":""fill""}]"
