turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,46.104016932589595,0.021690083999885246,125,187
2,36.43780227661425,0.0274440261903995,42,504
3,41.142388959608496,0.02430583214265339,84,626
4,47.93399206246635,0.02086202206352489,630,796
5,46.111418011625055,0.021686602648998823,453,1503
6,46.94779933227721,0.021300252923942428,684,2102
7,45.71393314223788,0.021875168712535024,668,2986
8,45.31052504817197,0.022069927438202235,769,3886
9,44.87099634806855,0.02228611088202512,873,4833
10,42.42203037042264,0.02357265767970448,612,5982
