turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,46.218660928562265,0.021636282399995252,125,187
2,36.57458144954229,0.027341392857211065,42,504
3,41.13923151754242,0.024307697618843077,84,626
4,47.92244961002678,0.020867046825393722,630,796
5,46.14492699525527,0.02167085452541343,453,1503
6,46.54013587634071,0.021486830263174266,684,2102
7,45.58881033296681,0.02193520718562963,668,2986
8,45.751189645398746,0.02185735513656903,769,3886
9,46.18465521337413,0.0216522131729679,873,4833
10,42.36069127749974,0.02360679133985613,612,5982
