run,turn,assistant_chars,mean_assistant_chars_1_120,median_assistant_chars_1_120,response_budget,model_quantization,sampling_settings,source_artifact
Study 002 C,1,302,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,2,0,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,3,4200,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,4,3943,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,5,3996,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,6,4524,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,7,4374,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,8,4350,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,9,4134,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,10,4345,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,11,4381,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,12,4403,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,13,4220,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,14,4411,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,15,4312,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,16,4083,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,17,3555,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,18,4471,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,19,4533,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,20,4108,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,21,4091,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,22,4220,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,23,4151,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,24,4285,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,25,4337,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,26,4459,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,27,4408,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,28,4345,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,29,4320,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,30,4346,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,31,4400,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,32,4402,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,33,4232,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,34,4499,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,35,4335,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,36,4452,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,37,4133,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,38,4352,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,39,4407,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,40,4100,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,41,3945,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,42,4542,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,43,4259,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,44,4243,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,45,4638,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,46,4527,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,47,4395,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,48,3053,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,49,4205,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,50,4298,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,51,4236,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,52,4317,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,53,4564,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,54,4397,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,55,1096,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,56,3477,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,57,4354,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,58,4142,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,59,4169,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,60,3231,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,61,4134,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,62,4631,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,63,4354,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,64,4377,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,65,3627,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,66,4493,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,67,4348,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,68,4303,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,69,4647,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,70,4753,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,71,4302,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,72,4938,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,73,2702,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
Study 002 C,74,2906,3986.250,4300.000,not preserved in a launch manifest,not preserved in a launch manifest,not preserved in a launch manifest,experiments/study_002/runs/run_001/iterative/study.db
