turn,ltm_records,ltm_chars,stm_episodes,overlap_count,jaccard,duplicate_chars,unique_chars,containment_drops,refills
1,0,0,0,0,0.000000,0,0,0,0
2,0,0,1,0,0.000000,0,0,0,0
3,0,0,2,0,0.000000,0,0,0,0
4,0,0,3,0,0.000000,0,0,0,0
5,0,0,4,0,0.000000,0,0,0,0
6,0,0,5,0,0.000000,0,0,0,0
7,0,0,6,0,0.000000,0,0,0,0
8,0,0,7,0,0.000000,0,0,0,0
9,0,0,8,0,0.000000,0,0,0,0
10,0,0,9,0,0.000000,0,0,0,0
11,0,0,10,0,0.000000,0,0,0,0
12,0,0,10,0,0.000000,0,0,0,0
13,0,0,10,0,0.000000,0,0,0,0
14,0,0,10,0,0.000000,0,0,0,0
15,0,0,10,0,0.000000,0,0,0,0
16,0,0,10,0,0.000000,0,0,0,0
17,0,0,11,0,0.000000,0,0,0,0
18,0,0,10,0,0.000000,0,0,0,0
19,0,0,10,0,0.000000,0,0,0,0
20,0,0,11,0,0.000000,0,0,0,0
21,0,0,10,0,0.000000,0,0,0,0
22,0,0,11,0,0.000000,0,0,0,0
23,0,0,10,0,0.000000,0,0,0,0
24,0,0,10,0,0.000000,0,0,0,0
25,0,0,11,0,0.000000,0,0,0,0
26,0,0,10,0,0.000000,0,0,0,0
27,0,0,10,0,0.000000,0,0,0,0
28,0,0,10,0,0.000000,0,0,0,0
29,0,0,11,0,0.000000,0,0,0,0
30,0,0,10,0,0.000000,0,0,0,0
31,0,0,10,0,0.000000,0,0,0,0
32,7,30692,10,0,0.000000,0,30692,5,0
33,8,33591,10,0,0.000000,0,33591,5,0
34,7,30884,10,0,0.000000,0,30884,5,0
35,8,33591,10,0,0.000000,0,33591,5,0
36,8,33591,10,0,0.000000,0,33591,5,0
37,8,33959,10,0,0.000000,0,33959,5,0
38,7,31202,10,0,0.000000,0,31202,5,0
39,7,31783,10,0,0.000000,0,31783,5,0
40,7,30692,10,0,0.000000,0,30692,5,0
41,8,33774,10,0,0.000000,0,33774,5,0
42,7,31709,10,0,0.000000,0,31709,5,0
43,8,33591,10,0,0.000000,0,33591,5,0
44,7,32843,10,0,0.000000,0,32843,5,0
45,7,32843,10,0,0.000000,0,32843,5,0
46,7,30884,10,0,0.000000,0,30884,5,0
47,8,33591,10,0,0.000000,0,33591,5,0
48,7,31401,10,0,0.000000,0,31401,5,0
49,8,33974,10,0,0.000000,0,33974,5,0
50,7,31783,10,0,0.000000,0,31783,5,0
51,7,30493,10,0,0.000000,0,30493,5,0
52,8,33591,10,0,0.000000,0,33591,5,0
53,8,33774,10,0,0.000000,0,33774,5,0
54,7,30692,10,0,0.000000,0,30692,5,0
55,8,33570,10,0,0.000000,0,33570,5,0
56,8,33567,10,0,0.000000,0,33567,5,0
57,7,31199,11,0,0.000000,0,31199,5,0
58,7,30457,11,0,0.000000,0,30457,5,0
59,8,33962,11,0,0.000000,0,33962,5,0
60,7,30884,11,0,0.000000,0,30884,5,0
61,7,32843,10,0,0.000000,0,32843,5,0
62,7,32672,10,0,0.000000,0,32672,5,0
63,8,34074,10,0,0.000000,0,34074,5,0
64,8,33395,10,0,0.000000,0,33395,5,0
65,8,34110,10,0,0.000000,0,34110,5,0
66,8,33717,10,0,0.000000,0,33717,5,0
67,8,34182,10,0,0.000000,0,34182,5,0
68,8,33669,10,0,0.000000,0,33669,5,0
69,8,33833,10,0,0.000000,0,33833,5,0
70,8,33421,10,0,0.000000,0,33421,5,0
71,8,33943,10,0,0.000000,0,33943,5,0
72,7,32573,10,0,0.000000,0,32573,5,0
73,7,33620,10,0,0.000000,0,33620,5,0
74,8,33833,10,0,0.000000,0,33833,5,0
75,8,32885,10,0,0.000000,0,32885,5,0
76,7,32681,10,0,0.000000,0,32681,5,0
77,8,34042,10,0,0.000000,0,34042,5,0
78,8,32740,10,0,0.000000,0,32740,5,0
79,8,33793,11,0,0.000000,0,33793,5,0
80,8,33263,11,0,0.000000,0,33263,5,0
81,7,33343,10,0,0.000000,0,33343,5,0
82,8,34021,10,0,0.000000,0,34021,5,0
83,8,32926,10,0,0.000000,0,32926,5,0
84,8,32926,10,0,0.000000,0,32926,5,0
85,7,33862,11,0,0.000000,0,33862,5,0
86,8,34170,11,0,0.000000,0,34170,5,0
87,8,33331,10,0,0.000000,0,33331,5,0
88,8,34137,10,0,0.000000,0,34137,5,0
89,8,33918,10,0,0.000000,0,33918,5,0
90,8,34132,10,0,0.000000,0,34132,5,0
91,8,33462,10,0,0.000000,0,33462,5,0
92,9,33598,10,0,0.000000,0,33598,5,0
93,8,33961,10,0,0.000000,0,33961,5,0
94,8,34053,10,0,0.000000,0,34053,5,0
95,8,33173,10,0,0.000000,0,33173,5,0
96,7,33372,10,0,0.000000,0,33372,5,0
97,8,33750,10,0,0.000000,0,33750,5,0
98,7,33179,10,0,0.000000,0,33179,5,0
99,8,33341,10,0,0.000000,0,33341,5,0
100,8,32941,10,0,0.000000,0,32941,5,0
101,8,34174,10,0,0.000000,0,34174,5,0
102,8,32673,10,0,0.000000,0,32673,5,0
103,8,34072,10,0,0.000000,0,34072,5,0
104,9,33723,10,0,0.000000,0,33723,5,0
105,7,33176,10,0,0.000000,0,33176,5,0
106,8,34027,10,0,0.000000,0,34027,5,0
107,7,33613,10,0,0.000000,0,33613,5,0
108,7,33716,10,0,0.000000,0,33716,5,0
109,8,33827,10,0,0.000000,0,33827,5,0
110,8,33772,10,0,0.000000,0,33772,5,0
111,8,32673,10,0,0.000000,0,32673,5,0
112,8,33462,10,0,0.000000,0,33462,6,0
113,8,33873,11,0,0.000000,0,33873,6,0
114,7,33774,10,0,0.000000,0,33774,5,0
115,7,32143,11,0,0.000000,0,32143,6,0
116,7,31698,12,0,0.000000,0,31698,6,0
117,7,33711,13,0,0.000000,0,33711,6,0
118,8,33194,10,0,0.000000,0,33194,5,0
119,8,33454,10,0,0.000000,0,33454,5,0
120,7,33487,10,0,0.000000,0,33487,5,0
121,8,34132,10,0,0.000000,0,34132,5,0
