turn,estimated_tokens,rule_token_estimate,k_token_estimate,n_token_estimate,total_episodes_in_context
1,182,0,0,0,0
2,499,147,0,211,1
3,621,147,0,290,2
4,798,147,0,426,3
5,1144,147,0,773,4
6,1579,147,0,1177,5
7,2326,147,0,1900,6
8,3151,147,0,2696,7
9,4043,147,0,3562,8
10,4707,147,0,4194,9
11,5456,147,0,4916,10
12,5376,147,0,4841,10
13,6176,147,647,4953,11
14,5714,147,0,5168,10
15,6151,147,647,4925,11
16,5418,147,0,4877,10
17,5624,147,0,5086,10
18,7160,147,1330,5213,12
19,5878,147,0,5341,10
20,6863,147,1330,4918,12
21,6869,147,1330,4931,12
22,7996,147,2222,5127,13
23,6811,147,974,5262,11
24,5515,147,0,4982,10
25,9960,147,2550,6686,13
26,5595,147,0,5054,10
27,7066,147,1330,5124,12
28,5532,147,0,4997,10
29,5691,147,0,5153,10
30,5508,147,0,4968,10
31,5549,147,0,4985,10
32,5874,147,0,5322,10
33,5766,147,0,5216,10
34,5412,147,0,4870,10
35,5521,147,0,4974,10
