turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,42.93162319038993,0.023292853278928573,122,182
2,34.09121624413818,0.029333069047424942,42,499
3,39.137721363664966,0.025550797674398825,86,621
4,42.801965892683405,0.02336341285134617,249,798
5,42.926860139156595,0.023295437792521655,299,1144
6,43.85668828471254,0.02280153926598643,545,1579
7,43.172092175934935,0.023163111853018364,599,2326
8,42.76996169524083,0.023380895384605256,650,3151
9,40.73299690252772,0.024550120934950022,492,4043
10,41.04575304711381,0.024363056486067233,609,4707
11,38.79496485096484,0.02577654094652775,486,5456
12,39.941769819856454,0.025036446920358172,552,5376
13,40.752520909920186,0.024538359288506614,759,6176
14,39.4081198541544,0.02537548108615438,534,5714
15,38.48136169100624,0.025986606399994342,500,6151
16,40.92060137823407,0.02443756851852882,702,5418
17,41.92206469444641,0.02385378695654926,920,5624
18,40.727649273357336,0.024553344419368846,887,7160
19,39.275486351284606,0.025461174205607066,535,5878
20,38.71136841484438,0.02583220487800005,574,6863
21,39.98423759178524,0.025009855388750744,733,6869
22,39.60127831140907,0.025251710112395576,801,7996
23,39.18747343909897,0.025518358603906787,616,6811
24,43.90542625405945,0.022776228027339585,2048,5515
25,37.354370632008994,0.026770629061090352,671,9960
26,40.29648998721007,0.02481605718804282,633,5595
27,38.39970279594897,0.026041868222623235,557,7066
28,41.34072180112193,0.02418922448453383,776,5532
29,40.03999189006362,0.024975030033614006,596,5691
30,40.19458496570601,0.02487897314658677,607,5508
31,41.85741367264918,0.023890630410675094,901,5549
32,41.0195534582098,0.024378617407885418,787,5874
33,38.97895448920295,0.02565486973943842,499,5766
34,40.231611304188334,0.024856076293814623,599,5412
35,40.09859652594332,0.024938528692719,589,5521
36,40.94996742255285,0.024420043847196284,707,5515
37,41.292305412941964,0.024217587029824128,771,5637
38,41.39414888410946,0.024158003654083673,821,5657
39,39.64152737189104,0.025226071402815794,556,5781
40,41.523726139303086,0.024082617167958797,798,5480
41,41.71108462691386,0.02397444249998609,880,5714
42,40.188974047596055,0.024882446583873816,644,5825
43,41.61737996897795,0.02402842275860256,1015,6548
44,40.839756577294544,0.024485944183025923,765,5959
45,40.44996835027105,0.024721898206214524,669,5666
46,41.09435121257995,0.024334244743931532,742,5652
47,40.98481228209228,0.024399282180851554,752,5757
48,40.60073912761388,0.024630093478270387,690,5707
49,40.42260004393681,0.024738636280522856,656,5651
50,40.73347241411078,0.02454983434345221,693,5592
51,40.89638180898712,0.024452040883974888,724,5575
52,40.39639542840127,0.02475468391164761,634,5688
53,40.859126952384536,0.024474335958410393,673,5517
54,39.579186091895856,0.02526580505415592,554,5643
55,37.28952910015676,0.026817179624716584,373,5503
56,38.67675541467813,0.025855322900754294,524,6231
57,39.312337206815066,0.025437307243758662,566,6011
58,39.257323458970255,0.025472954136701368,556,6050
59,40.40779671638738,0.024747699237816893,656,5991
60,39.59809533170924,0.02525373989892951,594,6043
61,42.602385213902586,0.023472864136106317,1146,5520
62,41.76941512137241,0.023940962474438,978,6174
63,40.271559980433885,0.02483141950512606,687,5972
64,41.49388975048577,0.02409993389420169,832,5642
65,40.7812525019973,0.024521071292526488,735,5834
66,38.10584822521914,0.02624269099298469,433,5718
67,38.12358491057549,0.02623048179612825,412,5388
68,41.25218569796485,0.024241139786426745,749,5399
69,39.445093437975764,0.025351695555555463,540,5684
70,40.715046726398484,0.02456094442725098,646,5426
71,41.88556873772137,0.023874571365182836,901,5637
72,40.27453852121144,0.02482958307451068,644,5948
73,41.092109768906184,0.024335572099456568,724,5579
74,37.51869083837909,0.026653382025181634,395,5733
75,39.9344406927754,0.02504104183387027,698,6453
76,39.8478497918519,0.025095456975058168,681,6642
77,40.71046151882909,0.024563710719356195,709,5695
78,41.35515947636696,0.024180779681709737,817,5675
79,38.76718240113155,0.025795013670397972,534,6391
80,40.10827741209507,0.024932509310370922,580,5604
81,40.48216086748173,0.0247022386792419,636,5525
82,39.433477981472905,0.025359163106785345,515,5575
83,40.67992311352731,0.024582150689155792,653,5503
84,38.907522890408366,0.02570197035716514,560,6362
85,41.44330421096504,0.02412935018186655,825,5502
86,40.418323130385374,0.02474125402912195,757,6780
87,38.920067494019904,0.02569368617240067,499,5746
88,40.36456162195479,0.02477420687398442,611,5468
89,39.64174777744524,0.025225931147490045,549,5631
90,37.19788170609586,0.02688325125342079,359,5518
91,40.196023885904914,0.02487808253966778,567,5269
92,41.15093090606475,0.024300786834754732,714,5458
93,38.93340301343086,0.025684885537876817,567,6415
94,39.13954591049438,0.025549606586822277,501,5483
95,40.92519009668053,0.024434828467201443,685,5348
96,41.75240558760317,0.023950715795329237,899,5548
97,41.570098601227286,0.024055752419371856,992,6490
98,41.50775906457392,0.024091881193689425,888,5898
99,37.82275986440921,0.0264391071298049,547,7365
100,36.76231088007218,0.02720177203392489,354,5420
101,40.43760496869283,0.024729456672179503,607,5168
102,38.62417763666226,0.025890518871547315,514,5982
103,39.458324031246214,0.025343194992471577,659,6686
104,39.917191366978244,0.0250518627627508,666,5996
105,40.452004073079024,0.024720654091536197,721,6069
106,38.933245647335255,0.025684989354809777,620,6917
107,39.37644962136059,0.025395890427295627,585,5935
108,38.67275763101853,0.025857995686294766,510,5970
109,42.15108184430273,0.023724183490563554,1060,5868
110,40.16188151080354,0.024899231868183273,728,6553
111,40.25510770877594,0.024841568111914205,715,6097
112,20.02295749844217,0.04994267205920016,68,5667
113,21.32518295763027,0.046892915384915586,65,4802
114,25.153084240162862,0.03975655591385739,93,4795
115,22.994864890989547,0.043487970237731044,84,5404
116,32.98496940340074,0.030316838793153472,232,5761
117,32.693833934982166,0.030586807346874276,245,6497
118,28.10793199712438,0.035577145985065936,137,5528
119,39.004316212448664,0.02563818820853572,441,4869
120,40.8231232058563,0.024495920974918074,677,5233
121,32.50309740777757,0.030766298591614016,213,5408
