arm,turn,estimated_tokens,tokens_per_second,output_tokens
L,1,121,37.081190,51
L,2,218,40.525872,83
L,3,325,41.105090,101
L,4,490,33.221221,41
L,5,588,32.970512,43
L,6,668,36.036162,72
L,7,792,36.885435,86
L,8,922,35.042695,73
L,9,1044,34.134534,70
L,10,1184,31.598753,60
L,11,1292,34.466964,86
L,12,1347,26.920516,41
L,13,1278,27.737174,43
L,14,1262,30.221310,55
L,15,1303,29.194090,50
L,16,1298,33.201032,74
L,17,1436,32.116587,70
L,18,1528,30.182927,60
L,19,1468,34.031375,86
L,20,1453,26.583370,41
L,21,1370,27.204964,43
L,22,1393,32.296173,70
L,23,1427,28.874524,50
L,24,1434,30.498791,59
L,25,1704,30.776693,70
L,26,1732,28.838096,60
L,27,1640,33.226035,86
L,28,1555,25.888099,41
L,29,1458,26.737499,43
L,30,1520,29.178044,55
L,31,1547,28.164793,50
L,32,1566,32.006347,74
L,33,1972,30.017890,70
L,34,1937,30.245848,75
L,35,1812,32.393580,86
L,36,1657,25.506479,41
L,37,1547,26.091685,43
L,38,1648,31.350649,68
L,39,1667,27.782779,50
L,40,1301,28.423949,48
L,41,2211,28.818193,70
L,42,2141,26.778870,60
L,43,1984,31.893171,86
L,44,1759,24.803415,41
L,45,1635,25.305611,43
L,46,1775,28.025772,55
L,47,1787,27.047990,50
L,48,1698,29.162824,59
L,49,2507,27.793398,70
L,50,2346,28.433626,75
L,51,2156,31.476234,86
L,52,1861,23.969576,41
L,53,1723,24.902355,43
L,54,1902,27.415874,55
L,55,1907,26.487124,50
L,56,1830,28.608398,59
L,57,2775,26.975411,70
L,58,2550,25.099986,60
L,59,2328,30.491329,86
L,60,1963,23.942782,41
L,61,1811,24.437808,43
L,62,2029,27.267481,55
L,63,2027,26.015131,50
L,64,1962,28.109070,59
L,65,3043,25.811702,70
L,66,2755,24.567984,60
L,67,2500,29.929433,86
L,68,2065,27.057529,56
L,69,1900,23.916645,43
L,70,2157,26.642476,55
L,71,2147,25.279980,50
L,72,2094,27.576917,59
L,73,3311,25.430366,70
L,74,2959,23.681320,60
L,75,1393,32.723708,75
L,76,2146,22.746818,41
L,77,1988,23.511818,43
L,78,2284,25.788025,55
L,79,2267,25.335295,50
L,80,2226,26.673235,59
L,81,3578,24.421992,70
L,82,3164,25.364877,75
L,83,1307,29.858639,54
L,84,1607,34.238539,102
L,85,1645,31.075911,73
L,86,1645,29.291987,62
L,87,2580,22.650701,50
L,88,1741,29.567632,67
L,89,1622,33.068876,91
L,90,2701,29.338128,87
L,91,1920,32.331330,93
L,92,2031,30.899637,84
L,93,2308,28.453592,73
L,94,2308,29.167438,78
L,95,3103,20.819623,50
L,96,2264,27.491784,69
L,97,1764,30.215141,72
L,98,2843,26.594053,71
L,99,2347,28.773593,77
L,100,2552,28.827997,84
L,101,2955,26.389956,73
L,102,2835,24.845615,62
L,103,3615,19.335892,50
L,104,2776,22.653362,53
L,105,1913,29.990259,72
L,106,2985,26.221856,71
L,107,2774,27.508397,77
L,108,3074,27.416104,84
L,109,3604,24.353048,73
L,110,3362,23.084742,62
L,111,4128,18.316789,50
L,112,3289,24.553308,69
L,113,2062,31.287968,88
L,114,3127,25.829120,71
L,115,3201,26.084195,77
L,116,3596,25.702341,84
L,117,4252,24.876528,89
L,118,3890,21.602134,62
L,119,4641,17.140298,50
L,120,3802,19.841463,53
L,121,2212,28.696420,72
L,122,1739,24.971669,43
L,123,4083,23.553393,77
L,124,4477,23.445518,84
L,125,5051,23.127319,89
L,126,4457,20.201139,62
L,127,5491,15.400689,50
L,128,4541,21.063644,69
L,129,3193,27.192354,88
L,130,3928,22.795531,71
L,131,4542,22.439271,77
L,132,4999,22.277329,84
L,133,5700,19.763511,73
L,134,4984,19.114535,62
L,135,6003,17.337995,66
L,136,5054,19.833279,69
L,137,3342,26.756167,88
L,138,4071,22.748475,71
L,139,4969,21.493449,77
L,140,5521,21.086541,84
L,141,6348,18.477466,73
L,142,5512,20.659387,78
L,143,6516,16.690441,66
L,144,5567,18.741308,69
L,145,3491,24.068285,72
L,146,4213,22.281431,71
L,147,5396,20.861544,77
L,148,6043,20.181267,84
L,149,6997,19.717195,89
L,150,6039,17.029076,62
L,151,7029,15.891377,66
L,152,6080,17.984808,69
L,153,3640,23.721502,72
L,154,4355,21.884867,71
L,155,5823,20.142962,77
L,156,6565,19.415828,84
L,157,2699,25.858346,71
L,158,6911,15.951738,62
L,159,8245,14.456905,66
L,160,7435,15.806983,69
L,161,5084,19.690974,72
L,162,5618,18.769065,71
L,163,7209,17.399343,77
L,164,3781,18.177943,50
L,165,4351,18.089761,57
L,166,4366,24.417410,99
L,167,4418,15.511883,45
L,168,8280,10.800212,46
L,169,4459,19.370653,66
L,170,4448,20.883190,75
L,171,6189,18.288982,75
L,172,4501,21.158230,77
L,173,4881,17.165384,57
L,174,4825,23.410334,99
L,175,4521,15.271230,45
L,176,8498,10.570145,46
L,177,4846,15.750575,50
L,178,4666,18.196721,60
L,179,6336,18.070461,75
L,180,4759,18.181993,62
L,181,5375,16.277873,57
L,182,5279,22.725625,99
L,183,4621,15.230920,45
L,184,8715,10.380244,46
L,185,5233,17.809450,65
L,186,4884,17.630313,60
L,187,6482,17.947081,75
L,188,5016,17.862382,62
L,189,5870,15.592297,57
L,190,5733,22.059709,99
L,191,4721,14.852908,45
L,192,8933,10.182780,46
L,193,5620,14.450153,50
L,194,5101,17.227482,60
L,195,6629,17.707545,75
L,196,5273,17.330999,62
L,197,6364,14.908189,57
L,198,6187,21.128339,99
L,199,4821,14.663098,45
L,200,9151,10.000471,46
L,201,6007,16.563672,65
L,202,5319,16.784495,60
L,203,4427,14.585313,41
L,204,5996,16.124500,62
L,205,7245,13.773698,57
L,206,6939,19.935630,99
L,207,5853,12.997897,45
L,208,10081,9.228388,46
L,209,6909,15.324883,65
L,210,6249,15.159661,60
L,211,7433,16.397939,75
L,212,6302,15.750071,62
L,213,7740,15.452911,72
L,214,7393,19.359808,99
L,215,5953,12.825225,45
L,216,10298,9.064071,46
L,217,7296,14.920470,65
L,218,6467,14.852376,60
L,219,7580,16.172027,75
L,220,6560,15.423952,62
L,221,8234,12.577636,57
L,222,7848,18.728530,99
L,223,6053,12.638624,45
L,224,10516,8.895052,46
L,225,7683,12.052642,50
L,226,6684,14.631875,60
L,227,7727,16.026175,75
L,228,6817,15.246760,62
