arm,anonymous,question,turn,type,domain,item,in_prompt,in_recent_context,in_retrieved_stm,in_retrieved_ltm,in_answer,status
L,arm_A,I1,250,structural,breadth,Aster Viaduct,True,True,True,True,True,recalled
L,arm_A,I1,250,structural,breadth,Dr. Leena Ortiz,True,True,False,False,True,recalled
L,arm_A,I1,250,structural,breadth,"1,126 meters",True,True,False,False,True,recalled
L,arm_A,I1,250,structural,breadth,HPS 70W steel,True,False,True,False,True,recalled
L,arm_A,I1,250,structural,breadth,118.6 metric tons per axle,True,False,True,False,True,recalled
L,arm_A,I2,251,battery,breadth,Northstar Cell,True,False,True,False,True,recalled
L,arm_A,I2,251,battery,breadth,Dr. Pavel Nwosu,True,False,True,False,True,recalled
L,arm_A,I2,251,battery,breadth,4.35 volts,True,False,True,False,True,recalled
L,arm_A,I2,251,battery,breadth,NMC811 cathode,False,False,False,False,False,absent
L,arm_A,I2,251,battery,breadth,"92% retention at 1,200 cycles",False,False,False,False,False,absent
L,arm_A,I3,252,breadth,breadth,Aster Viaduct,True,True,False,True,True,recalled
L,arm_A,I3,252,breadth,breadth,MERIDIAN-4 cohort,True,False,False,True,True,recalled
L,arm_A,I3,252,breadth,breadth,Vellum Harbor Ledger,True,False,False,True,True,recalled
L,arm_A,I3,252,breadth,breadth,Northstar Cell,True,True,False,True,True,recalled
L,arm_A,I4,500,structural,breadth,Aster Viaduct,True,True,True,True,True,recalled
L,arm_A,I4,500,structural,breadth,Dr. Leena Ortiz,True,True,True,False,True,recalled
L,arm_A,I4,500,structural,breadth,"1,126 meters",True,True,True,False,True,recalled
L,arm_A,I4,500,structural,breadth,HPS 70W steel,True,False,True,False,True,recalled
L,arm_A,I4,500,structural,breadth,118.6 metric tons per axle,True,False,True,False,True,recalled
L,arm_A,I5,501,ecology,breadth,Marrowfen Survey,True,False,True,False,True,recalled
L,arm_A,I5,501,ecology,breadth,Dr. Nia Okafor,True,False,True,False,True,recalled
L,arm_A,I5,501,ecology,breadth,38 hectares,True,False,True,False,True,recalled
L,arm_A,I5,501,ecology,breadth,Sphagnum palustre,False,False,False,False,False,absent
L,arm_A,I5,501,ecology,breadth,6.2 millimeters per year,False,False,False,False,False,absent
L,arm_A,I6,502,breadth,breadth,Aster Viaduct,True,True,True,True,True,recalled
L,arm_A,I6,502,breadth,breadth,MERIDIAN-4 cohort,True,False,True,True,True,recalled
L,arm_A,I6,502,breadth,breadth,Vellum Harbor Ledger,True,False,True,True,True,recalled
L,arm_A,I6,502,breadth,breadth,Northstar Cell,True,False,True,True,True,recalled
L,arm_A,I6,502,breadth,breadth,Orchid Corridor model,True,False,False,True,True,recalled
L,arm_A,I6,502,breadth,breadth,Kepler Ridge Array,True,False,False,True,True,recalled
L,arm_A,I6,502,breadth,breadth,Marrowfen Survey,True,True,False,True,True,recalled
L,arm_A,I7,750,structural,breadth,Aster Viaduct,True,True,True,True,True,recalled
L,arm_A,I7,750,structural,breadth,Dr. Leena Ortiz,True,True,True,False,True,recalled
L,arm_A,I7,750,structural,breadth,"1,126 meters",True,True,True,False,True,recalled
L,arm_A,I7,750,structural,breadth,HPS 70W steel,True,False,True,False,True,recalled
L,arm_A,I7,750,structural,breadth,118.6 metric tons per axle,True,False,True,False,True,recalled
L,arm_A,I8,751,linguistics,breadth,Sable Isogloss Atlas,True,False,True,False,True,recalled
L,arm_A,I8,751,linguistics,breadth,Professor Idris Chen,True,False,True,False,True,recalled
L,arm_A,I8,751,linguistics,breadth,43 dialect sites,True,False,True,False,True,recalled
L,arm_A,I8,751,linguistics,breadth,retroflex lateral marker,False,False,False,False,False,absent
L,arm_A,I8,751,linguistics,breadth,AD 1180 divergence,False,False,False,False,False,absent
L,arm_A,I9,752,breadth,breadth,Aster Viaduct,True,True,True,True,True,recalled
L,arm_A,I9,752,breadth,breadth,MERIDIAN-4 cohort,True,False,True,True,True,recalled
L,arm_A,I9,752,breadth,breadth,Vellum Harbor Ledger,True,False,True,True,True,recalled
L,arm_A,I9,752,breadth,breadth,Northstar Cell,True,False,True,True,True,recalled
L,arm_A,I9,752,breadth,breadth,Orchid Corridor model,True,False,True,True,True,recalled
L,arm_A,I9,752,breadth,breadth,Kepler Ridge Array,True,False,True,True,True,recalled
L,arm_A,I9,752,breadth,breadth,Marrowfen Survey,True,False,True,True,True,recalled
L,arm_A,I9,752,breadth,breadth,Citrine Handshake,True,False,False,True,True,recalled
L,arm_A,I9,752,breadth,breadth,Pelican Rift Transect,True,False,False,True,True,recalled
L,arm_A,I9,752,breadth,breadth,Sable Isogloss Atlas,True,True,False,True,True,recalled
L,arm_A,Q1,987,structural,breadth,Aster Viaduct,True,True,True,True,True,recalled
L,arm_A,Q1,987,structural,breadth,Dr. Leena Ortiz,True,True,True,False,True,recalled
L,arm_A,Q1,987,structural,breadth,"1,126 meters",True,True,True,False,True,recalled
L,arm_A,Q1,987,structural,breadth,HPS 70W steel,True,False,True,False,True,recalled
L,arm_A,Q1,987,structural,breadth,118.6 metric tons per axle,True,False,True,False,True,recalled
L,arm_A,Q2,988,epidemiology,breadth,MERIDIAN-4 cohort,True,False,True,True,True,recalled
L,arm_A,Q2,988,epidemiology,breadth,Dr. Tomas Ilyin,True,False,True,False,True,recalled
L,arm_A,Q2,988,epidemiology,breadth,"6,240 participants",True,False,True,False,True,recalled
L,arm_A,Q2,988,epidemiology,breadth,inverse-probability weighting,True,False,True,False,True,recalled
L,arm_A,Q2,988,epidemiology,breadth,1.7% annual incidence,True,False,True,False,True,recalled
L,arm_A,Q3,989,archives,breadth,Vellum Harbor Ledger,True,False,True,True,True,recalled
L,arm_A,Q3,989,archives,breadth,Professor Amira Solano,True,False,True,False,True,recalled
L,arm_A,Q3,989,archives,breadth,1572,True,False,True,False,True,recalled
L,arm_A,Q3,989,archives,breadth,iron-gall ink,True,False,True,True,True,recalled
L,arm_A,Q3,989,archives,breadth,folio 184,True,False,True,False,True,recalled
L,arm_A,Q4,990,battery,breadth,Northstar Cell,True,False,True,True,True,recalled
L,arm_A,Q4,990,battery,breadth,Dr. Pavel Nwosu,True,False,True,False,True,recalled
L,arm_A,Q4,990,battery,breadth,4.35 volts,True,False,True,False,True,recalled
L,arm_A,Q4,990,battery,breadth,NMC811 cathode,True,False,True,True,True,recalled
L,arm_A,Q4,990,battery,breadth,"92% retention at 1,200 cycles",True,False,True,False,True,recalled
L,arm_A,Q5,991,monetary,breadth,Orchid Corridor model,True,False,True,True,True,recalled
L,arm_A,Q5,991,monetary,breadth,Dr. Sanae Morimoto,True,False,True,False,True,recalled
L,arm_A,Q5,991,monetary,breadth,2.4% neutral rate,True,False,True,False,True,recalled
L,arm_A,Q5,991,monetary,breadth,three-quarter lag rule,True,False,True,True,True,recalled
L,arm_A,Q5,991,monetary,breadth,1.8% inflation floor,True,False,True,False,True,recalled
L,arm_A,Q6,992,astronomy,breadth,Kepler Ridge Array,True,False,True,True,True,recalled
L,arm_A,Q6,992,astronomy,breadth,Dr. Elias Varga,True,False,True,False,True,recalled
L,arm_A,Q6,992,astronomy,breadth,18.7 light-years,True,False,True,False,True,recalled
L,arm_A,Q6,992,astronomy,breadth,1.42 GHz hydrogen line,True,False,True,True,True,recalled
L,arm_A,Q6,992,astronomy,breadth,0.031 arcsecond resolution,True,False,True,True,True,recalled
L,arm_A,Q7,993,ecology,breadth,Marrowfen Survey,True,False,True,True,True,recalled
L,arm_A,Q7,993,ecology,breadth,Dr. Nia Okafor,True,False,True,False,True,recalled
L,arm_A,Q7,993,ecology,breadth,38 hectares,True,False,True,False,True,recalled
