turn,topic,survivor_span,collapsed_span
535,topic_2,81e1b530-19a0-47ff-896c-3d9a825a583e:183:299,1e5a7ae8-20f9-41c5-85a9-ab33d0e0b5a7:183:299
535,topic_2,81e1b530-19a0-47ff-896c-3d9a825a583e:183:299,8b0d5d3f-ae47-4f0c-8d00-65fce522a87d:183:299
535,topic_2,81e1b530-19a0-47ff-896c-3d9a825a583e:183:299,affdc66e-e46c-4cf3-b6f1-d9a849154be1:183:299
535,topic_2,81e1b530-19a0-47ff-896c-3d9a825a583e:183:299,f6a98950-e7e7-4d01-8047-a7edeb40bc6c:183:299
535,topic_2,136bf587-4385-428c-a486-ca3efb08cf77:86:145,cd23e770-52da-4f0e-a36e-fb49e63190ee:86:145
535,topic_2,136bf587-4385-428c-a486-ca3efb08cf77:86:145,f44257ac-0ce4-41fd-9f74-07518a5af05a:86:145
535,topic_2,136bf587-4385-428c-a486-ca3efb08cf77:86:145,4b07a04e-14c8-40fa-aad2-f4ffd05fddfb:86:145
535,topic_2,136bf587-4385-428c-a486-ca3efb08cf77:86:145,d17fc25d-a5f4-44eb-be62-88f4cc32b1df:86:145
535,topic_2,7b400c35-4549-426b-ba91-45c0222d454d:165:232,bf3eaac2-e59c-4782-b0f1-866a5f0ff45b:165:232
535,topic_2,7b400c35-4549-426b-ba91-45c0222d454d:165:232,49f8b129-ad71-4bd5-816e-5d445afe2b1e:165:232
535,topic_2,7b400c35-4549-426b-ba91-45c0222d454d:165:232,b4817e63-7a27-4dcb-8e51-e3fba34452bb:165:232
535,topic_2,7b400c35-4549-426b-ba91-45c0222d454d:165:232,d25579f3-f3c6-4f0c-b1e4-c880ef8b14ea:165:232
535,topic_2,3afb21c6-e85b-47c7-8f91-33f090ee1f11:86:145,1b545007-9123-4e71-bd4a-2e473a49e3b2:86:145
535,topic_2,3afb21c6-e85b-47c7-8f91-33f090ee1f11:86:145,23e086e5-8f96-4f12-87e7-0bc8713da861:86:145
535,topic_2,3afb21c6-e85b-47c7-8f91-33f090ee1f11:86:145,77fa31ba-b982-41ac-a033-c6a17ea17d56:86:145
535,topic_2,3afb21c6-e85b-47c7-8f91-33f090ee1f11:86:145,ed7876b8-0081-4b43-bb8f-3f65a95a48d3:86:145
535,topic_2,650c608e-e766-4837-aa08-d5ad8e44d090:86:151,6933d104-4e71-46bf-8bd0-8f976ecc550c:86:151
535,topic_2,650c608e-e766-4837-aa08-d5ad8e44d090:86:151,bc0d3a2c-70a6-4dfb-9f6d-d64666b0145c:86:151
535,topic_2,650c608e-e766-4837-aa08-d5ad8e44d090:86:151,0075315d-6c14-4e57-9f5f-e43a59e48d92:86:151
535,topic_2,b133807c-7f29-4172-a152-1916960ba1c6:86:134,7fdafc30-0374-48e3-8e4c-40f6ba333002:86:134
535,topic_2,b133807c-7f29-4172-a152-1916960ba1c6:86:134,31373141-84e3-4603-b498-6f5eb76914ff:86:134
535,topic_2,b133807c-7f29-4172-a152-1916960ba1c6:86:134,504ea55f-feb6-4cf4-84bd-5a9f76ad1b83:86:134
570,topic_2,562e2ee9-4947-48a8-a488-f0b263e176ee:86:134,18e2181d-9f7b-40a1-ab88-6bbfd029d138:86:134
