turn,stm_candidates,ltm_candidates,duplicates_removed,final_set_size,ltm_episodes_in_final_set,provenance_list
1,0,0,0,0,0,[]
2,0,0,0,0,0,[]
3,0,0,0,0,0,[]
4,0,0,0,0,0,[]
5,0,0,0,0,0,[]
6,0,0,0,0,0,[]
7,0,0,0,0,0,[]
8,0,0,0,0,0,[]
9,0,0,0,0,0,[]
10,0,0,0,0,0,[]
11,0,0,0,0,0,[]
12,0,0,0,0,0,[]
13,0,0,0,0,0,[]
14,0,0,0,0,0,[]
15,1,0,0,1,0,"[{""episode_id"":""60456478-818a-46f3-8f6f-bb30ff53c6df"",""provenance"":""stm""}]"
16,1,0,0,1,0,"[{""episode_id"":""60456478-818a-46f3-8f6f-bb30ff53c6df"",""provenance"":""stm""}]"
17,1,0,0,1,0,"[{""episode_id"":""87413ab7-cc5d-44e3-9986-dadb3ddd3b4f"",""provenance"":""stm""}]"
18,2,0,0,2,0,"[{""episode_id"":""8a923c24-6f89-4cc5-a4c2-9e73b19c4c27"",""provenance"":""stm""},{""episode_id"":""60456478-818a-46f3-8f6f-bb30ff53c6df"",""provenance"":""stm""}]"
19,1,0,0,1,0,"[{""episode_id"":""a3fb3ead-7dde-4fb2-90ed-b8acb5089da0"",""provenance"":""stm""}]"
20,1,0,0,1,0,"[{""episode_id"":""6d64f458-6b84-435f-aec2-37128dc5456e"",""provenance"":""stm""}]"
21,1,0,0,1,0,"[{""episode_id"":""60456478-818a-46f3-8f6f-bb30ff53c6df"",""provenance"":""stm""}]"
22,1,0,0,1,0,"[{""episode_id"":""87413ab7-cc5d-44e3-9986-dadb3ddd3b4f"",""provenance"":""stm""}]"
23,3,0,0,3,0,"[{""episode_id"":""60456478-818a-46f3-8f6f-bb30ff53c6df"",""provenance"":""stm""},{""episode_id"":""677a7994-2ea5-4884-b841-58abb6e8b03c"",""provenance"":""stm""},{""episode_id"":""36fc4ee2-d046-4770-b13c-3aff4bc023f6"",""provenance"":""stm""}]"
24,3,0,0,3,0,"[{""episode_id"":""60456478-818a-46f3-8f6f-bb30ff53c6df"",""provenance"":""stm""},{""episode_id"":""57bfb90b-a194-4d8b-a3b1-7fccf15ff796"",""provenance"":""stm""},{""episode_id"":""36fc4ee2-d046-4770-b13c-3aff4bc023f6"",""provenance"":""stm""}]"
25,3,0,0,3,0,"[{""episode_id"":""87413ab7-cc5d-44e3-9986-dadb3ddd3b4f"",""provenance"":""stm""},{""episode_id"":""b88b7545-c482-414f-bb51-07cdc91e3271"",""provenance"":""stm""},{""episode_id"":""eef3e799-6175-408c-9f47-9b457ed42fb9"",""provenance"":""stm""}]"
26,4,0,0,4,0,"[{""episode_id"":""8a923c24-6f89-4cc5-a4c2-9e73b19c4c27"",""provenance"":""stm""},{""episode_id"":""60456478-818a-46f3-8f6f-bb30ff53c6df"",""provenance"":""stm""},{""episode_id"":""87cf5955-71ee-433e-8524-9b46599b3822"",""provenance"":""stm""},{""episode_id"":""36fc4ee2-d046-4770-b13c-3aff4bc023f6"",""provenance"":""stm""}]"
27,2,0,0,2,0,"[{""episode_id"":""a3fb3ead-7dde-4fb2-90ed-b8acb5089da0"",""provenance"":""stm""},{""episode_id"":""c65b29c0-b30d-4e22-b505-bbbf7275ad7a"",""provenance"":""stm""}]"
28,2,0,0,2,0,"[{""episode_id"":""6d64f458-6b84-435f-aec2-37128dc5456e"",""provenance"":""stm""},{""episode_id"":""b1ff36f5-b5c6-4cf4-93c6-b5c919e30d87"",""provenance"":""stm""}]"
29,2,0,0,2,0,"[{""episode_id"":""60456478-818a-46f3-8f6f-bb30ff53c6df"",""provenance"":""stm""},{""episode_id"":""36fc4ee2-d046-4770-b13c-3aff4bc023f6"",""provenance"":""stm""}]"
30,2,0,0,2,0,"[{""episode_id"":""87413ab7-cc5d-44e3-9986-dadb3ddd3b4f"",""provenance"":""stm""},{""episode_id"":""eef3e799-6175-408c-9f47-9b457ed42fb9"",""provenance"":""stm""}]"
31,5,0,0,5,0,"[{""episode_id"":""60456478-818a-46f3-8f6f-bb30ff53c6df"",""provenance"":""stm""},{""episode_id"":""677a7994-2ea5-4884-b841-58abb6e8b03c"",""provenance"":""stm""},{""episode_id"":""36fc4ee2-d046-4770-b13c-3aff4bc023f6"",""provenance"":""stm""},{""episode_id"":""c7c8947b-d6a7-4ece-9e01-92b48c371c36"",""provenance"":""stm""},{""episode_id"":""28593f6f-75cd-4518-ba23-e74e9e9eec43"",""provenance"":""stm""}]"
32,5,0,0,5,0,"[{""episode_id"":""60456478-818a-46f3-8f6f-bb30ff53c6df"",""provenance"":""stm""},{""episode_id"":""57bfb90b-a194-4d8b-a3b1-7fccf15ff796"",""provenance"":""stm""},{""episode_id"":""36fc4ee2-d046-4770-b13c-3aff4bc023f6"",""provenance"":""stm""},{""episode_id"":""aaa08de6-ad95-468f-8911-33c4f07698de"",""provenance"":""stm""},{""episode_id"":""28593f6f-75cd-4518-ba23-e74e9e9eec43"",""provenance"":""stm""}]"
33,5,0,0,5,0,"[{""episode_id"":""87413ab7-cc5d-44e3-9986-dadb3ddd3b4f"",""provenance"":""stm""},{""episode_id"":""b88b7545-c482-414f-bb51-07cdc91e3271"",""provenance"":""stm""},{""episode_id"":""eef3e799-6175-408c-9f47-9b457ed42fb9"",""provenance"":""stm""},{""episode_id"":""3e805f81-8fea-496c-83d6-85feefe3dfd5"",""provenance"":""stm""},{""episode_id"":""19297190-0a50-4c4c-b8f2-7ac20c6868be"",""provenance"":""stm""}]"
34,6,0,0,6,0,"[{""episode_id"":""8a923c24-6f89-4cc5-a4c2-9e73b19c4c27"",""provenance"":""stm""},{""episode_id"":""60456478-818a-46f3-8f6f-bb30ff53c6df"",""provenance"":""stm""},{""episode_id"":""87cf5955-71ee-433e-8524-9b46599b3822"",""provenance"":""stm""},{""episode_id"":""36fc4ee2-d046-4770-b13c-3aff4bc023f6"",""provenance"":""stm""},{""episode_id"":""81146fb9-8c5e-4791-a050-8f164efa7822"",""provenance"":""stm""},{""episode_id"":""28593f6f-75cd-4518-ba23-e74e9e9eec43"",""provenance"":""stm""}]"
35,3,0,0,3,0,"[{""episode_id"":""a3fb3ead-7dde-4fb2-90ed-b8acb5089da0"",""provenance"":""stm""},{""episode_id"":""c65b29c0-b30d-4e22-b505-bbbf7275ad7a"",""provenance"":""stm""},{""episode_id"":""3963b43a-d3d1-4267-ab43-0175684aaddd"",""provenance"":""stm""}]"
36,3,0,0,3,0,"[{""episode_id"":""6d64f458-6b84-435f-aec2-37128dc5456e"",""provenance"":""stm""},{""episode_id"":""b1ff36f5-b5c6-4cf4-93c6-b5c919e30d87"",""provenance"":""stm""},{""episode_id"":""b97f5796-fa57-4b0d-a4a8-c818e8b783fa"",""provenance"":""stm""}]"
37,3,0,0,3,0,"[{""episode_id"":""60456478-818a-46f3-8f6f-bb30ff53c6df"",""provenance"":""stm""},{""episode_id"":""36fc4ee2-d046-4770-b13c-3aff4bc023f6"",""provenance"":""stm""},{""episode_id"":""28593f6f-75cd-4518-ba23-e74e9e9eec43"",""provenance"":""stm""}]"
38,3,0,0,3,0,"[{""episode_id"":""87413ab7-cc5d-44e3-9986-dadb3ddd3b4f"",""provenance"":""stm""},{""episode_id"":""eef3e799-6175-408c-9f47-9b457ed42fb9"",""provenance"":""stm""},{""episode_id"":""19297190-0a50-4c4c-b8f2-7ac20c6868be"",""provenance"":""stm""}]"
39,7,0,0,7,0,"[{""episode_id"":""60456478-818a-46f3-8f6f-bb30ff53c6df"",""provenance"":""stm""},{""episode_id"":""677a7994-2ea5-4884-b841-58abb6e8b03c"",""provenance"":""stm""},{""episode_id"":""36fc4ee2-d046-4770-b13c-3aff4bc023f6"",""provenance"":""stm""},{""episode_id"":""c7c8947b-d6a7-4ece-9e01-92b48c371c36"",""provenance"":""stm""},{""episode_id"":""28593f6f-75cd-4518-ba23-e74e9e9eec43"",""provenance"":""stm""},{""episode_id"":""2afdad20-14b0-4f24-8bad-6d77e0a6d78e"",""provenance"":""stm""},{""episode_id"":""85b6f7f8-0e43-4250-8f8d-c220ddaeac10"",""provenance"":""stm""}]"
40,0,0,0,0,0,[]
41,7,0,0,7,0,"[{""episode_id"":""87413ab7-cc5d-44e3-9986-dadb3ddd3b4f"",""provenance"":""stm""},{""episode_id"":""b88b7545-c482-414f-bb51-07cdc91e3271"",""provenance"":""stm""},{""episode_id"":""eef3e799-6175-408c-9f47-9b457ed42fb9"",""provenance"":""stm""},{""episode_id"":""3e805f81-8fea-496c-83d6-85feefe3dfd5"",""provenance"":""stm""},{""episode_id"":""19297190-0a50-4c4c-b8f2-7ac20c6868be"",""provenance"":""stm""},{""episode_id"":""47a2299b-ddd7-45ba-8138-44d351a34195"",""provenance"":""stm""},{""episode_id"":""19a5fc38-d669-4219-a2a2-97a1ab5c1265"",""provenance"":""stm""}]"
42,8,0,0,8,0,"[{""episode_id"":""8a923c24-6f89-4cc5-a4c2-9e73b19c4c27"",""provenance"":""stm""},{""episode_id"":""60456478-818a-46f3-8f6f-bb30ff53c6df"",""provenance"":""stm""},{""episode_id"":""87cf5955-71ee-433e-8524-9b46599b3822"",""provenance"":""stm""},{""episode_id"":""36fc4ee2-d046-4770-b13c-3aff4bc023f6"",""provenance"":""stm""},{""episode_id"":""81146fb9-8c5e-4791-a050-8f164efa7822"",""provenance"":""stm""},{""episode_id"":""28593f6f-75cd-4518-ba23-e74e9e9eec43"",""provenance"":""stm""},{""episode_id"":""9a3ae218-48dd-4983-b909-806c5d47b512"",""provenance"":""stm""},{""episode_id"":""85b6f7f8-0e43-4250-8f8d-c220ddaeac10"",""provenance"":""stm""}]"
43,4,0,0,4,0,"[{""episode_id"":""a3fb3ead-7dde-4fb2-90ed-b8acb5089da0"",""provenance"":""stm""},{""episode_id"":""c65b29c0-b30d-4e22-b505-bbbf7275ad7a"",""provenance"":""stm""},{""episode_id"":""3963b43a-d3d1-4267-ab43-0175684aaddd"",""provenance"":""stm""},{""episode_id"":""26f008b5-cd88-4470-a0d6-b5e2366bb5fb"",""provenance"":""stm""}]"
44,4,0,0,4,0,"[{""episode_id"":""6d64f458-6b84-435f-aec2-37128dc5456e"",""provenance"":""stm""},{""episode_id"":""b1ff36f5-b5c6-4cf4-93c6-b5c919e30d87"",""provenance"":""stm""},{""episode_id"":""b97f5796-fa57-4b0d-a4a8-c818e8b783fa"",""provenance"":""stm""},{""episode_id"":""717df0f6-db9d-4ad0-9d3e-faf8d8d5d734"",""provenance"":""stm""}]"
45,4,0,0,4,0,"[{""episode_id"":""60456478-818a-46f3-8f6f-bb30ff53c6df"",""provenance"":""stm""},{""episode_id"":""36fc4ee2-d046-4770-b13c-3aff4bc023f6"",""provenance"":""stm""},{""episode_id"":""28593f6f-75cd-4518-ba23-e74e9e9eec43"",""provenance"":""stm""},{""episode_id"":""85b6f7f8-0e43-4250-8f8d-c220ddaeac10"",""provenance"":""stm""}]"
46,4,0,0,4,0,"[{""episode_id"":""87413ab7-cc5d-44e3-9986-dadb3ddd3b4f"",""provenance"":""stm""},{""episode_id"":""eef3e799-6175-408c-9f47-9b457ed42fb9"",""provenance"":""stm""},{""episode_id"":""19297190-0a50-4c4c-b8f2-7ac20c6868be"",""provenance"":""stm""},{""episode_id"":""19a5fc38-d669-4219-a2a2-97a1ab5c1265"",""provenance"":""stm""}]"
47,9,0,0,9,0,"[{""episode_id"":""60456478-818a-46f3-8f6f-bb30ff53c6df"",""provenance"":""stm""},{""episode_id"":""677a7994-2ea5-4884-b841-58abb6e8b03c"",""provenance"":""stm""},{""episode_id"":""36fc4ee2-d046-4770-b13c-3aff4bc023f6"",""provenance"":""stm""},{""episode_id"":""c7c8947b-d6a7-4ece-9e01-92b48c371c36"",""provenance"":""stm""},{""episode_id"":""28593f6f-75cd-4518-ba23-e74e9e9eec43"",""provenance"":""stm""},{""episode_id"":""2afdad20-14b0-4f24-8bad-6d77e0a6d78e"",""provenance"":""stm""},{""episode_id"":""85b6f7f8-0e43-4250-8f8d-c220ddaeac10"",""provenance"":""stm""},{""episode_id"":""b4a59796-fad2-442a-8cb6-3318c3d6e403"",""provenance"":""stm""},{""episode_id"":""c4316241-7407-42a1-a1fa-4992d2a053e4"",""provenance"":""stm""}]"
48,8,0,0,8,0,"[{""episode_id"":""60456478-818a-46f3-8f6f-bb30ff53c6df"",""provenance"":""stm""},{""episode_id"":""57bfb90b-a194-4d8b-a3b1-7fccf15ff796"",""provenance"":""stm""},{""episode_id"":""36fc4ee2-d046-4770-b13c-3aff4bc023f6"",""provenance"":""stm""},{""episode_id"":""aaa08de6-ad95-468f-8911-33c4f07698de"",""provenance"":""stm""},{""episode_id"":""28593f6f-75cd-4518-ba23-e74e9e9eec43"",""provenance"":""stm""},{""episode_id"":""fe46bce7-97dc-4fc5-865b-74161a3acd5f"",""provenance"":""stm""},{""episode_id"":""85b6f7f8-0e43-4250-8f8d-c220ddaeac10"",""provenance"":""stm""},{""episode_id"":""c4316241-7407-42a1-a1fa-4992d2a053e4"",""provenance"":""stm""}]"
49,9,0,0,9,0,"[{""episode_id"":""87413ab7-cc5d-44e3-9986-dadb3ddd3b4f"",""provenance"":""stm""},{""episode_id"":""b88b7545-c482-414f-bb51-07cdc91e3271"",""provenance"":""stm""},{""episode_id"":""eef3e799-6175-408c-9f47-9b457ed42fb9"",""provenance"":""stm""},{""episode_id"":""3e805f81-8fea-496c-83d6-85feefe3dfd5"",""provenance"":""stm""},{""episode_id"":""19297190-0a50-4c4c-b8f2-7ac20c6868be"",""provenance"":""stm""},{""episode_id"":""47a2299b-ddd7-45ba-8138-44d351a34195"",""provenance"":""stm""},{""episode_id"":""19a5fc38-d669-4219-a2a2-97a1ab5c1265"",""provenance"":""stm""},{""episode_id"":""c2d35ad6-75fc-4e8c-81e7-6476d06e7a75"",""provenance"":""stm""},{""episode_id"":""bf759f7d-e14c-43f7-88a3-87f76b2fe6f8"",""provenance"":""stm""}]"
