event_type,turn,topic_a,topic_b,domains_a,domains_b,connecting_similarity,probe_turns
probe_bridge_blocked,130,topic_2,topic_3,epidemiology;structural,epidemiology,0.5742168426513672,112;113;114;115;116;117;118;119;120;121
probe_bridge_blocked,140,topic_2,topic_3,epidemiology;structural,epidemiology,0.5892146825790405,112;113;114;115;116;117;118;119;120;121
probe_bridge_blocked,150,topic_2,topic_3,epidemiology;structural,epidemiology,0.6007171273231506,112;113;114;115;116;117;118;119;120;121
probe_bridge_blocked,160,topic_2,topic_3,epidemiology;structural,epidemiology,0.6588735580444336,112;113;114;115;116;117;118;119;120;121
probe_bridge_blocked,170,topic_2,topic_3,archives;epidemiology;structural,epidemiology,0.6633442044258118,112;113;114;115;116;117;118;119;120;121
probe_bridge_blocked,180,topic_2,topic_3,archives;epidemiology;structural,epidemiology,0.6660975217819214,112;113;114;115;116;117;118;119;120;121
probe_bridge_blocked,190,topic_2,topic_3,archives;epidemiology;structural,epidemiology,0.6676157712936401,112;113;114;115;116;117;118;119;120;121
probe_bridge_blocked,200,topic_2,topic_3,archives;epidemiology;structural,epidemiology,0.6681461930274963,112;113;114;115;116;117;118;119;120;121
probe_bridge_blocked,210,topic_2,topic_3,archives;epidemiology;structural,epidemiology,0.6676449775695801,112;113;114;115;116;117;118;119;120;121
cross_domain_merge,210,topic_3,topic_4,epidemiology,archives,0.5676421523094177,
probe_bridge_blocked,220,topic_2,topic_3,archives;epidemiology;structural,archives;epidemiology,0.6976732015609741,112;113;114;115;116;117;118;119;120;121
probe_bridge_blocked,230,topic_2,topic_3,archives;epidemiology;structural,archives;epidemiology,0.7003399133682251,112;113;114;115;116;117;118;119;120;121
probe_bridge_blocked,240,topic_2,topic_3,archives;epidemiology;structural,archives;epidemiology,0.7190725207328796,112;113;114;115;116;117;118;119;120;121
probe_bridge_blocked,250,topic_2,topic_3,archives;battery;epidemiology;probe;structural,archives;battery;epidemiology,0.7053766846656799,112;113;114;115;116;117;118;119;120;121;250
probe_bridge_blocked,260,topic_2,topic_3,archives;battery;epidemiology;probe;structural,archives;battery;epidemiology;probe,0.7275760769844055,112;113;114;115;116;117;118;119;120;121;250;251;252
probe_bridge_blocked,270,topic_2,topic_3,archives;battery;epidemiology;probe;structural,archives;battery;epidemiology;probe,0.7317156195640564,112;113;114;115;116;117;118;119;120;121;250;251;252
probe_bridge_blocked,280,topic_2,topic_3,archives;battery;epidemiology;probe;structural,archives;battery;epidemiology;probe,0.7353661060333252,112;113;114;115;116;117;118;119;120;121;250;251;252
probe_bridge_blocked,290,topic_2,topic_3,archives;battery;epidemiology;probe;structural,archives;battery;epidemiology;probe,0.7475973963737488,112;113;114;115;116;117;118;119;120;121;250;251;252
probe_bridge_blocked,300,topic_2,topic_3,archives;battery;epidemiology;probe;structural,archives;battery;epidemiology;probe,0.75013267993927,112;113;114;115;116;117;118;119;120;121;250;251;252
probe_bridge_blocked,310,topic_2,topic_3,archives;battery;epidemiology;probe;structural,archives;battery;epidemiology;probe,0.7521787881851196,112;113;114;115;116;117;118;119;120;121;250;251;252
probe_bridge_blocked,320,topic_2,topic_3,archives;battery;epidemiology;probe;structural,archives;battery;epidemiology;probe,0.754072904586792,112;113;114;115;116;117;118;119;120;121;250;251;252
probe_bridge_blocked,330,topic_2,topic_3,archives;battery;epidemiology;probe;structural,archives;battery;epidemiology;monetary;probe,0.7598674297332764,112;113;114;115;116;117;118;119;120;121;250;251;252
probe_bridge_blocked,340,topic_2,topic_3,archives;battery;epidemiology;monetary;probe;structural,archives;battery;epidemiology;monetary;probe,0.7614858150482178,112;113;114;115;116;117;118;119;120;121;250;251;252
probe_bridge_blocked,350,topic_2,topic_3,archives;battery;epidemiology;monetary;probe;structural,archives;battery;epidemiology;monetary;probe,0.7627882957458496,112;113;114;115;116;117;118;119;120;121;250;251;252
probe_bridge_blocked,360,topic_2,topic_3,archives;battery;epidemiology;monetary;probe;structural,archives;battery;epidemiology;monetary;probe,0.7635360956192017,112;113;114;115;116;117;118;119;120;121;250;251;252
probe_bridge_blocked,370,topic_2,topic_3,archives;battery;epidemiology;monetary;probe;structural,archives;battery;epidemiology;monetary;probe,0.7731088995933533,112;113;114;115;116;117;118;119;120;121;250;251;252
probe_bridge_blocked,380,topic_2,topic_3,archives;battery;epidemiology;monetary;probe;structural,archives;battery;epidemiology;monetary;probe,0.7735129594802856,112;113;114;115;116;117;118;119;120;121;250;251;252
probe_bridge_blocked,390,topic_2,topic_3,archives;battery;epidemiology;monetary;probe;structural,archives;battery;epidemiology;monetary;probe,0.7737793326377869,112;113;114;115;116;117;118;119;120;121;250;251;252
probe_bridge_blocked,400,topic_2,topic_3,archives;battery;epidemiology;monetary;probe;structural,archives;battery;epidemiology;monetary;probe,0.7736947536468506,112;113;114;115;116;117;118;119;120;121;250;251;252
probe_bridge_blocked,410,topic_2,topic_3,archives;battery;epidemiology;monetary;probe;structural,archives;battery;epidemiology;monetary;probe,0.7820647358894348,112;113;114;115;116;117;118;119;120;121;250;251;252
probe_bridge_blocked,420,topic_2,topic_3,archives;astronomy;battery;epidemiology;monetary;probe;structural,archives;astronomy;battery;epidemiology;monetary;probe,0.7773616909980774,112;113;114;115;116;117;118;119;120;121;250;251;252
probe_bridge_blocked,430,topic_2,topic_3,archives;astronomy;battery;epidemiology;monetary;probe;structural,archives;astronomy;battery;epidemiology;monetary;probe,0.7776493430137634,112;113;114;115;116;117;118;119;120;121;250;251;252
probe_bridge_blocked,440,topic_2,topic_3,archives;astronomy;battery;epidemiology;monetary;probe;structural,archives;astronomy;battery;epidemiology;monetary;probe,0.7777020335197449,112;113;114;115;116;117;118;119;120;121;250;251;252
probe_bridge_blocked,450,topic_2,topic_3,archives;astronomy;battery;epidemiology;monetary;probe;structural,archives;astronomy;battery;epidemiology;monetary;probe,0.7776852250099182,112;113;114;115;116;117;118;119;120;121;250;251;252
probe_bridge_blocked,460,topic_2,topic_3,archives;astronomy;battery;epidemiology;monetary;probe;structural,archives;astronomy;battery;epidemiology;monetary;probe,0.7782759666442871,112;113;114;115;116;117;118;119;120;121;250;251;252
probe_bridge_blocked,470,topic_2,topic_3,archives;astronomy;battery;epidemiology;monetary;probe;structural,archives;astronomy;battery;epidemiology;monetary;probe,0.7780256271362305,112;113;114;115;116;117;118;119;120;121;250;251;252
probe_bridge_blocked,480,topic_2,topic_3,archives;astronomy;battery;epidemiology;monetary;probe;structural,archives;astronomy;battery;epidemiology;monetary;probe,0.7776342034339905,112;113;114;115;116;117;118;119;120;121;250;251;252
probe_bridge_blocked,490,topic_2,topic_3,archives;astronomy;battery;epidemiology;monetary;probe;structural,archives;astronomy;battery;epidemiology;monetary;probe,0.7807449698448181,112;113;114;115;116;117;118;119;120;121;250;251;252
probe_bridge_blocked,500,topic_2,topic_3,archives;astronomy;battery;ecology;epidemiology;monetary;probe;structural,archives;astronomy;battery;ecology;epidemiology;monetary;probe,0.7780249714851379,112;113;114;115;116;117;118;119;120;121;250;251;252;500
probe_bridge_blocked,510,topic_2,topic_3,archives;astronomy;battery;ecology;epidemiology;monetary;probe;structural,archives;astronomy;battery;ecology;epidemiology;monetary;probe,0.7797381281852722,112;113;114;115;116;117;118;119;120;121;250;251;252;500;501;502
probe_bridge_blocked,520,topic_2,topic_3,archives;astronomy;battery;ecology;epidemiology;monetary;probe;structural,archives;astronomy;battery;ecology;epidemiology;monetary;probe,0.7808659076690674,112;113;114;115;116;117;118;119;120;121;250;251;252;500;501;502
probe_bridge_blocked,530,topic_2,topic_3,archives;astronomy;battery;ecology;epidemiology;monetary;probe;structural,archives;astronomy;battery;ecology;epidemiology;monetary;probe,0.7817504405975342,112;113;114;115;116;117;118;119;120;121;250;251;252;500;501;502
probe_bridge_blocked,540,topic_2,topic_3,archives;astronomy;battery;ecology;epidemiology;monetary;probe;structural,archives;astronomy;battery;ecology;epidemiology;monetary;probe,0.7847046256065369,112;113;114;115;116;117;118;119;120;121;250;251;252;500;501;502
probe_bridge_blocked,550,topic_2,topic_3,archives;astronomy;battery;ecology;epidemiology;monetary;probe;structural,archives;astronomy;battery;ecology;epidemiology;monetary;probe,0.7851814031600952,112;113;114;115;116;117;118;119;120;121;250;251;252;500;501;502
probe_bridge_blocked,560,topic_2,topic_3,archives;astronomy;battery;ecology;epidemiology;monetary;probe;structural,archives;astronomy;battery;ecology;epidemiology;monetary;probe,0.7855826020240784,112;113;114;115;116;117;118;119;120;121;250;251;252;500;501;502
probe_bridge_blocked,570,topic_2,topic_3,archives;astronomy;battery;ecology;epidemiology;monetary;probe;structural,archives;astronomy;battery;ecology;epidemiology;monetary;probe,0.7901895046234131,112;113;114;115;116;117;118;119;120;121;250;251;252;500;501;502
probe_bridge_blocked,580,topic_2,topic_3,archives;astronomy;battery;cryptography;ecology;epidemiology;monetary;probe;structural,archives;astronomy;battery;cryptography;ecology;epidemiology;monetary;probe,0.789801299571991,112;113;114;115;116;117;118;119;120;121;250;251;252;500;501;502
probe_bridge_blocked,590,topic_2,topic_3,archives;astronomy;battery;cryptography;ecology;epidemiology;monetary;probe;structural,archives;astronomy;battery;cryptography;ecology;epidemiology;monetary;probe,0.7904266119003296,112;113;114;115;116;117;118;119;120;121;250;251;252;500;501;502
probe_bridge_blocked,600,topic_2,topic_3,archives;astronomy;battery;cryptography;ecology;epidemiology;monetary;probe;structural,archives;astronomy;battery;cryptography;ecology;epidemiology;monetary;probe,0.7910246253013611,112;113;114;115;116;117;118;119;120;121;250;251;252;500;501;502
probe_bridge_blocked,610,topic_2,topic_3,archives;astronomy;battery;cryptography;ecology;epidemiology;monetary;probe;structural,archives;astronomy;battery;cryptography;ecology;epidemiology;monetary;probe,0.7913760542869568,112;113;114;115;116;117;118;119;120;121;250;251;252;500;501;502
probe_bridge_blocked,620,topic_2,topic_3,archives;astronomy;battery;cryptography;ecology;epidemiology;monetary;probe;structural,archives;astronomy;battery;cryptography;ecology;epidemiology;monetary;probe,0.79378741979599,112;113;114;115;116;117;118;119;120;121;250;251;252;500;501;502
probe_bridge_blocked,630,topic_2,topic_3,archives;astronomy;battery;cryptography;ecology;epidemiology;monetary;probe;structural,archives;astronomy;battery;cryptography;ecology;epidemiology;monetary;probe,0.7940714955329895,112;113;114;115;116;117;118;119;120;121;250;251;252;500;501;502
probe_bridge_blocked,640,topic_2,topic_3,archives;astronomy;battery;cryptography;ecology;epidemiology;monetary;probe;structural,archives;astronomy;battery;cryptography;ecology;epidemiology;monetary;probe,0.7943565845489502,112;113;114;115;116;117;118;119;120;121;250;251;252;500;501;502
