episode_count_at_trigger,turn_number,topics_before,topics_after,pairs_merged,surviving_labels,merged_labels,similarities,episodes_reassigned
10,10,2,1,1,topic_2,topic_1,0.49,1
20,20,1,1,0,,,,
30,30,1,1,0,,,,
40,40,1,1,0,,,,
50,50,1,1,0,,,,
60,60,1,1,0,,,,
70,70,1,1,0,,,,
80,80,1,1,0,,,,
90,90,2,2,0,,,,
100,100,2,2,0,,,,
110,110,2,2,0,,,,
120,120,2,2,0,,,,
130,130,2,2,0,,,,
140,140,2,2,0,,,,
150,150,2,2,0,,,,
160,160,2,2,0,,,,
170,170,3,3,0,,,,
180,180,3,3,0,,,,
190,190,3,3,0,,,,
200,200,3,3,0,,,,
210,210,3,2,1,topic_3,topic_4,0.57,2
220,220,2,2,0,,,,
230,230,2,2,0,,,,
240,240,2,2,0,,,,
250,250,2,2,0,,,,
260,260,2,2,0,,,,
270,270,2,2,0,,,,
280,280,2,2,0,,,,
290,290,2,2,0,,,,
300,300,2,2,0,,,,
310,310,2,2,0,,,,
320,320,2,2,0,,,,
330,330,2,2,0,,,,
340,340,2,2,0,,,,
350,350,2,2,0,,,,
360,360,2,2,0,,,,
370,370,2,2,0,,,,
380,380,2,2,0,,,,
390,390,2,2,0,,,,
400,400,2,2,0,,,,
410,410,2,2,0,,,,
420,420,2,2,0,,,,
430,430,2,2,0,,,,
440,440,2,2,0,,,,
450,450,2,2,0,,,,
460,460,2,2,0,,,,
470,470,2,2,0,,,,
480,480,2,2,0,,,,
490,490,2,2,0,,,,
500,500,2,2,0,,,,
510,510,2,2,0,,,,
520,520,2,2,0,,,,
530,530,2,2,0,,,,
540,540,2,2,0,,,,
550,550,2,2,0,,,,
560,560,2,2,0,,,,
570,570,2,2,0,,,,
580,580,2,2,0,,,,
590,590,2,2,0,,,,
600,600,2,2,0,,,,
610,610,2,2,0,,,,
620,620,2,2,0,,,,
630,630,2,2,0,,,,
640,640,2,2,0,,,,
650,650,2,2,0,,,,
660,660,2,2,0,,,,
670,670,2,2,0,,,,
680,680,2,2,0,,,,
690,690,2,2,0,,,,
700,700,2,2,0,,,,
710,710,2,2,0,,,,
720,720,2,2,0,,,,
730,730,2,2,0,,,,
740,740,2,2,0,,,,
750,750,2,2,0,,,,
760,760,2,2,0,,,,
770,770,2,2,0,,,,
780,780,2,2,0,,,,
790,790,2,2,0,,,,
800,800,2,2,0,,,,
810,810,2,2,0,,,,
820,820,2,2,0,,,,
830,830,2,2,0,,,,
840,840,2,2,0,,,,
850,850,2,2,0,,,,
860,860,2,2,0,,,,
870,870,2,2,0,,,,
880,880,2,2,0,,,,
890,890,2,2,0,,,,
900,900,2,2,0,,,,
910,910,2,2,0,,,,
920,920,2,2,0,,,,
930,930,2,2,0,,,,
940,940,2,2,0,,,,
950,950,2,2,0,,,,
960,960,2,2,0,,,,
970,970,2,2,0,,,,
980,980,2,2,0,,,,
990,990,2,2,0,,,,
1000,1000,2,2,0,,,,
