turn,k_count,episode_id,similarity_score,topic_label,k_only
13,2,4cb44002-f213-4252-bb2a-041e3f96548d,0.5181240439414978,topic_2,True
15,3,2df0b5c0-6614-4581-b95b-25a0facd11c3,0.5114039778709412,topic_2,True
17,3,b47a553a-a075-4dd3-83a6-aedcda190c1a,0.5489327311515808,topic_2,True
18,4,4cb44002-f213-4252-bb2a-041e3f96548d,0.8420382738113403,topic_2,True
18,4,2df0b5c0-6614-4581-b95b-25a0facd11c3,0.5429393649101257,topic_2,True
19,2,fd680909-3b1e-40f7-b51b-fdda45f5ff86,0.813904881477356,topic_2,True
20,2,f86ac065-f6bb-4ff7-8662-24b938599e20,0.8881787061691284,topic_2,True
21,4,2df0b5c0-6614-4581-b95b-25a0facd11c3,0.8977577090263367,topic_2,True
21,4,4cb44002-f213-4252-bb2a-041e3f96548d,0.5181240439414978,topic_2,True
21,4,25002995-2604-494f-bd24-f4bdb4ed321c,0.5036817193031311,topic_2,True
22,3,b47a553a-a075-4dd3-83a6-aedcda190c1a,0.8407300710678101,topic_2,True
22,3,66b3fd02-1571-40e4-b16f-809be793be3f,0.5076043009757996,topic_2,True
23,5,0a2d3eb3-88ab-4c99-9cfb-4ff4ad0f376a,0.8643723726272583,topic_2,True
23,5,0e3547d9-8a0c-4125-a56f-bef69f65d994,0.5114039778709412,topic_2,True
23,5,2df0b5c0-6614-4581-b95b-25a0facd11c3,0.5114039778709412,topic_2,True
24,2,461ca34a-8299-40ed-93aa-6fec635580a6,0.8811705112457275,topic_2,True
25,5,66b3fd02-1571-40e4-b16f-809be793be3f,0.7935101389884949,topic_2,True
25,5,b47a553a-a075-4dd3-83a6-aedcda190c1a,0.5489327311515808,topic_2,True
25,5,d91e4675-6664-45c3-9cc3-e2c2ecf98292,0.5489327311515808,topic_2,True
26,6,25002995-2604-494f-bd24-f4bdb4ed321c,0.8559183478355408,topic_2,True
26,6,4cb44002-f213-4252-bb2a-041e3f96548d,0.8420382738113403,topic_2,True
26,6,0e3547d9-8a0c-4125-a56f-bef69f65d994,0.5429393649101257,topic_2,True
26,6,2df0b5c0-6614-4581-b95b-25a0facd11c3,0.5429393649101257,topic_2,True
27,3,83a9115f-e99f-4072-906d-5d696a18fe6c,0.813904881477356,topic_2,True
27,3,fd680909-3b1e-40f7-b51b-fdda45f5ff86,0.813904881477356,topic_2,True
28,3,9e6e30c6-a20b-477c-9ca1-28749f99ebb6,0.8881787061691284,topic_2,True
28,3,f86ac065-f6bb-4ff7-8662-24b938599e20,0.8881787061691284,topic_2,True
29,6,0e3547d9-8a0c-4125-a56f-bef69f65d994,0.8977577090263367,topic_2,True
29,6,2df0b5c0-6614-4581-b95b-25a0facd11c3,0.8977577090263367,topic_2,True
29,6,a7e1c93c-026a-476b-b440-58b1e35c3abb,0.5227797031402588,topic_2,True
29,6,4cb44002-f213-4252-bb2a-041e3f96548d,0.5181240439414978,topic_2,True
29,6,25002995-2604-494f-bd24-f4bdb4ed321c,0.5036817193031311,topic_2,True
30,5,b47a553a-a075-4dd3-83a6-aedcda190c1a,0.8407300710678101,topic_2,True
30,5,d91e4675-6664-45c3-9cc3-e2c2ecf98292,0.8407300710678101,topic_2,True
30,5,66b3fd02-1571-40e4-b16f-809be793be3f,0.5076043009757996,topic_2,True
30,5,fd74da97-b662-4f95-9b5d-dce2b76016ef,0.5076043009757996,topic_2,True
31,7,0a2d3eb3-88ab-4c99-9cfb-4ff4ad0f376a,0.8643723726272583,topic_2,True
31,7,660c1923-447f-458f-bc50-1ae3a4eaac5a,0.8643723726272583,topic_2,True
31,7,0e3547d9-8a0c-4125-a56f-bef69f65d994,0.5114039778709412,topic_2,True
31,7,2df0b5c0-6614-4581-b95b-25a0facd11c3,0.5114039778709412,topic_2,True
31,7,f184814c-0a82-401f-95c3-2db50d68e267,0.5114039778709412,topic_2,True
32,4,461ca34a-8299-40ed-93aa-6fec635580a6,0.8811705112457275,topic_2,True
32,4,b0680986-d9bd-42cb-b6de-f75146f1fe33,0.8811705112457275,topic_2,True
