turn,estimated_tokens,rule_token_estimate,k_token_estimate,n_token_estimate,total_episodes_in_context
1,121,0,0,0,0
2,218,0,0,75,1
3,382,60,0,158,2
4,564,100,0,274,3
5,723,152,0,351,4
6,810,152,0,413,5
7,1030,205,0,550,6
8,1234,257,0,672,7
9,1358,257,0,773,8
10,1497,257,0,879,9
11,1616,257,0,972,10
12,1622,257,0,980,10
13,1770,297,93,956,11
14,1663,338,0,941,10
15,1840,338,62,1016,11
16,1779,390,0,1001,10
17,1973,443,137,971,11
18,2040,443,155,982,12
19,1945,443,101,977,11
20,1963,483,77,980,11
21,2224,524,253,956,13
22,2200,564,240,941,12
23,2369,617,246,1016,13
24,2188,669,92,1001,11
25,2559,722,377,971,13
26,2546,722,315,982,14
27,2356,722,202,975,12
28,2352,762,154,980,12
29,2728,803,411,956,15
30,2786,843,480,941,14
31,2899,896,430,1016,15
32,2723,948,280,1001,13
33,3146,1001,617,971,15
34,3103,1054,473,982,16
35,2828,1054,303,980,13
36,2795,1094,231,980,13
37,3302,1147,574,956,17
38,3450,1200,720,941,16
39,3506,1252,614,1016,17
40,2698,1305,0,1001,10
41,3735,1305,857,949,17
42,3637,1358,636,982,18
43,3269,1358,404,983,14
44,3222,1411,308,980,14
45,3852,1463,740,956,19
46,4074,1516,960,941,18
47,4073,1569,798,1016,19
48,3794,1622,577,1001,16
49,4433,1674,1097,971,19
50,4239,1727,802,982,20
51,3822,1780,505,980,15
52,3757,1820,385,995,15
53,4491,1873,903,956,21
54,4791,1926,1200,941,20
55,4733,1978,982,1016,21
56,4465,2031,770,1001,18
57,5150,2084,1337,971,21
58,4879,2137,965,982,22
59,4381,2189,621,980,16
60,4274,2242,462,980,16
61,5144,2295,1066,956,23
62,5467,2295,1440,941,22
63,5353,2348,1166,1016,23
64,5095,2400,963,1001,20
65,5827,2453,1577,971,23
66,5478,2506,1128,982,24
67,4885,2559,722,980,17
68,4757,2599,539,995,17
69,5731,2652,1229,956,25
70,6184,2704,1680,941,24
71,6013,2757,1350,1016,25
72,5765,2810,1156,1001,22
73,6543,2863,1817,971,25
74,6118,2915,1291,982,26
75,5104,2956,578,983,16
76,5223,2956,616,994,18
77,6320,3008,1395,956,27
78,6848,3061,1920,941,26
79,6620,3114,1534,1016,27
80,6385,3167,1352,1001,24
81,7207,3219,2057,971,27
82,6708,3272,1457,982,28
83,4709,3325,0,983,10
84,5140,3325,0,958,13
85,5133,3325,0,955,13
86,5171,3367,0,952,13
87,6186,3409,634,951,23
88,5475,3452,149,953,15
89,5365,3452,74,949,14
90,6583,3452,952,951,24
91,5579,3452,220,952,16
92,5582,3452,220,948,16
93,5729,3494,289,955,17
94,5874,3536,362,952,18
95,6887,3578,998,951,28
96,6132,3578,511,953,20
97,5747,3621,220,949,16
98,7176,3621,1241,951,28
99,6214,3663,509,952,20
100,6217,3663,509,948,20
101,6364,3705,578,955,21
102,6616,3748,724,952,23
103,7589,3748,1362,951,33
104,6833,3748,873,953,25
105,6088,3748,366,949,18
106,7770,3790,1530,951,32
107,6767,3790,798,952,24
108,6812,3833,798,948,24
109,6958,3875,867,955,25
110,7317,3918,1086,952,28
111,8292,3918,1726,951,38
112,7534,3918,1235,953,30
113,6514,3960,512,949,20
114,8408,4003,1819,951,36
115,7404,4003,1087,952,28
116,7407,4003,1087,948,28
117,7552,4045,1156,955,29
118,8019,4088,1448,952,33
119,9038,4130,2090,951,43
120,8321,4173,1597,953,35
121,6940,4173,658,949,22
122,6615,4173,519,951,19
123,8283,4173,1376,961,34
124,8278,4173,1376,948,34
125,8375,4173,1445,955,35
126,8661,4173,1737,952,38
127,10139,4173,2536,951,52
128,8990,4173,1959,953,41
129,7741,4215,804,949,28
130,9677,4258,2324,951,45
131,8785,4258,1665,952,38
132,8788,4258,1665,948,38
133,8926,4300,1734,955,39
134,9320,4300,2099,952,43
135,10800,4300,2900,951,57
136,9691,4343,2321,953,46
137,8083,4343,950,949,30
138,10186,4343,2613,951,49
139,9337,4385,1954,952,42
140,9340,4385,1954,948,42
141,9435,4385,2023,955,43
142,9936,4385,2461,952,48
143,11418,4385,3264,951,62
144,10265,4385,2683,953,51
145,8381,4428,1096,949,32
146,10739,4470,2902,951,53
147,9847,4470,2243,952,46
148,9893,4513,2243,948,46
149,9987,4513,2312,955,47
150,10595,4513,2823,952,53
151,12121,4555,3628,951,67
