turn_number,contains_rule_detected,rule_summary,parse_error,ground_truth,true_positive,false_positive
1,False,,,,,
2,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
3,True,Stay within the structural engineering thread and do not connect it to other subjects.,,,,
4,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
5,False,,,,,
6,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
7,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
8,False,,,,,
9,False,,,,,
10,False,,,,,
11,False,,,,,
12,True,Stay within the structural engineering thread and do not connect it to other subjects.,,,,
13,True,Stay within the structural engineering thread and do not connect it to other subjects.,,,,
14,False,,,,,
15,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
16,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
17,False,,,,,
18,False,,,,,
19,True,Stay within the structural engineering thread and do not connect it to other subjects.,,,,
20,True,Stay within the structural engineering thread and do not connect it to other subjects.,,,,
21,True,Stay within the structural engineering thread and do not connect it to other subjects.,,,,
22,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
23,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
24,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
25,False,,,,,
26,False,,,,,
27,True,Stay within the structural engineering thread and do not connect it to other subjects.,,,,
28,True,Stay within the structural engineering thread and do not connect it to other subjects.,,,,
29,True,Stay within the structural engineering thread and do not connect it to other subjects.,,,,
30,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
31,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
32,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
33,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
34,False,,,,,
35,True,Stay within the structural engineering thread and do not connect it to other subjects.,,,,
36,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
37,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
38,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
39,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
40,False,,,,,
41,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
42,False,,,,,
43,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
44,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
45,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
46,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
47,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
48,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
49,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
50,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
51,True,Stay within the structural engineering thread and do not connect it to other subjects.,,,,
52,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
53,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
54,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
55,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
56,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
57,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
58,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
59,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
60,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
61,False,,,,,
62,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
63,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
64,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
65,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
66,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
67,True,Stay within the structural engineering thread and do not connect it to other subjects.,,,,
68,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
69,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
70,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
71,True,"Restrict responses to structural engineering topics, specifically the Aster Viaduct project, and prohibit connections to other subjects.",,,,
