turn,topic,survivor_span,collapsed_span
83,topic_2,c3482080-efbe-436f-a99a-8a09f72d86ae:93:157,5d822c74-3eb4-4f8c-839c-26af5f308686:93:157
83,topic_2,c3482080-efbe-436f-a99a-8a09f72d86ae:93:157,104e115d-53a4-494c-bb22-8b3956f9a404:93:157
83,topic_2,c3482080-efbe-436f-a99a-8a09f72d86ae:93:157,8b0d2b39-86c8-4b6a-afe6-1d57c7257593:93:157
83,topic_2,c3482080-efbe-436f-a99a-8a09f72d86ae:93:157,d5319b10-8020-4d51-a377-309b0faef11b:93:157
83,topic_2,c3482080-efbe-436f-a99a-8a09f72d86ae:93:157,5a96be8f-836f-4968-9569-99d92236351f:93:157
83,topic_2,c3482080-efbe-436f-a99a-8a09f72d86ae:93:157,b3331be2-3154-471b-8fe5-6393290f0491:93:157
83,topic_2,c3482080-efbe-436f-a99a-8a09f72d86ae:93:157,d253524e-1b30-4cb8-9770-4de2ba5ca116:93:157
83,topic_2,c3482080-efbe-436f-a99a-8a09f72d86ae:93:157,7c616d19-4e27-4f4b-98c3-69733338171b:93:157
83,topic_2,46c47afc-1781-40c4-88fa-077217fee6f5:167:333,040d3619-d61c-45ef-a50c-5987182190a7:167:333
83,topic_2,46c47afc-1781-40c4-88fa-077217fee6f5:167:333,8b2140f1-5048-4ebe-8077-4449b857c3fc:167:333
83,topic_2,46c47afc-1781-40c4-88fa-077217fee6f5:167:333,c626d008-2b46-4dc2-a78c-57bfaafab466:167:333
83,topic_2,46c47afc-1781-40c4-88fa-077217fee6f5:167:333,f6c0f40e-14a5-499e-8472-8f3a084adb6f:167:333
83,topic_2,46c47afc-1781-40c4-88fa-077217fee6f5:167:333,7a8795aa-7742-4c68-8f2f-5ec25a4e6348:167:333
83,topic_2,46c47afc-1781-40c4-88fa-077217fee6f5:167:333,0f4e7ccd-a8c0-4544-bf8b-9a0c5030d9cf:167:333
83,topic_2,46c47afc-1781-40c4-88fa-077217fee6f5:167:333,23268a10-970e-4df1-9e03-d26a5dd781ba:167:333
83,topic_2,46c47afc-1781-40c4-88fa-077217fee6f5:167:333,f2ab2e96-d7c4-4b64-8035-f374bd0a57cc:167:333
83,topic_2,46c47afc-1781-40c4-88fa-077217fee6f5:167:333,a2e185ca-43e8-4813-9dec-7e49f88b259b:167:333
83,topic_2,0954c32f-6e47-41cb-a812-807a2d1bf2eb:172:317,298ef311-ba49-4a2d-bade-afa8afabce89:172:317
83,topic_2,0954c32f-6e47-41cb-a812-807a2d1bf2eb:172:317,e964df06-0f65-4317-8001-1fa1e0c9b288:172:317
83,topic_2,0954c32f-6e47-41cb-a812-807a2d1bf2eb:172:317,aa5e3739-499b-46a9-9313-a9fb000f12a6:172:317
83,topic_2,0954c32f-6e47-41cb-a812-807a2d1bf2eb:172:317,34432c50-68cc-414b-99a0-276ad2c65e56:172:317
83,topic_2,0954c32f-6e47-41cb-a812-807a2d1bf2eb:172:317,0c97e95c-5616-4c67-a3bd-399eba330b80:172:317
83,topic_2,0954c32f-6e47-41cb-a812-807a2d1bf2eb:172:317,0154a54e-d1f0-4d9a-9418-4baffc396204:172:317
83,topic_2,0954c32f-6e47-41cb-a812-807a2d1bf2eb:172:317,f0a74561-32d0-43ed-9ce0-6e173b948c68:172:317
83,topic_2,0954c32f-6e47-41cb-a812-807a2d1bf2eb:172:317,bcdce8a0-f6e1-41bc-bf9f-5de570b066a7:172:317
83,topic_2,0954c32f-6e47-41cb-a812-807a2d1bf2eb:172:317,ac37a538-4d7d-47c5-a7f2-4b09b2736183:172:317
83,topic_2,e760167b-7fde-46a1-8b9f-ab6bc26b5d47:93:148,ef0b9755-bdd6-484f-b79d-0c288e889a9a:93:148
83,topic_2,e760167b-7fde-46a1-8b9f-ab6bc26b5d47:93:148,64500e5a-570f-46a9-91ed-2fff31fd995e:93:148
83,topic_2,e760167b-7fde-46a1-8b9f-ab6bc26b5d47:93:148,81f620fa-68f9-46c3-9d45-2dbc7cbb9a41:93:148
83,topic_2,e760167b-7fde-46a1-8b9f-ab6bc26b5d47:93:148,32e00c31-105c-417d-8e36-d695a31ecbb6:93:148
83,topic_2,e760167b-7fde-46a1-8b9f-ab6bc26b5d47:93:148,9283eeeb-62a3-4fb3-8b04-075f82ba7a87:93:148
83,topic_2,e760167b-7fde-46a1-8b9f-ab6bc26b5d47:93:148,8dcc5746-faff-4382-9e5e-59d12df6eb89:93:148
83,topic_2,e760167b-7fde-46a1-8b9f-ab6bc26b5d47:93:148,99fb3d1d-66b1-426b-b7ba-1c6ff3d88c00:93:148
83,topic_2,e760167b-7fde-46a1-8b9f-ab6bc26b5d47:93:148,fe3f4f4a-dcbf-4ce7-8a8d-08861dad13fa:93:148
83,topic_2,e760167b-7fde-46a1-8b9f-ab6bc26b5d47:93:148,25c992dd-5b43-4c15-bbf6-f39643cf78de:93:148
83,topic_2,e760167b-7fde-46a1-8b9f-ab6bc26b5d47:163:373,ef0b9755-bdd6-484f-b79d-0c288e889a9a:163:373
