turn,stm_candidates,ltm_candidates,duplicates_removed,final_set_size,ltm_episodes_in_final_set,provenance_list
1,0,0,0,0,0,[]
2,0,0,0,0,0,[]
3,0,0,0,0,0,[]
4,0,0,0,0,0,[]
5,0,0,0,0,0,[]
6,0,0,0,0,0,[]
7,0,0,0,0,0,[]
8,0,0,0,0,0,[]
9,0,0,0,0,0,[]
10,0,0,0,0,0,[]
11,0,0,0,0,0,[]
12,0,0,0,0,0,[]
13,1,0,0,1,0,"[{""episode_id"":""6b402717-5aca-4908-8148-268a7704e268"",""provenance"":""stm""}]"
14,0,0,0,0,0,[]
15,1,0,0,1,0,"[{""episode_id"":""298ef311-ba49-4a2d-bade-afa8afabce89"",""provenance"":""stm""}]"
16,2,0,0,2,0,"[{""episode_id"":""298ef311-ba49-4a2d-bade-afa8afabce89"",""provenance"":""stm""},{""episode_id"":""6b402717-5aca-4908-8148-268a7704e268"",""provenance"":""stm""}]"
17,1,0,0,1,0,"[{""episode_id"":""ef0b9755-bdd6-484f-b79d-0c288e889a9a"",""provenance"":""stm""}]"
18,2,0,0,2,0,"[{""episode_id"":""6b402717-5aca-4908-8148-268a7704e268"",""provenance"":""stm""},{""episode_id"":""298ef311-ba49-4a2d-bade-afa8afabce89"",""provenance"":""stm""}]"
19,1,0,0,1,0,"[{""episode_id"":""5d822c74-3eb4-4f8c-839c-26af5f308686"",""provenance"":""stm""}]"
20,1,0,0,1,0,"[{""episode_id"":""040d3619-d61c-45ef-a50c-5987182190a7"",""provenance"":""stm""}]"
21,4,0,0,4,0,"[{""episode_id"":""298ef311-ba49-4a2d-bade-afa8afabce89"",""provenance"":""stm""},{""episode_id"":""531c76d8-8ddd-4da8-a966-de764b819d2a"",""provenance"":""stm""},{""episode_id"":""6b402717-5aca-4908-8148-268a7704e268"",""provenance"":""stm""},{""episode_id"":""ea4ebcb4-f0de-4f3b-938d-f867a49d747c"",""provenance"":""stm""}]"
22,2,0,0,2,0,"[{""episode_id"":""ef0b9755-bdd6-484f-b79d-0c288e889a9a"",""provenance"":""stm""},{""episode_id"":""65fd5f3a-49e4-4e84-83fc-45e53786395e"",""provenance"":""stm""}]"
23,3,0,0,3,0,"[{""episode_id"":""8b7e2cd2-5d68-48e0-806a-ecbe6dae0809"",""provenance"":""stm""},{""episode_id"":""298ef311-ba49-4a2d-bade-afa8afabce89"",""provenance"":""stm""},{""episode_id"":""e964df06-0f65-4317-8001-1fa1e0c9b288"",""provenance"":""stm""}]"
24,5,0,0,5,0,"[{""episode_id"":""ea4ebcb4-f0de-4f3b-938d-f867a49d747c"",""provenance"":""stm""},{""episode_id"":""298ef311-ba49-4a2d-bade-afa8afabce89"",""provenance"":""stm""},{""episode_id"":""e964df06-0f65-4317-8001-1fa1e0c9b288"",""provenance"":""stm""},{""episode_id"":""531c76d8-8ddd-4da8-a966-de764b819d2a"",""provenance"":""stm""},{""episode_id"":""6b402717-5aca-4908-8148-268a7704e268"",""provenance"":""stm""}]"
25,3,0,0,3,0,"[{""episode_id"":""65fd5f3a-49e4-4e84-83fc-45e53786395e"",""provenance"":""stm""},{""episode_id"":""64500e5a-570f-46a9-91ed-2fff31fd995e"",""provenance"":""stm""},{""episode_id"":""ef0b9755-bdd6-484f-b79d-0c288e889a9a"",""provenance"":""stm""}]"
26,4,0,0,4,0,"[{""episode_id"":""531c76d8-8ddd-4da8-a966-de764b819d2a"",""provenance"":""stm""},{""episode_id"":""6b402717-5aca-4908-8148-268a7704e268"",""provenance"":""stm""},{""episode_id"":""298ef311-ba49-4a2d-bade-afa8afabce89"",""provenance"":""stm""},{""episode_id"":""e964df06-0f65-4317-8001-1fa1e0c9b288"",""provenance"":""stm""}]"
27,2,0,0,2,0,"[{""episode_id"":""104e115d-53a4-494c-bb22-8b3956f9a404"",""provenance"":""stm""},{""episode_id"":""5d822c74-3eb4-4f8c-839c-26af5f308686"",""provenance"":""stm""}]"
28,2,0,0,2,0,"[{""episode_id"":""040d3619-d61c-45ef-a50c-5987182190a7"",""provenance"":""stm""},{""episode_id"":""8b2140f1-5048-4ebe-8077-4449b857c3fc"",""provenance"":""stm""}]"
29,7,0,0,7,0,"[{""episode_id"":""298ef311-ba49-4a2d-bade-afa8afabce89"",""provenance"":""stm""},{""episode_id"":""e964df06-0f65-4317-8001-1fa1e0c9b288"",""provenance"":""stm""},{""episode_id"":""48329172-d1f8-471c-b99e-444b68ad9052"",""provenance"":""stm""},{""episode_id"":""531c76d8-8ddd-4da8-a966-de764b819d2a"",""provenance"":""stm""},{""episode_id"":""6b402717-5aca-4908-8148-268a7704e268"",""provenance"":""stm""},{""episode_id"":""b6fa95ef-d7a6-4fb5-ab74-e713d5925479"",""provenance"":""stm""},{""episode_id"":""ea4ebcb4-f0de-4f3b-938d-f867a49d747c"",""provenance"":""stm""}]"
30,4,0,0,4,0,"[{""episode_id"":""64500e5a-570f-46a9-91ed-2fff31fd995e"",""provenance"":""stm""},{""episode_id"":""ef0b9755-bdd6-484f-b79d-0c288e889a9a"",""provenance"":""stm""},{""episode_id"":""65fd5f3a-49e4-4e84-83fc-45e53786395e"",""provenance"":""stm""},{""episode_id"":""2db5e42d-20cf-47f1-82d9-0697c1f97405"",""provenance"":""stm""}]"
31,5,0,0,5,0,"[{""episode_id"":""8b7e2cd2-5d68-48e0-806a-ecbe6dae0809"",""provenance"":""stm""},{""episode_id"":""b26e7399-db12-4df4-9042-baa9d5ba4697"",""provenance"":""stm""},{""episode_id"":""298ef311-ba49-4a2d-bade-afa8afabce89"",""provenance"":""stm""},{""episode_id"":""aa5e3739-499b-46a9-9313-a9fb000f12a6"",""provenance"":""stm""},{""episode_id"":""e964df06-0f65-4317-8001-1fa1e0c9b288"",""provenance"":""stm""}]"
32,8,0,0,8,0,"[{""episode_id"":""b6fa95ef-d7a6-4fb5-ab74-e713d5925479"",""provenance"":""stm""},{""episode_id"":""ea4ebcb4-f0de-4f3b-938d-f867a49d747c"",""provenance"":""stm""},{""episode_id"":""298ef311-ba49-4a2d-bade-afa8afabce89"",""provenance"":""stm""},{""episode_id"":""aa5e3739-499b-46a9-9313-a9fb000f12a6"",""provenance"":""stm""},{""episode_id"":""e964df06-0f65-4317-8001-1fa1e0c9b288"",""provenance"":""stm""},{""episode_id"":""48329172-d1f8-471c-b99e-444b68ad9052"",""provenance"":""stm""},{""episode_id"":""531c76d8-8ddd-4da8-a966-de764b819d2a"",""provenance"":""stm""},{""episode_id"":""6b402717-5aca-4908-8148-268a7704e268"",""provenance"":""stm""}]"
33,5,0,0,5,0,"[{""episode_id"":""65fd5f3a-49e4-4e84-83fc-45e53786395e"",""provenance"":""stm""},{""episode_id"":""2db5e42d-20cf-47f1-82d9-0697c1f97405"",""provenance"":""stm""},{""episode_id"":""64500e5a-570f-46a9-91ed-2fff31fd995e"",""provenance"":""stm""},{""episode_id"":""81f620fa-68f9-46c3-9d45-2dbc7cbb9a41"",""provenance"":""stm""},{""episode_id"":""ef0b9755-bdd6-484f-b79d-0c288e889a9a"",""provenance"":""stm""}]"
34,6,0,0,6,0,"[{""episode_id"":""48329172-d1f8-471c-b99e-444b68ad9052"",""provenance"":""stm""},{""episode_id"":""531c76d8-8ddd-4da8-a966-de764b819d2a"",""provenance"":""stm""},{""episode_id"":""6b402717-5aca-4908-8148-268a7704e268"",""provenance"":""stm""},{""episode_id"":""298ef311-ba49-4a2d-bade-afa8afabce89"",""provenance"":""stm""},{""episode_id"":""aa5e3739-499b-46a9-9313-a9fb000f12a6"",""provenance"":""stm""},{""episode_id"":""e964df06-0f65-4317-8001-1fa1e0c9b288"",""provenance"":""stm""}]"
35,3,0,0,3,0,"[{""episode_id"":""104e115d-53a4-494c-bb22-8b3956f9a404"",""provenance"":""stm""},{""episode_id"":""5d822c74-3eb4-4f8c-839c-26af5f308686"",""provenance"":""stm""},{""episode_id"":""8b0d2b39-86c8-4b6a-afe6-1d57c7257593"",""provenance"":""stm""}]"
36,3,0,0,3,0,"[{""episode_id"":""040d3619-d61c-45ef-a50c-5987182190a7"",""provenance"":""stm""},{""episode_id"":""8b2140f1-5048-4ebe-8077-4449b857c3fc"",""provenance"":""stm""},{""episode_id"":""c626d008-2b46-4dc2-a78c-57bfaafab466"",""provenance"":""stm""}]"
37,10,0,0,10,0,"[{""episode_id"":""298ef311-ba49-4a2d-bade-afa8afabce89"",""provenance"":""stm""},{""episode_id"":""aa5e3739-499b-46a9-9313-a9fb000f12a6"",""provenance"":""stm""},{""episode_id"":""e964df06-0f65-4317-8001-1fa1e0c9b288"",""provenance"":""stm""},{""episode_id"":""48329172-d1f8-471c-b99e-444b68ad9052"",""provenance"":""stm""},{""episode_id"":""531c76d8-8ddd-4da8-a966-de764b819d2a"",""provenance"":""stm""},{""episode_id"":""6b402717-5aca-4908-8148-268a7704e268"",""provenance"":""stm""},{""episode_id"":""f0cfc1aa-68ed-4f78-93b8-bc2855315e1d"",""provenance"":""stm""},{""episode_id"":""88ffad9c-4295-4db8-b5dd-6d81a9f5ab51"",""provenance"":""stm""},{""episode_id"":""b6fa95ef-d7a6-4fb5-ab74-e713d5925479"",""provenance"":""stm""},{""episode_id"":""ea4ebcb4-f0de-4f3b-938d-f867a49d747c"",""provenance"":""stm""}]"
38,6,0,0,6,0,"[{""episode_id"":""64500e5a-570f-46a9-91ed-2fff31fd995e"",""provenance"":""stm""},{""episode_id"":""81f620fa-68f9-46c3-9d45-2dbc7cbb9a41"",""provenance"":""stm""},{""episode_id"":""ef0b9755-bdd6-484f-b79d-0c288e889a9a"",""provenance"":""stm""},{""episode_id"":""65fd5f3a-49e4-4e84-83fc-45e53786395e"",""provenance"":""stm""},{""episode_id"":""2db5e42d-20cf-47f1-82d9-0697c1f97405"",""provenance"":""stm""},{""episode_id"":""7e4d090f-6733-46b4-bfc0-67fccf3f03b5"",""provenance"":""stm""}]"
39,7,0,0,7,0,"[{""episode_id"":""8b7e2cd2-5d68-48e0-806a-ecbe6dae0809"",""provenance"":""stm""},{""episode_id"":""a2536be9-ca84-4dc3-847d-6dfbd741939c"",""provenance"":""stm""},{""episode_id"":""b26e7399-db12-4df4-9042-baa9d5ba4697"",""provenance"":""stm""},{""episode_id"":""298ef311-ba49-4a2d-bade-afa8afabce89"",""provenance"":""stm""},{""episode_id"":""34432c50-68cc-414b-99a0-276ad2c65e56"",""provenance"":""stm""},{""episode_id"":""aa5e3739-499b-46a9-9313-a9fb000f12a6"",""provenance"":""stm""},{""episode_id"":""e964df06-0f65-4317-8001-1fa1e0c9b288"",""provenance"":""stm""}]"
40,0,0,0,0,0,[]
41,7,0,0,7,0,"[{""episode_id"":""65fd5f3a-49e4-4e84-83fc-45e53786395e"",""provenance"":""stm""},{""episode_id"":""2db5e42d-20cf-47f1-82d9-0697c1f97405"",""provenance"":""stm""},{""episode_id"":""7e4d090f-6733-46b4-bfc0-67fccf3f03b5"",""provenance"":""stm""},{""episode_id"":""32e00c31-105c-417d-8e36-d695a31ecbb6"",""provenance"":""stm""},{""episode_id"":""64500e5a-570f-46a9-91ed-2fff31fd995e"",""provenance"":""stm""},{""episode_id"":""81f620fa-68f9-46c3-9d45-2dbc7cbb9a41"",""provenance"":""stm""},{""episode_id"":""ef0b9755-bdd6-484f-b79d-0c288e889a9a"",""provenance"":""stm""}]"
42,8,0,0,8,0,"[{""episode_id"":""48329172-d1f8-471c-b99e-444b68ad9052"",""provenance"":""stm""},{""episode_id"":""531c76d8-8ddd-4da8-a966-de764b819d2a"",""provenance"":""stm""},{""episode_id"":""6b402717-5aca-4908-8148-268a7704e268"",""provenance"":""stm""},{""episode_id"":""f0cfc1aa-68ed-4f78-93b8-bc2855315e1d"",""provenance"":""stm""},{""episode_id"":""298ef311-ba49-4a2d-bade-afa8afabce89"",""provenance"":""stm""},{""episode_id"":""34432c50-68cc-414b-99a0-276ad2c65e56"",""provenance"":""stm""},{""episode_id"":""aa5e3739-499b-46a9-9313-a9fb000f12a6"",""provenance"":""stm""},{""episode_id"":""e964df06-0f65-4317-8001-1fa1e0c9b288"",""provenance"":""stm""}]"
43,4,0,0,4,0,"[{""episode_id"":""104e115d-53a4-494c-bb22-8b3956f9a404"",""provenance"":""stm""},{""episode_id"":""5d822c74-3eb4-4f8c-839c-26af5f308686"",""provenance"":""stm""},{""episode_id"":""8b0d2b39-86c8-4b6a-afe6-1d57c7257593"",""provenance"":""stm""},{""episode_id"":""d5319b10-8020-4d51-a377-309b0faef11b"",""provenance"":""stm""}]"
44,4,0,0,4,0,"[{""episode_id"":""040d3619-d61c-45ef-a50c-5987182190a7"",""provenance"":""stm""},{""episode_id"":""8b2140f1-5048-4ebe-8077-4449b857c3fc"",""provenance"":""stm""},{""episode_id"":""c626d008-2b46-4dc2-a78c-57bfaafab466"",""provenance"":""stm""},{""episode_id"":""f6c0f40e-14a5-499e-8472-8f3a084adb6f"",""provenance"":""stm""}]"
45,12,0,0,12,0,"[{""episode_id"":""298ef311-ba49-4a2d-bade-afa8afabce89"",""provenance"":""stm""},{""episode_id"":""34432c50-68cc-414b-99a0-276ad2c65e56"",""provenance"":""stm""},{""episode_id"":""aa5e3739-499b-46a9-9313-a9fb000f12a6"",""provenance"":""stm""},{""episode_id"":""e964df06-0f65-4317-8001-1fa1e0c9b288"",""provenance"":""stm""},{""episode_id"":""48329172-d1f8-471c-b99e-444b68ad9052"",""provenance"":""stm""},{""episode_id"":""531c76d8-8ddd-4da8-a966-de764b819d2a"",""provenance"":""stm""},{""episode_id"":""5a6cf110-e3e7-44e6-b250-6c40547e3d93"",""provenance"":""stm""},{""episode_id"":""6b402717-5aca-4908-8148-268a7704e268"",""provenance"":""stm""},{""episode_id"":""f0cfc1aa-68ed-4f78-93b8-bc2855315e1d"",""provenance"":""stm""},{""episode_id"":""88ffad9c-4295-4db8-b5dd-6d81a9f5ab51"",""provenance"":""stm""},{""episode_id"":""b6fa95ef-d7a6-4fb5-ab74-e713d5925479"",""provenance"":""stm""},{""episode_id"":""ea4ebcb4-f0de-4f3b-938d-f867a49d747c"",""provenance"":""stm""}]"
