episode_count_at_trigger,turn_number,topics_before,topics_after,pairs_merged,surviving_labels,merged_labels,similarities,episodes_reassigned
10,10,2,1,1,topic_2,topic_1,0.49,1
20,20,1,1,0,,,,
30,30,1,1,0,,,,
40,40,1,1,0,,,,
50,50,1,1,0,,,,
60,60,1,1,0,,,,
70,70,1,1,0,,,,
80,80,1,1,0,,,,
90,90,2,2,0,,,,
100,100,2,2,0,,,,
110,110,2,2,0,,,,
120,120,2,2,0,,,,
130,130,2,2,0,,,,
140,140,2,2,0,,,,
150,150,2,2,0,,,,
160,160,2,2,0,,,,
170,170,3,3,0,,,,
180,180,3,3,0,,,,
190,190,3,3,0,,,,
200,200,3,3,0,,,,
