turn,stm_candidates,ltm_candidates,duplicates_removed,final_set_size,ltm_episodes_in_final_set,provenance_list
1,0,0,0,0,0,[]
2,0,0,0,0,0,[]
3,0,0,0,0,0,[]
4,0,0,0,0,0,[]
5,0,0,0,0,0,[]
6,0,0,0,0,0,[]
7,0,0,0,0,0,[]
8,0,0,0,0,0,[]
9,0,0,0,0,0,[]
10,0,0,0,0,0,[]
11,0,0,0,0,0,[]
12,0,0,0,0,0,[]
13,0,0,0,0,0,[]
14,0,0,0,0,0,[]
15,1,0,0,1,0,"[{""episode_id"":""54712973-88f8-4b55-ac3c-f310d4e84f9a"",""provenance"":""stm""}]"
16,1,0,0,1,0,"[{""episode_id"":""54712973-88f8-4b55-ac3c-f310d4e84f9a"",""provenance"":""stm""}]"
17,1,0,0,1,0,"[{""episode_id"":""1920be23-5de7-437f-b718-8d6484c08894"",""provenance"":""stm""}]"
18,2,0,0,2,0,"[{""episode_id"":""bf2a80df-6314-4163-95f4-025289e33705"",""provenance"":""stm""},{""episode_id"":""54712973-88f8-4b55-ac3c-f310d4e84f9a"",""provenance"":""stm""}]"
19,1,0,0,1,0,"[{""episode_id"":""cebcdc92-0d26-42be-9f2b-65d72e7de516"",""provenance"":""stm""}]"
20,1,0,0,1,0,"[{""episode_id"":""1fa495db-8989-4e3e-9c16-f14e262bd254"",""provenance"":""stm""}]"
21,1,0,0,1,0,"[{""episode_id"":""54712973-88f8-4b55-ac3c-f310d4e84f9a"",""provenance"":""stm""}]"
22,1,0,0,1,0,"[{""episode_id"":""1920be23-5de7-437f-b718-8d6484c08894"",""provenance"":""stm""}]"
23,3,0,0,3,0,"[{""episode_id"":""54712973-88f8-4b55-ac3c-f310d4e84f9a"",""provenance"":""stm""},{""episode_id"":""4edeb949-e631-4bee-a874-018ce0cbb08e"",""provenance"":""stm""},{""episode_id"":""2abb50eb-8207-4f27-8894-940c4fb5ba0c"",""provenance"":""stm""}]"
24,3,0,0,3,0,"[{""episode_id"":""54712973-88f8-4b55-ac3c-f310d4e84f9a"",""provenance"":""stm""},{""episode_id"":""ae28eb05-6ce6-437e-a288-28ff4b3874e5"",""provenance"":""stm""},{""episode_id"":""2abb50eb-8207-4f27-8894-940c4fb5ba0c"",""provenance"":""stm""}]"
25,3,0,0,3,0,"[{""episode_id"":""1920be23-5de7-437f-b718-8d6484c08894"",""provenance"":""stm""},{""episode_id"":""abf88363-77f9-4d77-84b5-6097ace2c2bc"",""provenance"":""stm""},{""episode_id"":""750cdb5d-ce94-4e32-998f-3d059aac5bd4"",""provenance"":""stm""}]"
26,4,0,0,4,0,"[{""episode_id"":""bf2a80df-6314-4163-95f4-025289e33705"",""provenance"":""stm""},{""episode_id"":""54712973-88f8-4b55-ac3c-f310d4e84f9a"",""provenance"":""stm""},{""episode_id"":""cb46bacb-a054-4a44-bdad-3a104b7f64f4"",""provenance"":""stm""},{""episode_id"":""2abb50eb-8207-4f27-8894-940c4fb5ba0c"",""provenance"":""stm""}]"
27,2,0,0,2,0,"[{""episode_id"":""cebcdc92-0d26-42be-9f2b-65d72e7de516"",""provenance"":""stm""},{""episode_id"":""03b36924-c78f-4995-888d-5adc7b1ac66e"",""provenance"":""stm""}]"
28,2,0,0,2,0,"[{""episode_id"":""1fa495db-8989-4e3e-9c16-f14e262bd254"",""provenance"":""stm""},{""episode_id"":""782dfe15-a3b9-4767-9529-0219358c877d"",""provenance"":""stm""}]"
29,2,0,0,2,0,"[{""episode_id"":""54712973-88f8-4b55-ac3c-f310d4e84f9a"",""provenance"":""stm""},{""episode_id"":""2abb50eb-8207-4f27-8894-940c4fb5ba0c"",""provenance"":""stm""}]"
30,2,0,0,2,0,"[{""episode_id"":""1920be23-5de7-437f-b718-8d6484c08894"",""provenance"":""stm""},{""episode_id"":""750cdb5d-ce94-4e32-998f-3d059aac5bd4"",""provenance"":""stm""}]"
31,5,0,0,5,0,"[{""episode_id"":""54712973-88f8-4b55-ac3c-f310d4e84f9a"",""provenance"":""stm""},{""episode_id"":""4edeb949-e631-4bee-a874-018ce0cbb08e"",""provenance"":""stm""},{""episode_id"":""2abb50eb-8207-4f27-8894-940c4fb5ba0c"",""provenance"":""stm""},{""episode_id"":""6a356614-0d61-40ed-9dcf-7513f1a50277"",""provenance"":""stm""},{""episode_id"":""c47bb50c-bdfe-44ba-9585-db756efb1f92"",""provenance"":""stm""}]"
32,5,0,0,5,0,"[{""episode_id"":""54712973-88f8-4b55-ac3c-f310d4e84f9a"",""provenance"":""stm""},{""episode_id"":""ae28eb05-6ce6-437e-a288-28ff4b3874e5"",""provenance"":""stm""},{""episode_id"":""2abb50eb-8207-4f27-8894-940c4fb5ba0c"",""provenance"":""stm""},{""episode_id"":""09537d4e-e05f-42e1-a52d-78c649b6b505"",""provenance"":""stm""},{""episode_id"":""c47bb50c-bdfe-44ba-9585-db756efb1f92"",""provenance"":""stm""}]"
33,5,0,0,5,0,"[{""episode_id"":""1920be23-5de7-437f-b718-8d6484c08894"",""provenance"":""stm""},{""episode_id"":""abf88363-77f9-4d77-84b5-6097ace2c2bc"",""provenance"":""stm""},{""episode_id"":""750cdb5d-ce94-4e32-998f-3d059aac5bd4"",""provenance"":""stm""},{""episode_id"":""d127c7fb-a84a-481f-8416-3ea65cecb8b4"",""provenance"":""stm""},{""episode_id"":""8485522c-9ac9-4692-8cc3-eac90172ea36"",""provenance"":""stm""}]"
34,6,0,0,6,0,"[{""episode_id"":""bf2a80df-6314-4163-95f4-025289e33705"",""provenance"":""stm""},{""episode_id"":""54712973-88f8-4b55-ac3c-f310d4e84f9a"",""provenance"":""stm""},{""episode_id"":""cb46bacb-a054-4a44-bdad-3a104b7f64f4"",""provenance"":""stm""},{""episode_id"":""2abb50eb-8207-4f27-8894-940c4fb5ba0c"",""provenance"":""stm""},{""episode_id"":""71e28ebc-6881-4adf-9dfb-983ef9834dee"",""provenance"":""stm""},{""episode_id"":""c47bb50c-bdfe-44ba-9585-db756efb1f92"",""provenance"":""stm""}]"
35,3,0,0,3,0,"[{""episode_id"":""cebcdc92-0d26-42be-9f2b-65d72e7de516"",""provenance"":""stm""},{""episode_id"":""03b36924-c78f-4995-888d-5adc7b1ac66e"",""provenance"":""stm""},{""episode_id"":""6ceda697-0a9a-4256-80b2-11a6e82c27ca"",""provenance"":""stm""}]"
36,3,0,0,3,0,"[{""episode_id"":""1fa495db-8989-4e3e-9c16-f14e262bd254"",""provenance"":""stm""},{""episode_id"":""782dfe15-a3b9-4767-9529-0219358c877d"",""provenance"":""stm""},{""episode_id"":""70efb360-fc50-4c55-a8e1-125487171057"",""provenance"":""stm""}]"
37,3,0,0,3,0,"[{""episode_id"":""54712973-88f8-4b55-ac3c-f310d4e84f9a"",""provenance"":""stm""},{""episode_id"":""2abb50eb-8207-4f27-8894-940c4fb5ba0c"",""provenance"":""stm""},{""episode_id"":""c47bb50c-bdfe-44ba-9585-db756efb1f92"",""provenance"":""stm""}]"
38,3,0,0,3,0,"[{""episode_id"":""1920be23-5de7-437f-b718-8d6484c08894"",""provenance"":""stm""},{""episode_id"":""750cdb5d-ce94-4e32-998f-3d059aac5bd4"",""provenance"":""stm""},{""episode_id"":""8485522c-9ac9-4692-8cc3-eac90172ea36"",""provenance"":""stm""}]"
39,7,0,0,7,0,"[{""episode_id"":""54712973-88f8-4b55-ac3c-f310d4e84f9a"",""provenance"":""stm""},{""episode_id"":""4edeb949-e631-4bee-a874-018ce0cbb08e"",""provenance"":""stm""},{""episode_id"":""2abb50eb-8207-4f27-8894-940c4fb5ba0c"",""provenance"":""stm""},{""episode_id"":""6a356614-0d61-40ed-9dcf-7513f1a50277"",""provenance"":""stm""},{""episode_id"":""c47bb50c-bdfe-44ba-9585-db756efb1f92"",""provenance"":""stm""},{""episode_id"":""50a22fe1-f596-4289-97e3-11c2d8787834"",""provenance"":""stm""},{""episode_id"":""cdab52b6-dbe8-4e8a-a8a4-174523e0da1d"",""provenance"":""stm""}]"
40,0,0,0,0,0,[]
41,7,0,0,7,0,"[{""episode_id"":""1920be23-5de7-437f-b718-8d6484c08894"",""provenance"":""stm""},{""episode_id"":""abf88363-77f9-4d77-84b5-6097ace2c2bc"",""provenance"":""stm""},{""episode_id"":""750cdb5d-ce94-4e32-998f-3d059aac5bd4"",""provenance"":""stm""},{""episode_id"":""d127c7fb-a84a-481f-8416-3ea65cecb8b4"",""provenance"":""stm""},{""episode_id"":""8485522c-9ac9-4692-8cc3-eac90172ea36"",""provenance"":""stm""},{""episode_id"":""2c7c1fda-87c3-4b47-a87a-79ab13744c23"",""provenance"":""stm""},{""episode_id"":""d4485080-919f-457a-b9e0-34c9c53c75d1"",""provenance"":""stm""}]"
42,8,0,0,8,0,"[{""episode_id"":""bf2a80df-6314-4163-95f4-025289e33705"",""provenance"":""stm""},{""episode_id"":""54712973-88f8-4b55-ac3c-f310d4e84f9a"",""provenance"":""stm""},{""episode_id"":""cb46bacb-a054-4a44-bdad-3a104b7f64f4"",""provenance"":""stm""},{""episode_id"":""2abb50eb-8207-4f27-8894-940c4fb5ba0c"",""provenance"":""stm""},{""episode_id"":""71e28ebc-6881-4adf-9dfb-983ef9834dee"",""provenance"":""stm""},{""episode_id"":""c47bb50c-bdfe-44ba-9585-db756efb1f92"",""provenance"":""stm""},{""episode_id"":""3e4c84b1-e19c-460e-95fd-835971a7dae8"",""provenance"":""stm""},{""episode_id"":""cdab52b6-dbe8-4e8a-a8a4-174523e0da1d"",""provenance"":""stm""}]"
43,4,0,0,4,0,"[{""episode_id"":""cebcdc92-0d26-42be-9f2b-65d72e7de516"",""provenance"":""stm""},{""episode_id"":""03b36924-c78f-4995-888d-5adc7b1ac66e"",""provenance"":""stm""},{""episode_id"":""6ceda697-0a9a-4256-80b2-11a6e82c27ca"",""provenance"":""stm""},{""episode_id"":""f2640449-62fa-4de6-9f06-31c3f0e9d9cc"",""provenance"":""stm""}]"
44,4,0,0,4,0,"[{""episode_id"":""1fa495db-8989-4e3e-9c16-f14e262bd254"",""provenance"":""stm""},{""episode_id"":""782dfe15-a3b9-4767-9529-0219358c877d"",""provenance"":""stm""},{""episode_id"":""70efb360-fc50-4c55-a8e1-125487171057"",""provenance"":""stm""},{""episode_id"":""95fbeb55-b058-429e-8b61-15c89f867625"",""provenance"":""stm""}]"
45,4,0,0,4,0,"[{""episode_id"":""54712973-88f8-4b55-ac3c-f310d4e84f9a"",""provenance"":""stm""},{""episode_id"":""2abb50eb-8207-4f27-8894-940c4fb5ba0c"",""provenance"":""stm""},{""episode_id"":""c47bb50c-bdfe-44ba-9585-db756efb1f92"",""provenance"":""stm""},{""episode_id"":""cdab52b6-dbe8-4e8a-a8a4-174523e0da1d"",""provenance"":""stm""}]"
46,4,0,0,4,0,"[{""episode_id"":""1920be23-5de7-437f-b718-8d6484c08894"",""provenance"":""stm""},{""episode_id"":""750cdb5d-ce94-4e32-998f-3d059aac5bd4"",""provenance"":""stm""},{""episode_id"":""8485522c-9ac9-4692-8cc3-eac90172ea36"",""provenance"":""stm""},{""episode_id"":""d4485080-919f-457a-b9e0-34c9c53c75d1"",""provenance"":""stm""}]"
47,9,0,0,9,0,"[{""episode_id"":""54712973-88f8-4b55-ac3c-f310d4e84f9a"",""provenance"":""stm""},{""episode_id"":""4edeb949-e631-4bee-a874-018ce0cbb08e"",""provenance"":""stm""},{""episode_id"":""2abb50eb-8207-4f27-8894-940c4fb5ba0c"",""provenance"":""stm""},{""episode_id"":""6a356614-0d61-40ed-9dcf-7513f1a50277"",""provenance"":""stm""},{""episode_id"":""c47bb50c-bdfe-44ba-9585-db756efb1f92"",""provenance"":""stm""},{""episode_id"":""50a22fe1-f596-4289-97e3-11c2d8787834"",""provenance"":""stm""},{""episode_id"":""cdab52b6-dbe8-4e8a-a8a4-174523e0da1d"",""provenance"":""stm""},{""episode_id"":""8b86dfb0-8b4d-4580-97a3-a65b0a3d7621"",""provenance"":""stm""},{""episode_id"":""98b3b619-8435-43e3-86b2-66ea005cdb1f"",""provenance"":""stm""}]"
48,8,0,0,8,0,"[{""episode_id"":""54712973-88f8-4b55-ac3c-f310d4e84f9a"",""provenance"":""stm""},{""episode_id"":""ae28eb05-6ce6-437e-a288-28ff4b3874e5"",""provenance"":""stm""},{""episode_id"":""2abb50eb-8207-4f27-8894-940c4fb5ba0c"",""provenance"":""stm""},{""episode_id"":""09537d4e-e05f-42e1-a52d-78c649b6b505"",""provenance"":""stm""},{""episode_id"":""c47bb50c-bdfe-44ba-9585-db756efb1f92"",""provenance"":""stm""},{""episode_id"":""3b5480b8-7edd-4147-9a51-10f576388432"",""provenance"":""stm""},{""episode_id"":""cdab52b6-dbe8-4e8a-a8a4-174523e0da1d"",""provenance"":""stm""},{""episode_id"":""98b3b619-8435-43e3-86b2-66ea005cdb1f"",""provenance"":""stm""}]"
49,9,0,0,9,0,"[{""episode_id"":""1920be23-5de7-437f-b718-8d6484c08894"",""provenance"":""stm""},{""episode_id"":""abf88363-77f9-4d77-84b5-6097ace2c2bc"",""provenance"":""stm""},{""episode_id"":""750cdb5d-ce94-4e32-998f-3d059aac5bd4"",""provenance"":""stm""},{""episode_id"":""d127c7fb-a84a-481f-8416-3ea65cecb8b4"",""provenance"":""stm""},{""episode_id"":""8485522c-9ac9-4692-8cc3-eac90172ea36"",""provenance"":""stm""},{""episode_id"":""2c7c1fda-87c3-4b47-a87a-79ab13744c23"",""provenance"":""stm""},{""episode_id"":""d4485080-919f-457a-b9e0-34c9c53c75d1"",""provenance"":""stm""},{""episode_id"":""d5db8e77-a63a-4453-90af-d6922bbfbd36"",""provenance"":""stm""},{""episode_id"":""dac8c404-6c50-4614-8345-14588fe074f5"",""provenance"":""stm""}]"
