turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,35.89705905955139,0.0278574352941017,51,116
2,41.35835189424956,0.02417891318679552,91,213
3,40.405174005125325,0.024749305617967437,89,356
4,36.573261918650246,0.027342379310445315,58,525
5,35.62932462068893,0.028066768333277044,60,654
6,35.7607209734947,0.027963642028950835,69,766
7,35.43001607338587,0.028224655555580586,72,894
8,37.6015765344075,0.02659462959179239,98,1041
9,34.070268575470116,0.029351104109580726,73,1186
10,35.14175572244131,0.02845617640445341,89,1334
11,34.42162789008359,0.029051502247169625,89,1477
12,32.80265232365272,0.0304853397259873,73,1500
13,31.46424859025867,0.03178210333329237,60,1459
14,30.125875218294038,0.033194056363638744,55,1443
15,32.47420274143044,0.030793673611090828,72,1581
16,34.33397206966342,0.02912567173908705,92,1602
17,32.32961110270568,0.030931395890385755,73,1613
18,31.695831043015758,0.03154989054058427,74,1752
19,34.18154386355131,0.029255553932610003,89,1657
20,32.46198160927604,0.03080526666659959,72,1638
21,30.547484231341887,0.0327359200000501,60,1583
22,29.640297741709077,0.03373785272719529,55,1579
23,31.03480514606165,0.032221887499973595,72,1852
24,32.97226236217342,0.030328522471883047,89,1878
25,31.07750521191799,0.0321776150685515,73,1893
26,30.768610279622347,0.032500655405365744,74,2024
27,33.16286997143882,0.030154205617946808,89,1833
28,29.06861646913931,0.03440136206900833,58,1772
29,29.41483307666131,0.03399645333338412,60,1703
30,31.748038855676057,0.031498008571361424,70,1710
31,30.034934383070965,0.033294562499981514,72,2123
32,30.23109589320939,0.033078522972917544,74,2153
33,30.09513277604767,0.03322796438352607,73,2172
34,29.24943152347668,0.034188698648634004,74,2296
35,32.55652727646897,0.030715806741549324,89,2009
36,28.59503708481945,0.034971103448258184,58,1905
37,28.93303781133371,0.034562564999941967,60,1823
38,28.500051118640354,0.03508765636374433,55,1841
39,28.76556301856383,0.034763790277793305,72,2394
40,28.76341064057824,0.03476639166668368,48,1482
41,28.972627455312253,0.034515336986347296,73,2400
42,28.557536818283477,0.03501702567567967,74,2567
43,32.205014371396146,0.031051065168540344,89,2184
44,28.116359067278182,0.03556648275856599,58,2039
