turn,estimated_tokens,rule_token_estimate,k_token_estimate,n_token_estimate,total_episodes_in_context
1,182,0,0,0,0
2,484,147,0,211,1
3,591,147,0,290,2
4,746,147,0,419,3
5,1562,147,0,1251,4
6,2096,147,0,1769,5
7,3169,147,0,2834,6
8,4091,147,0,3741,7
9,5309,147,0,4949,8
10,6575,147,0,6197,9
11,7581,147,0,7192,10
12,7813,147,0,7428,10
13,7171,147,0,6781,10
14,7884,147,0,7489,10
15,8075,147,0,7670,11
16,8066,147,0,7676,10
17,7871,147,0,7470,11
18,8247,147,0,7851,10
19,8195,147,0,7807,10
20,8214,147,0,7833,9
21,7847,147,0,7459,10
22,8220,147,0,7839,9
23,8241,147,0,7854,10
24,8199,147,0,7828,9
25,8033,147,0,7643,10
26,8211,147,0,7845,8
27,8216,147,0,7838,9
28,8042,147,0,7655,10
29,8227,147,0,7877,7
30,8005,147,0,7614,10
31,8253,147,0,7863,8
32,8146,147,0,7743,10
33,8253,147,0,7865,9
34,8252,147,0,7872,9
35,8252,147,0,7855,10
