turn,estimated_tokens,rule_token_estimate,k_token_estimate,n_token_estimate,total_episodes_in_context
1,182,0,0,0,0
2,332,61,146,0,1
3,186,61,0,0,0
4,401,61,185,0,1
5,373,61,185,0,1
6,972,61,768,0,2
7,967,61,768,0,2
8,969,61,768,0,2
9,966,61,768,0,2
10,174,61,0,0,0
11,970,61,768,0,2
12,2202,61,1991,0,3
13,970,61,768,0,2
14,778,61,582,0,1
15,973,61,768,0,2
16,773,61,582,0,1
17,968,61,768,0,2
18,3533,61,3296,0,4
19,373,61,185,0,1
20,3531,61,3296,0,4
21,1939,61,1726,0,3
22,3418,61,3187,0,4
23,968,61,768,0,2
24,369,61,185,0,1
25,3414,61,3187,0,4
26,971,61,768,0,2
27,376,61,185,0,1
28,1646,61,1460,0,1
29,968,61,768,0,2
30,971,61,768,0,2
31,198,61,0,0,0
32,185,61,0,0,0
33,183,61,0,0,0
34,176,61,0,0,0
35,181,61,0,0,0
