turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,38.880205642788454,0.02572002857154335,56,182
2,41.50212195638841,0.024095153521326646,71,332
3,44.74517344034454,0.022348779166835205,120,186
4,48.06754525818723,0.02080405801104795,1086,401
5,47.144251190503546,0.021211493973234092,448,373
6,47.83267448039277,0.020906211305619406,1371,972
7,47.90021355432265,0.020876733646832714,957,967
8,47.73270703439744,0.02094999555083632,944,969
9,47.837636782788394,0.020904042658724985,1008,966
10,47.54906701651286,0.021030906866221364,568,174
11,48.373944474820796,0.020672285687194925,1055,970
12,48.76179603750669,0.020507858226362665,857,2202
13,47.937481636797145,0.020860503427705995,1342,970
14,47.395782659312864,0.021098923657155995,875,778
15,47.730421986599865,0.020950998511614798,1075,973
16,47.69951147445533,0.020964575298334724,838,773
17,48.81624864796535,0.020484982514970038,835,968
18,47.28904351725868,0.021146547394959223,1190,3533
19,47.92364792553989,0.020866525051551246,970,373
20,47.768463536025756,0.020934313686807732,1622,3531
21,47.32211671754247,0.021131768174463265,1238,1939
22,47.293659339124055,0.02114448350949959,1419,3418
23,47.64786914132635,0.02098729739695057,922,968
24,47.65663748012307,0.020983435946715426,676,369
25,47.76479753126422,0.02093592042016832,1190,3414
26,47.75979702528772,0.020938112435245963,965,971
27,47.895043720338585,0.020878987100190306,938,376
28,47.12454888014481,0.0212203622902231,1013,1646
29,47.91345418853026,0.020870964469920948,1047,968
30,46.18801997599315,0.02165063582547517,321,971
31,50.57559646551077,0.019772381739124604,1955,198
32,49.28900608721076,0.020288499999992382,2048,185
33,49.012403557455606,0.020402998576222308,1194,183
34,48.14218081842078,0.020771805161293545,930,176
35,47.828606688947595,0.0209079893650986,630,181
