turn,estimated_tokens,rule_token_estimate,k_token_estimate,n_token_estimate,total_episodes_in_context
1,182,0,0,0,0
2,333,61,0,146,1
3,472,61,0,256,2
4,622,61,0,381,3
5,1149,61,0,923,4
6,1739,61,0,1497,5
7,2741,61,0,2491,6
8,3610,61,0,3345,7
9,4893,61,0,4618,8
10,6175,61,0,5882,9
11,7205,61,0,6901,10
12,7293,61,0,6993,10
13,7857,61,0,7540,11
14,8164,61,0,7840,11
15,7387,61,0,7067,11
16,8051,61,0,7733,11
17,7507,61,0,7189,11
18,7621,61,0,7298,11
19,7769,61,0,7461,10
20,8095,61,0,7773,11
21,7710,61,0,7395,11
22,8154,61,0,7846,10
23,8120,61,0,7789,12
24,7895,61,0,7596,10
25,8159,61,0,7842,11
26,8120,61,0,7814,10
27,7821,61,0,7510,10
28,8151,61,0,7836,11
29,7976,61,0,7649,12
30,7789,61,0,7471,11
31,8145,61,0,7824,9
32,8048,61,0,7729,10
33,8119,61,0,7817,9
34,8113,61,0,7818,9
35,7912,61,0,7595,10
