turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,40.791548340697545,0.024514882142934118,56,182
2,41.450014930654376,0.024125443662034715,71,333
3,40.272630014476114,0.024830759740313638,77,472
4,46.722509104601826,0.021402960139859168,429,622
5,47.514012182497616,0.02104642302483482,443,1149
6,48.65241500671971,0.020553964276221096,753,1739
7,47.40800938913287,0.0210934821538663,650,2741
8,46.23226874090519,0.021629914067254594,981,3610
9,45.431370178098426,0.02201122255568863,1033,4893
10,45.5919593958091,0.021933692108260693,887,6175
11,43.97091977857337,0.02274230343681123,902,7205
12,39.28707897714756,0.025453661255439183,462,7293
13,42.805944407929424,0.02336124138438022,679,7857
14,40.89630370657365,0.02445208758167699,612,8164
15,42.95686085962659,0.02327916844919782,935,7387
16,41.91254159877113,0.023859206859202255,831,8051
17,42.47590312659637,0.023542760162616718,861,7507
18,41.937421712826776,0.0238450519645118,789,7621
19,43.707054310539185,0.022879601834865995,1199,7769
20,41.651794751166754,0.024008569281927232,752,8095
21,41.77933458172887,0.023935278290366183,737,7710
22,42.02527229429757,0.02379520572757099,646,8154
23,43.20805029170502,0.02314383530959687,759,8120
24,43.85129715290023,0.022804342514959382,835,7895
25,43.16865585571938,0.02316495568780863,756,8159
26,41.58301873355934,0.024048278130249248,599,8120
27,44.032098630603635,0.022710704942529584,870,7821
28,42.74504262256703,0.023394525742549035,808,8151
29,43.79563528548999,0.022833325592409245,844,7976
30,41.282245303773664,0.02422348863637484,660,7789
31,41.56652965038349,0.024057817874405453,828,8145
32,42.59021303605545,0.023479572622786212,957,8048
33,41.88444618966109,0.023875211229290257,846,8119
34,41.955901073400035,0.023834549477332004,861,8113
35,42.3744742250915,0.023599112868941816,847,7912
