turn,n_count,episode_id,decay_score,topic_label,n_total_in_store
2,1,71df1fbb-1134-40ce-b4b7-94941af7acfc,1.0,topic_1,1
3,2,cb4c9814-50b5-414f-ac10-b15e18157fbc,1.0,topic_1,2
3,2,71df1fbb-1134-40ce-b4b7-94941af7acfc,0.25,topic_1,2
4,3,2b6930e9-d37b-422d-9061-9c7e18cba204,1.0,topic_2,3
4,3,71df1fbb-1134-40ce-b4b7-94941af7acfc,0.2,topic_1,3
4,3,cb4c9814-50b5-414f-ac10-b15e18157fbc,0.2,topic_1,3
5,4,c22974bf-1437-41ba-9083-036fcbfded28,1.0,topic_2,4
5,4,71df1fbb-1134-40ce-b4b7-94941af7acfc,0.16666666666666666,topic_1,4
5,4,cb4c9814-50b5-414f-ac10-b15e18157fbc,0.16666666666666666,topic_1,4
5,4,2b6930e9-d37b-422d-9061-9c7e18cba204,0.16666666666666666,topic_2,4
6,5,006c10a1-8d10-49a0-8c6a-e80bc5923fd4,1.0,topic_2,5
6,5,71df1fbb-1134-40ce-b4b7-94941af7acfc,0.14285714285714285,topic_1,5
6,5,cb4c9814-50b5-414f-ac10-b15e18157fbc,0.14285714285714285,topic_1,5
6,5,2b6930e9-d37b-422d-9061-9c7e18cba204,0.14285714285714285,topic_2,5
6,5,c22974bf-1437-41ba-9083-036fcbfded28,0.14285714285714285,topic_2,5
7,6,48706f92-7e27-4d87-a4e6-172a59de7087,1.0,topic_2,6
7,6,71df1fbb-1134-40ce-b4b7-94941af7acfc,0.125,topic_1,6
7,6,cb4c9814-50b5-414f-ac10-b15e18157fbc,0.125,topic_1,6
7,6,2b6930e9-d37b-422d-9061-9c7e18cba204,0.125,topic_2,6
7,6,c22974bf-1437-41ba-9083-036fcbfded28,0.125,topic_2,6
7,6,006c10a1-8d10-49a0-8c6a-e80bc5923fd4,0.125,topic_2,6
8,7,f6bfa879-6e13-41b3-95fa-2fd1397014bc,1.0,topic_2,7
8,7,71df1fbb-1134-40ce-b4b7-94941af7acfc,0.1111111111111111,topic_1,7
8,7,cb4c9814-50b5-414f-ac10-b15e18157fbc,0.1111111111111111,topic_1,7
8,7,2b6930e9-d37b-422d-9061-9c7e18cba204,0.1111111111111111,topic_2,7
8,7,c22974bf-1437-41ba-9083-036fcbfded28,0.1111111111111111,topic_2,7
8,7,006c10a1-8d10-49a0-8c6a-e80bc5923fd4,0.1111111111111111,topic_2,7
8,7,48706f92-7e27-4d87-a4e6-172a59de7087,0.1111111111111111,topic_2,7
9,8,730d9688-7711-4fb0-8c1a-3bafd47a8e3f,1.0,topic_2,8
9,8,71df1fbb-1134-40ce-b4b7-94941af7acfc,0.1,topic_1,8
9,8,cb4c9814-50b5-414f-ac10-b15e18157fbc,0.1,topic_1,8
9,8,2b6930e9-d37b-422d-9061-9c7e18cba204,0.1,topic_2,8
9,8,c22974bf-1437-41ba-9083-036fcbfded28,0.1,topic_2,8
9,8,006c10a1-8d10-49a0-8c6a-e80bc5923fd4,0.1,topic_2,8
9,8,48706f92-7e27-4d87-a4e6-172a59de7087,0.1,topic_2,8
9,8,f6bfa879-6e13-41b3-95fa-2fd1397014bc,0.1,topic_2,8
10,9,79a458b8-48df-4587-9d31-48209b80cda7,1.0,topic_2,9
10,9,71df1fbb-1134-40ce-b4b7-94941af7acfc,0.09090909090909091,topic_1,9
10,9,cb4c9814-50b5-414f-ac10-b15e18157fbc,0.09090909090909091,topic_1,9
10,9,2b6930e9-d37b-422d-9061-9c7e18cba204,0.09090909090909091,topic_2,9
10,9,c22974bf-1437-41ba-9083-036fcbfded28,0.09090909090909091,topic_2,9
10,9,006c10a1-8d10-49a0-8c6a-e80bc5923fd4,0.09090909090909091,topic_2,9
10,9,48706f92-7e27-4d87-a4e6-172a59de7087,0.09090909090909091,topic_2,9
