turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,38.8931104117679,0.025711494642954285,56,182
2,41.71434439947121,0.023972569014237617,71,333
3,40.8721978392276,0.02446650909093608,77,472
4,46.86190713542143,0.021339293706297575,429,622
5,46.014244098780175,0.021732400902930615,443,1149
6,46.3720520261726,0.02156471314738445,753,1739
7,45.29772662557588,0.022076163076921007,650,2741
8,47.86320129155101,0.020892877471957224,981,3610
9,47.125122117045464,0.021220104162622287,1033,4893
10,45.61998135842731,0.02192021939121796,887,6175
11,44.85028058950192,0.02229640454543933,902,7205
12,40.59410117271261,0.02463412099569286,462,7293
13,41.88147912726873,0.02387690265095979,679,7857
14,39.93285251702198,0.02504203774508057,612,8164
15,43.631982196307675,0.02291896791442641,935,7387
16,43.78225697958732,0.022840302647399648,831,8051
17,44.41017897391065,0.02251736027876545,861,7507
18,41.71571906321211,0.023971779042923677,606,8001
19,43.869940356893,0.022794651459854938,822,7716
20,45.164243698668045,0.022141409179170898,1133,8065
21,42.962178691623116,0.023276286968076477,752,8146
22,42.426987263845234,0.023569903603600065,666,8068
23,43.93273311786532,0.02276207121731173,879,8027
24,42.335712575261134,0.023620719699054975,731,8089
25,43.54230572441285,0.022966170104293082,863,8007
26,41.64657651989552,0.024011577506791636,738,8004
27,43.33944253417444,0.023073670114964452,783,8071
28,42.11624852837486,0.0237438051807077,830,7647
29,42.13348228202273,0.023734093311026282,897,8088
30,43.44648700684834,0.023016820665900398,871,7688
31,45.545369547583064,0.02195612879933404,1191,8072
32,42.63335441798216,0.02345581326291824,852,8096
33,41.07789594763322,0.024343992722383263,742,8079
34,42.28825945075748,0.023647225328922536,912,8107
35,41.3088222266248,0.024207903931849926,763,8079
