turn,estimated_tokens,rule_token_estimate,k_token_estimate,n_token_estimate,total_episodes_in_context
1,182,0,0,0,0
2,333,61,0,146,1
3,472,61,0,256,2
4,622,61,0,381,3
5,1149,61,0,923,4
6,1739,61,0,1497,5
7,2741,61,0,2491,6
8,3610,61,0,3345,7
9,4893,61,0,4618,8
10,6175,61,0,5882,9
11,7205,61,0,6901,10
12,7293,61,0,6993,10
13,7857,61,0,7540,11
14,8164,61,0,7840,11
15,7387,61,0,7067,11
16,8051,61,0,7733,11
17,7507,61,0,7189,11
18,8001,61,0,7678,11
19,7716,61,0,7396,11
20,8065,61,0,7781,8
21,8146,61,0,7829,11
22,8068,61,0,7757,10
23,8027,61,0,7712,11
24,8089,61,0,7799,9
25,8007,61,0,7701,10
26,8004,61,0,7686,11
27,8071,61,0,7786,8
28,7647,61,0,7344,10
29,8088,61,0,7798,9
30,7688,61,0,7380,10
31,8072,61,0,7766,8
32,8096,61,0,7789,9
33,8079,61,0,7776,9
34,8107,61,0,7811,9
35,8079,61,0,7802,7
