turn,estimated_tokens,rule_token_estimate,k_token_estimate,n_token_estimate,total_episodes_in_context
1,182,0,0,0,0
2,484,147,0,211,1
3,591,147,0,290,2
4,746,147,0,419,3
5,1562,147,0,1251,4
6,2096,147,0,1769,5
7,3169,147,0,2834,6
8,4091,147,0,3741,7
9,5309,147,0,4949,8
10,6575,147,0,6197,9
11,7581,147,0,7192,10
12,7813,147,0,7428,10
13,7171,147,0,6781,10
14,7884,147,0,7489,10
15,8075,147,0,7670,11
16,8066,147,0,7676,10
17,7871,147,0,7470,11
18,8247,147,0,7851,10
19,8195,147,0,7807,10
20,8214,147,0,7833,9
21,7847,147,0,7459,10
22,8220,147,0,7839,9
23,8241,147,0,7854,10
24,8199,147,0,7828,9
25,8033,147,0,7643,10
26,8211,147,0,7845,8
27,8216,147,0,7838,9
28,8042,147,0,7655,10
29,8227,147,0,7877,7
30,8005,147,0,7614,10
31,8253,147,0,7863,8
32,8146,147,0,7743,10
33,8253,147,0,7865,9
34,8252,147,0,7872,9
35,8252,147,0,7855,10
36,8192,147,0,7808,9
37,8158,147,0,7764,10
38,8225,147,0,7860,8
39,7926,147,0,7527,10
40,8147,147,0,7768,9
41,8234,147,0,7854,9
42,7967,147,0,7599,8
43,8113,147,0,7746,8
44,8220,147,0,7860,7
45,8080,147,0,7686,10
46,8052,147,0,7681,8
47,8180,147,0,7798,9
48,7734,147,0,7391,7
49,8193,147,0,7823,8
50,8235,147,0,7876,7
51,8147,147,0,7756,9
52,8173,147,0,7816,7
53,7805,147,0,7439,8
54,8220,147,0,7843,8
55,8189,147,0,7813,7
56,8191,147,0,7799,9
57,7959,147,0,7588,8
58,8120,147,0,7754,8
59,7539,147,0,7190,7
60,8190,147,0,7836,7
61,7994,147,0,7607,9
62,8259,147,0,7877,8
63,8148,147,0,7790,7
64,8049,147,0,7699,7
65,8220,147,0,7851,7
66,8035,147,0,7635,10
67,8034,147,0,7677,7
68,8116,147,0,7741,8
69,8018,147,0,7661,7
70,7805,147,0,7451,7
71,8217,147,0,7846,8
72,8131,147,0,7764,8
73,8057,147,0,7699,7
74,8243,147,0,7890,7
75,8035,147,0,7684,7
76,8006,147,0,7648,7
77,8077,147,0,7725,7
78,8103,147,0,7736,8
79,8197,147,0,7832,7
80,8184,147,0,7828,7
81,8112,147,0,7733,9
82,8160,147,0,7809,7
83,7891,147,0,7532,7
84,7648,147,0,7303,6
85,7976,147,0,7627,7
86,8178,147,0,7819,7
87,8102,147,0,7749,7
88,7527,147,0,7168,7
89,8173,147,0,7814,7
90,8101,147,0,7712,9
91,7697,147,0,7327,7
92,8216,147,0,7853,7
93,8184,147,0,7814,8
94,7553,147,0,7194,7
95,7713,147,0,7360,7
96,8105,147,0,7745,7
97,8028,147,0,7672,7
98,7774,147,0,7421,6
99,7541,147,0,7190,6
100,8123,147,0,7724,9
101,8250,147,0,7885,7
102,8220,147,0,7846,7
103,7750,147,0,7378,8
104,7935,147,0,7582,7
105,8173,147,0,7809,7
106,8118,147,0,7758,7
107,8192,147,0,7832,7
108,8243,147,0,7882,7
109,8219,147,0,7848,8
110,7621,147,0,7262,7
111,8212,147,0,7839,8
112,8183,147,129,7699,8
113,8196,147,0,7840,9
114,8216,147,0,7876,7
115,8107,147,0,7764,8
116,8120,147,0,7775,8
117,8239,147,749,7111,8
118,8031,147,0,7696,7
119,7654,147,0,7312,8
120,8242,147,290,7567,9
121,8212,147,0,7802,8
