turn,n_count,episode_id,decay_score,topic_label,n_total_in_store
2,1,82c455fe-be42-4e89-a7c2-75ae88736e42,1.0,topic_1,1
3,2,e5d256d5-b828-4bd5-ae06-17e95d94545d,1.0,topic_1,2
3,2,82c455fe-be42-4e89-a7c2-75ae88736e42,0.25,topic_1,2
4,3,b67753f8-2f74-4440-a0b3-4810b22539d9,1.0,topic_2,3
4,3,82c455fe-be42-4e89-a7c2-75ae88736e42,0.2,topic_1,3
4,3,e5d256d5-b828-4bd5-ae06-17e95d94545d,0.2,topic_1,3
5,4,ed0a8389-e47b-479c-9fde-657ba661dea8,1.0,topic_2,4
5,4,82c455fe-be42-4e89-a7c2-75ae88736e42,0.16666666666666666,topic_1,4
5,4,e5d256d5-b828-4bd5-ae06-17e95d94545d,0.16666666666666666,topic_1,4
5,4,b67753f8-2f74-4440-a0b3-4810b22539d9,0.16666666666666666,topic_2,4
6,5,691db71e-2bcd-4914-95fa-307edf9071e3,1.0,topic_2,5
6,5,82c455fe-be42-4e89-a7c2-75ae88736e42,0.14285714285714285,topic_1,5
6,5,e5d256d5-b828-4bd5-ae06-17e95d94545d,0.14285714285714285,topic_1,5
6,5,b67753f8-2f74-4440-a0b3-4810b22539d9,0.14285714285714285,topic_2,5
6,5,ed0a8389-e47b-479c-9fde-657ba661dea8,0.14285714285714285,topic_2,5
7,6,9a13bc0d-5d55-4f0a-8aa2-ffbc3a874ced,1.0,topic_2,6
7,6,82c455fe-be42-4e89-a7c2-75ae88736e42,0.125,topic_1,6
7,6,e5d256d5-b828-4bd5-ae06-17e95d94545d,0.125,topic_1,6
7,6,b67753f8-2f74-4440-a0b3-4810b22539d9,0.125,topic_2,6
7,6,ed0a8389-e47b-479c-9fde-657ba661dea8,0.125,topic_2,6
7,6,691db71e-2bcd-4914-95fa-307edf9071e3,0.125,topic_2,6
8,7,1f23e8db-b843-4ffb-9897-e147f6ada064,1.0,topic_2,7
8,7,82c455fe-be42-4e89-a7c2-75ae88736e42,0.1111111111111111,topic_1,7
8,7,e5d256d5-b828-4bd5-ae06-17e95d94545d,0.1111111111111111,topic_1,7
8,7,b67753f8-2f74-4440-a0b3-4810b22539d9,0.1111111111111111,topic_2,7
8,7,ed0a8389-e47b-479c-9fde-657ba661dea8,0.1111111111111111,topic_2,7
8,7,691db71e-2bcd-4914-95fa-307edf9071e3,0.1111111111111111,topic_2,7
8,7,9a13bc0d-5d55-4f0a-8aa2-ffbc3a874ced,0.1111111111111111,topic_2,7
9,8,5daa33e5-17f3-4a50-8ce3-f20a31c4d575,1.0,topic_2,8
9,8,82c455fe-be42-4e89-a7c2-75ae88736e42,0.1,topic_1,8
9,8,e5d256d5-b828-4bd5-ae06-17e95d94545d,0.1,topic_1,8
9,8,b67753f8-2f74-4440-a0b3-4810b22539d9,0.1,topic_2,8
9,8,ed0a8389-e47b-479c-9fde-657ba661dea8,0.1,topic_2,8
9,8,691db71e-2bcd-4914-95fa-307edf9071e3,0.1,topic_2,8
9,8,9a13bc0d-5d55-4f0a-8aa2-ffbc3a874ced,0.1,topic_2,8
9,8,1f23e8db-b843-4ffb-9897-e147f6ada064,0.1,topic_2,8
10,9,7a12f200-135a-4485-ae19-2091015cf2fa,1.0,topic_2,9
10,9,82c455fe-be42-4e89-a7c2-75ae88736e42,0.09090909090909091,topic_1,9
10,9,e5d256d5-b828-4bd5-ae06-17e95d94545d,0.09090909090909091,topic_1,9
10,9,b67753f8-2f74-4440-a0b3-4810b22539d9,0.09090909090909091,topic_2,9
10,9,ed0a8389-e47b-479c-9fde-657ba661dea8,0.09090909090909091,topic_2,9
10,9,691db71e-2bcd-4914-95fa-307edf9071e3,0.09090909090909091,topic_2,9
10,9,9a13bc0d-5d55-4f0a-8aa2-ffbc3a874ced,0.09090909090909091,topic_2,9
10,9,1f23e8db-b843-4ffb-9897-e147f6ada064,0.09090909090909091,topic_2,9
10,9,5daa33e5-17f3-4a50-8ce3-f20a31c4d575,0.09090909090909091,topic_2,9
11,10,5da3778b-24d1-442d-8651-5ed5b32144b0,1.0,topic_2,10
11,10,82c455fe-be42-4e89-a7c2-75ae88736e42,0.08333333333333333,topic_1,10
11,10,e5d256d5-b828-4bd5-ae06-17e95d94545d,0.08333333333333333,topic_1,10
11,10,b67753f8-2f74-4440-a0b3-4810b22539d9,0.08333333333333333,topic_2,10
11,10,ed0a8389-e47b-479c-9fde-657ba661dea8,0.08333333333333333,topic_2,10
11,10,691db71e-2bcd-4914-95fa-307edf9071e3,0.08333333333333333,topic_2,10
11,10,9a13bc0d-5d55-4f0a-8aa2-ffbc3a874ced,0.08333333333333333,topic_2,10
11,10,1f23e8db-b843-4ffb-9897-e147f6ada064,0.08333333333333333,topic_2,10
11,10,5daa33e5-17f3-4a50-8ce3-f20a31c4d575,0.08333333333333333,topic_2,10
11,10,7a12f200-135a-4485-ae19-2091015cf2fa,0.08333333333333333,topic_2,10
12,10,b07b39b2-6cf4-4ba9-9d80-81c0c3b82070,1.0,topic_2,11
12,10,82c455fe-be42-4e89-a7c2-75ae88736e42,0.07692307692307693,topic_1,11
12,10,e5d256d5-b828-4bd5-ae06-17e95d94545d,0.07692307692307693,topic_1,11
12,10,b67753f8-2f74-4440-a0b3-4810b22539d9,0.07692307692307693,topic_2,11
12,10,ed0a8389-e47b-479c-9fde-657ba661dea8,0.07692307692307693,topic_2,11
12,10,691db71e-2bcd-4914-95fa-307edf9071e3,0.07692307692307693,topic_2,11
12,10,9a13bc0d-5d55-4f0a-8aa2-ffbc3a874ced,0.07692307692307693,topic_2,11
12,10,1f23e8db-b843-4ffb-9897-e147f6ada064,0.07692307692307693,topic_2,11
12,10,5daa33e5-17f3-4a50-8ce3-f20a31c4d575,0.07692307692307693,topic_2,11
12,10,7a12f200-135a-4485-ae19-2091015cf2fa,0.07692307692307693,topic_2,11
13,11,2d523c0d-254d-4132-b448-f4763609c519,1.0,topic_2,12
13,11,5da3778b-24d1-442d-8651-5ed5b32144b0,0.07692307692307693,topic_2,12
13,11,82c455fe-be42-4e89-a7c2-75ae88736e42,0.07142857142857142,topic_1,12
13,11,e5d256d5-b828-4bd5-ae06-17e95d94545d,0.07142857142857142,topic_1,12
13,11,b67753f8-2f74-4440-a0b3-4810b22539d9,0.07142857142857142,topic_2,12
13,11,ed0a8389-e47b-479c-9fde-657ba661dea8,0.07142857142857142,topic_2,12
13,11,691db71e-2bcd-4914-95fa-307edf9071e3,0.07142857142857142,topic_2,12
13,11,9a13bc0d-5d55-4f0a-8aa2-ffbc3a874ced,0.07142857142857142,topic_2,12
13,11,1f23e8db-b843-4ffb-9897-e147f6ada064,0.07142857142857142,topic_2,12
13,11,5daa33e5-17f3-4a50-8ce3-f20a31c4d575,0.07142857142857142,topic_2,12
13,11,7a12f200-135a-4485-ae19-2091015cf2fa,0.07142857142857142,topic_2,12
14,11,aee37b0c-2e8e-4c64-80d2-f87a74e440a9,1.0,topic_2,13
14,11,b07b39b2-6cf4-4ba9-9d80-81c0c3b82070,0.07142857142857142,topic_2,13
14,11,82c455fe-be42-4e89-a7c2-75ae88736e42,0.06666666666666667,topic_1,13
14,11,e5d256d5-b828-4bd5-ae06-17e95d94545d,0.06666666666666667,topic_1,13
14,11,b67753f8-2f74-4440-a0b3-4810b22539d9,0.06666666666666667,topic_2,13
14,11,ed0a8389-e47b-479c-9fde-657ba661dea8,0.06666666666666667,topic_2,13
14,11,691db71e-2bcd-4914-95fa-307edf9071e3,0.06666666666666667,topic_2,13
14,11,9a13bc0d-5d55-4f0a-8aa2-ffbc3a874ced,0.06666666666666667,topic_2,13
14,11,1f23e8db-b843-4ffb-9897-e147f6ada064,0.06666666666666667,topic_2,13
14,11,5daa33e5-17f3-4a50-8ce3-f20a31c4d575,0.06666666666666667,topic_2,13
14,11,7a12f200-135a-4485-ae19-2091015cf2fa,0.06666666666666667,topic_2,13
15,11,0c653629-7ed9-4115-8da3-e29335f4f9f7,1.0,topic_2,14
