turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,38.757991845639864,0.025801130357389672,56,182
2,41.682576495329,0.023990839436522384,71,333
3,40.663903176068324,0.024591835064876996,77,472
4,46.7619746926391,0.021384896736566003,429,622
5,46.12328433223811,0.02168102325057205,443,1149
6,46.384504367450575,0.02155892390437464,753,1739
7,45.38943700519725,0.02203155769227753,650,2741
8,45.69608191779851,0.021883714271146354,981,3610
9,45.002351819418465,0.022221060890611082,1033,4893
10,43.507704758329325,0.022984434723795792,887,6175
11,43.11020845193675,0.023196361973403412,902,7205
12,39.41959139700358,0.025368096536789914,462,7293
13,42.3091375143739,0.023635556259218586,679,7857
14,40.293710866094315,0.02481776879084779,612,8164
15,43.16146813714929,0.023168813368961722,935,7387
16,41.98155930454684,0.02381998231046397,831,8051
17,44.34292164292739,0.022551513588854787,861,7507
18,40.31170393116242,0.024806691419138042,606,8001
19,43.97738182260292,0.022738961678842668,822,7716
20,45.439284118821924,0.022007388967331433,1133,8065
21,43.0476948193904,0.023230047606394945,752,8146
22,42.60779158703641,0.02346988573574074,666,8068
23,44.25233995199501,0.02259767508531303,879,8027
24,43.020051392900065,0.023244974555400876,731,8089
25,43.921836232008225,0.022767718424104633,863,8007
26,42.4736548378618,0.02354400636859208,738,8004
27,43.44688039580997,0.023016612260530454,783,8071
28,44.20412643287053,0.022622322409619935,830,7647
29,44.31962746136926,0.022563366555182342,897,8088
30,44.504017718953214,0.02246988140071056,871,7688
31,45.72338103094366,0.02187064861461671,1191,8072
32,43.980925864767144,0.022737129342724774,852,8096
33,43.16401414974613,0.023167446765510837,742,8079
34,44.441106596816994,0.022501689912276465,912,8107
35,43.382201269900136,0.023050928047162737,763,8079
36,43.15498430068729,0.023172294375833524,729,8083
37,43.927483589594694,0.022764791385338417,859,8114
38,43.293412846733325,0.0230982021107965,758,8109
39,43.26795776709088,0.02311179107141934,784,8134
40,45.09959494641001,0.02217314814441812,997,8042
41,45.40713138608441,0.022022972371834586,1151,8136
42,43.71315838636809,0.022876406942762776,821,8153
43,44.198923742905386,0.022624985300926374,864,8002
44,44.09992268622929,0.022675776715415003,889,8027
45,45.147554944036465,0.022149593731921245,1037,8063
46,44.81232402031911,0.0223152898641582,957,8000
47,44.14023377732701,0.022655068050719252,867,8115
48,42.94289971489905,0.023286736728052152,923,8078
49,44.29542765296958,0.022575693541880947,991,8115
50,45.5638565925052,0.02194722033614007,1190,8049
51,45.89741397788172,0.02178771990251797,1231,7868
52,43.85234332331504,0.022803798479529108,855,8064
53,44.437731452578724,0.02250339896551965,870,7905
54,43.78287048633168,0.02283998259803875,816,8163
55,43.28895386199454,0.023100581344331083,729,7745
56,41.879120316497854,0.023878247500009213,600,7983
57,42.9132064261052,0.02330284971182378,694,7730
58,45.24173450472164,0.022103485000019955,1060,8080
59,42.918004322828466,0.023300244635748153,755,8139
60,46.000579704298055,0.021738856475901437,1328,8134
61,45.778041674306785,0.02184453426633268,1179,7856
62,45.764103704242785,0.02185118726377001,1217,8038
63,45.651343824174205,0.021905160204078376,1176,7858
64,45.0203246059334,0.022212189910958708,1011,7942
65,44.31650999488021,0.02256495378619679,898,7760
66,41.14199817307757,0.024306063011163573,538,8068
67,43.84710831320188,0.02280652107904026,797,8082
68,46.12616139255452,0.021679670924479214,1417,8166
69,44.825988735645566,0.02230848729065069,1015,8126
70,43.534241951547614,0.022970424088536372,768,8103
71,45.75776817351225,0.021854212736251176,1217,8162
72,46.06053971919476,0.02171055758565658,1226,7671
73,43.81398138063406,0.02282376466344151,832,7977
74,44.27177787828231,0.02258775337076657,890,8081
75,45.084022665679946,0.022180806877316352,1076,8102
76,45.091250424905525,0.02217725147510356,983,7907
77,45.26952747743213,0.02208991468926912,1062,8092
78,44.88043895537755,0.022281422002005186,1009,7877
