turn,stm_candidates,ltm_candidates,duplicates_removed,final_set_size,ltm_episodes_in_final_set,provenance_list
1,0,0,0,0,0,[]
2,1,0,0,1,0,"[{""episode_id"":""7604b228-edea-413c-84e5-2367e1bedb3b"",""provenance"":""stm""}]"
3,0,0,0,0,0,[]
4,1,0,0,1,0,"[{""episode_id"":""c34326a9-3d6b-4dd1-b464-2bdb9e8ddda3"",""provenance"":""stm""}]"
5,1,0,0,1,0,"[{""episode_id"":""c34326a9-3d6b-4dd1-b464-2bdb9e8ddda3"",""provenance"":""stm""}]"
6,2,0,0,2,0,"[{""episode_id"":""c34326a9-3d6b-4dd1-b464-2bdb9e8ddda3"",""provenance"":""stm""},{""episode_id"":""dead3408-d2dd-49e0-b659-84a1859717ca"",""provenance"":""stm""}]"
7,2,0,0,2,0,"[{""episode_id"":""c34326a9-3d6b-4dd1-b464-2bdb9e8ddda3"",""provenance"":""stm""},{""episode_id"":""dead3408-d2dd-49e0-b659-84a1859717ca"",""provenance"":""stm""}]"
8,2,0,0,2,0,"[{""episode_id"":""c34326a9-3d6b-4dd1-b464-2bdb9e8ddda3"",""provenance"":""stm""},{""episode_id"":""dead3408-d2dd-49e0-b659-84a1859717ca"",""provenance"":""stm""}]"
9,2,0,0,2,0,"[{""episode_id"":""c34326a9-3d6b-4dd1-b464-2bdb9e8ddda3"",""provenance"":""stm""},{""episode_id"":""dead3408-d2dd-49e0-b659-84a1859717ca"",""provenance"":""stm""}]"
10,0,0,0,0,0,[]
11,2,0,0,2,0,"[{""episode_id"":""c34326a9-3d6b-4dd1-b464-2bdb9e8ddda3"",""provenance"":""stm""},{""episode_id"":""dead3408-d2dd-49e0-b659-84a1859717ca"",""provenance"":""stm""}]"
12,3,0,0,3,0,"[{""episode_id"":""c34326a9-3d6b-4dd1-b464-2bdb9e8ddda3"",""provenance"":""stm""},{""episode_id"":""dead3408-d2dd-49e0-b659-84a1859717ca"",""provenance"":""stm""},{""episode_id"":""9341a8a8-c146-406a-ac85-81cc18820957"",""provenance"":""stm""}]"
13,2,0,0,2,0,"[{""episode_id"":""c34326a9-3d6b-4dd1-b464-2bdb9e8ddda3"",""provenance"":""stm""},{""episode_id"":""dead3408-d2dd-49e0-b659-84a1859717ca"",""provenance"":""stm""}]"
14,1,0,0,1,0,"[{""episode_id"":""dead3408-d2dd-49e0-b659-84a1859717ca"",""provenance"":""stm""}]"
15,2,0,0,2,0,"[{""episode_id"":""c34326a9-3d6b-4dd1-b464-2bdb9e8ddda3"",""provenance"":""stm""},{""episode_id"":""dead3408-d2dd-49e0-b659-84a1859717ca"",""provenance"":""stm""}]"
16,1,0,0,1,0,"[{""episode_id"":""dead3408-d2dd-49e0-b659-84a1859717ca"",""provenance"":""stm""}]"
17,2,0,0,2,0,"[{""episode_id"":""c34326a9-3d6b-4dd1-b464-2bdb9e8ddda3"",""provenance"":""stm""},{""episode_id"":""dead3408-d2dd-49e0-b659-84a1859717ca"",""provenance"":""stm""}]"
18,4,0,0,4,0,"[{""episode_id"":""c34326a9-3d6b-4dd1-b464-2bdb9e8ddda3"",""provenance"":""stm""},{""episode_id"":""dead3408-d2dd-49e0-b659-84a1859717ca"",""provenance"":""stm""},{""episode_id"":""78c3de8a-d6ec-4d6b-97e3-d1b661177ad2"",""provenance"":""stm""},{""episode_id"":""a4420934-6231-4ed8-9ef7-b6e044948bf2"",""provenance"":""stm""}]"
19,1,0,0,1,0,"[{""episode_id"":""c34326a9-3d6b-4dd1-b464-2bdb9e8ddda3"",""provenance"":""stm""}]"
20,4,0,0,4,0,"[{""episode_id"":""c34326a9-3d6b-4dd1-b464-2bdb9e8ddda3"",""provenance"":""stm""},{""episode_id"":""dead3408-d2dd-49e0-b659-84a1859717ca"",""provenance"":""stm""},{""episode_id"":""78c3de8a-d6ec-4d6b-97e3-d1b661177ad2"",""provenance"":""stm""},{""episode_id"":""a4420934-6231-4ed8-9ef7-b6e044948bf2"",""provenance"":""stm""}]"
21,3,0,0,3,0,"[{""episode_id"":""c34326a9-3d6b-4dd1-b464-2bdb9e8ddda3"",""provenance"":""stm""},{""episode_id"":""dead3408-d2dd-49e0-b659-84a1859717ca"",""provenance"":""stm""},{""episode_id"":""a4420934-6231-4ed8-9ef7-b6e044948bf2"",""provenance"":""stm""}]"
22,4,0,0,4,0,"[{""episode_id"":""c34326a9-3d6b-4dd1-b464-2bdb9e8ddda3"",""provenance"":""stm""},{""episode_id"":""dead3408-d2dd-49e0-b659-84a1859717ca"",""provenance"":""stm""},{""episode_id"":""a4420934-6231-4ed8-9ef7-b6e044948bf2"",""provenance"":""stm""},{""episode_id"":""5e95fb18-2158-4791-bb21-475ecabe1b56"",""provenance"":""stm""}]"
