turn,estimated_tokens,rule_token_estimate,k_token_estimate,n_token_estimate,total_episodes_in_context
1,182,0,0,0,0
2,332,61,146,0,1
3,186,61,0,0,0
4,401,61,185,0,1
5,373,61,185,0,1
6,972,61,768,0,2
7,967,61,768,0,2
8,969,61,768,0,2
9,966,61,768,0,2
10,174,61,0,0,0
11,970,61,768,0,2
12,2202,61,1991,0,3
13,970,61,768,0,2
14,778,61,582,0,1
15,973,61,768,0,2
16,773,61,582,0,1
17,968,61,768,0,2
18,3533,61,3296,0,4
19,373,61,185,0,1
20,3531,61,3296,0,4
21,1939,61,1726,0,3
22,3418,61,3187,0,4
23,968,61,768,0,2
24,369,61,185,0,1
25,3414,61,3187,0,4
26,971,61,768,0,2
27,376,61,185,0,1
28,1646,61,1460,0,1
29,968,61,768,0,2
30,971,61,768,0,2
31,198,61,0,0,0
32,185,61,0,0,0
33,183,61,0,0,0
34,176,61,0,0,0
35,181,61,0,0,0
36,179,61,0,0,0
37,176,61,0,0,0
38,173,61,0,0,0
39,182,61,0,0,0
40,173,61,0,0,0
41,175,61,0,0,0
42,176,61,0,0,0
43,176,61,0,0,0
44,180,61,0,0,0
45,176,61,0,0,0
46,1416,61,1219,0,1
47,177,61,0,0,0
48,163,61,0,0,0
49,178,61,0,0,0
50,180,61,0,0,0
51,1749,61,1546,0,1
52,178,61,0,0,0
53,1523,61,1332,0,1
54,185,61,0,0,0
55,196,61,0,0,0
56,735,61,529,0,1
57,726,61,529,0,1
58,721,61,529,0,1
59,716,61,529,0,1
60,721,61,529,0,1
61,183,61,0,0,0
62,189,61,0,0,0
63,178,61,0,0,0
64,170,61,0,0,0
65,190,61,0,0,0
66,183,61,0,0,0
67,1863,61,1668,0,1
68,183,61,0,0,0
69,1318,61,1124,0,1
70,174,61,0,0,0
71,179,61,0,0,0
72,174,61,0,0,0
73,179,61,0,0,0
74,174,61,0,0,0
75,171,61,0,0,0
76,1863,61,1668,0,1
77,172,61,0,0,0
78,175,61,0,0,0
79,186,61,0,0,0
80,1862,61,1668,0,1
81,174,61,0,0,0
82,171,61,0,0,0
83,179,61,0,0,0
84,178,61,0,0,0
85,1607,61,1420,0,1
86,1617,61,1420,0,1
87,1612,61,1420,0,1
88,179,61,0,0,0
89,1617,61,1420,0,1
90,1870,61,1668,0,1
91,191,61,0,0,0
92,183,61,0,0,0
93,1126,61,931,0,1
94,179,61,0,0,0
95,173,61,0,0,0
96,180,61,0,0,0
97,1124,61,931,0,1
98,186,61,0,0,0
99,1132,61,931,0,1
100,195,61,0,0,0
101,185,61,0,0,0
102,194,61,0,0,0
103,179,61,0,0,0
104,1170,61,980,0,1
105,1181,61,980,0,1
106,2917,61,2694,0,3
107,1177,61,980,0,1
108,1178,61,980,0,1
109,1127,61,931,0,1
110,1176,61,980,0,1
111,1177,61,980,0,1
112,1380,61,1178,0,3
113,1584,61,1378,0,4
114,323,61,146,0,1
115,696,61,529,0,1
116,811,61,628,0,2
117,3380,61,3142,0,4
118,1103,61,931,0,1
119,1147,61,980,0,1
120,499,61,294,0,2
121,744,61,509,0,1
