turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,39.07711575768042,0.025590424999661212,56,182
2,42.052555625668795,0.023779767605600695,71,332
3,44.88554130886762,0.022278889166530765,120,186
4,50.15934969539236,0.01993646261510165,1086,401
5,49.58631509793425,0.0201668544642806,448,373
6,50.35298433656109,0.01985979606126154,1371,972
7,50.462842608648046,0.01981656102402415,957,967
8,50.3323862278397,0.01986792351694391,944,969
9,50.453632210988616,0.01982017857144889,1008,966
10,50.10564926114978,0.01995782940139179,568,174
11,50.45008047028879,0.019821573933641652,1055,970
12,49.23152377534789,0.020312188681446793,857,2202
13,50.47585833348304,0.01981145111774459,1342,970
14,49.9699466463179,0.020012028571451082,875,778
15,50.372735752566264,0.01985200893022878,1075,973
16,50.24325258752653,0.019903170047718244,838,773
17,49.63255592283713,0.020148065748511575,835,968
18,46.72426284092397,0.021402156806723097,1190,3533
19,48.7706576416523,0.020504131958761117,970,373
20,50.38896490863187,0.01984561504315988,1622,3531
21,49.81894415410704,0.02007268554120011,1238,1939
22,49.73911727830571,0.02010490042283403,1419,3418
23,50.126255369763875,0.01994962505424252,922,968
24,50.151615157989525,0.019939537278106836,676,369
25,50.243032726846515,0.019903257142868825,1190,3414
26,50.259682142367865,0.01989666383419128,965,971
27,50.39522454855066,0.019843149999988628,938,376
28,49.560813402795915,0.020177231391920337,1013,1646
29,50.38623188276942,0.01984669149950802,1047,968
30,48.55713531302535,0.020594295638601073,321,971
31,50.94476161387126,0.019629103529414094,1955,198
32,50.9678280368133,0.019620220019533008,2048,185
33,50.79006044645806,0.01968889170852989,1194,183
34,50.65389742553456,0.019741817526876055,930,176
35,50.34481724723298,0.019863017777762643,630,181
36,50.94368864623351,0.019629516954382028,1622,179
37,50.874237091827716,0.01965631441696129,1415,176
38,50.7632760127425,0.019699280238513014,1174,173
39,50.658991060673394,0.01973983253638663,962,182
40,50.860638091872396,0.019661570076915758,1300,173
41,50.9265891524829,0.019636107908303644,1745,175
42,50.71947098560618,0.01971629397088532,962,176
43,50.645510892787954,0.019745086630025534,1092,176
44,50.72817945512882,0.01971290928909723,1055,180
45,50.76255825523806,0.019699558776607017,1128,176
46,48.76829145078718,0.020505126799636092,1153,1416
47,47.831440168118554,0.020906750800000738,1000,177
48,47.914938990859326,0.020870317714288832,1050,163
