turn,stm_candidates,ltm_candidates,duplicates_removed,final_set_size,ltm_episodes_in_final_set,provenance_list
1,0,0,0,0,0,[]
2,0,0,0,0,0,[]
3,0,0,0,0,0,[]
4,0,0,0,0,0,[]
5,0,0,0,0,0,[]
6,0,0,0,0,0,[]
7,0,0,0,0,0,[]
8,0,0,0,0,0,[]
9,0,0,0,0,0,[]
10,0,0,0,0,0,[]
11,0,0,0,0,0,[]
12,0,0,0,0,0,[]
13,0,0,0,0,0,[]
14,0,0,0,0,0,[]
15,0,0,0,0,0,[]
16,0,0,0,0,0,[]
17,0,0,0,0,0,[]
18,0,0,0,0,0,[]
19,0,0,0,0,0,[]
20,0,0,0,0,0,[]
21,0,0,0,0,0,[]
22,0,0,0,0,0,[]
23,0,0,0,0,0,[]
24,0,0,0,0,0,[]
25,0,0,0,0,0,[]
26,0,0,0,0,0,[]
27,0,0,0,0,0,[]
28,0,0,0,0,0,[]
29,0,0,0,0,0,[]
30,0,0,0,0,0,[]
31,0,0,0,0,0,[]
32,0,0,0,0,0,[]
33,0,0,0,0,0,[]
34,0,0,0,0,0,[]
35,0,0,0,0,0,[]
36,0,0,0,0,0,[]
37,0,0,0,0,0,[]
38,1,0,0,1,0,"[{""episode_id"":""ca5ebcbd-3062-4ef5-88b1-498367d1922a"",""provenance"":""stm""}]"
39,0,0,0,0,0,[]
40,0,0,0,0,0,[]
41,0,0,0,0,0,[]
42,0,0,0,0,0,[]
43,0,0,0,0,0,[]
44,0,0,0,0,0,[]
45,0,0,0,0,0,[]
46,0,0,0,0,0,[]
47,0,0,0,0,0,[]
48,0,0,0,0,0,[]
49,0,0,0,0,0,[]
50,0,0,0,0,0,[]
51,0,0,0,0,0,[]
52,0,0,0,0,0,[]
53,0,0,0,0,0,[]
54,0,0,0,0,0,[]
55,0,0,0,0,0,[]
56,0,0,0,0,0,[]
57,0,0,0,0,0,[]
58,0,0,0,0,0,[]
59,0,0,0,0,0,[]
60,0,0,0,0,0,[]
61,0,0,0,0,0,[]
62,0,0,0,0,0,[]
63,0,0,0,0,0,[]
64,0,0,0,0,0,[]
65,0,0,0,0,0,[]
66,0,0,0,0,0,[]
67,0,0,0,0,0,[]
68,0,0,0,0,0,[]
69,0,0,0,0,0,[]
70,0,0,0,0,0,[]
71,0,0,0,0,0,[]
72,1,0,0,1,0,"[{""episode_id"":""f41007da-b8f5-40ee-80fb-81868064e8cd"",""provenance"":""stm""}]"
73,0,0,0,0,0,[]
74,1,0,0,1,0,"[{""episode_id"":""f77a07fe-90f8-4018-817f-1e5b07145cc3"",""provenance"":""stm""}]"
75,0,0,0,0,0,[]
76,0,0,0,0,0,[]
77,0,0,0,0,0,[]
78,0,0,0,0,0,[]
79,0,0,0,0,0,[]
80,1,0,0,1,0,"[{""episode_id"":""f77a07fe-90f8-4018-817f-1e5b07145cc3"",""provenance"":""stm""}]"
81,0,0,0,0,0,[]
82,0,0,0,0,0,[]
83,0,0,0,0,0,[]
84,0,0,0,0,0,[]
85,0,0,0,0,0,[]
86,1,0,0,1,0,"[{""episode_id"":""f77a07fe-90f8-4018-817f-1e5b07145cc3"",""provenance"":""stm""}]"
87,0,0,0,0,0,[]
88,0,0,0,0,0,[]
89,0,0,0,0,0,[]
90,0,0,0,0,0,[]
91,0,0,0,0,0,[]
92,0,0,0,0,0,[]
93,0,0,0,0,0,[]
94,0,0,0,0,0,[]
95,0,0,0,0,0,[]
96,0,0,0,0,0,[]
97,0,0,0,0,0,[]
98,0,0,0,0,0,[]
99,0,0,0,0,0,[]
100,0,0,0,0,0,[]
101,0,0,0,0,0,[]
102,0,0,0,0,0,[]
103,0,0,0,0,0,[]
104,0,0,0,0,0,[]
105,1,0,0,1,0,"[{""episode_id"":""a4685655-979f-42f4-b8ab-b3db899fe26a"",""provenance"":""stm""}]"
106,2,0,0,2,0,"[{""episode_id"":""a4685655-979f-42f4-b8ab-b3db899fe26a"",""provenance"":""stm""},{""episode_id"":""d3e6b3da-4620-4f2e-86fc-e54ed058bf16"",""provenance"":""stm""}]"
107,1,0,0,1,0,"[{""episode_id"":""386b2581-d71f-4c78-b439-4c5d833bc324"",""provenance"":""stm""}]"
108,1,0,0,1,0,"[{""episode_id"":""386b2581-d71f-4c78-b439-4c5d833bc324"",""provenance"":""stm""}]"
109,2,0,0,2,0,"[{""episode_id"":""386b2581-d71f-4c78-b439-4c5d833bc324"",""provenance"":""stm""},{""episode_id"":""2ff15c80-55e7-45f3-b12e-dca2d72da7b1"",""provenance"":""stm""}]"
110,2,0,0,2,0,"[{""episode_id"":""386b2581-d71f-4c78-b439-4c5d833bc324"",""provenance"":""stm""},{""episode_id"":""2ff15c80-55e7-45f3-b12e-dca2d72da7b1"",""provenance"":""stm""}]"
111,1,0,0,1,0,"[{""episode_id"":""386b2581-d71f-4c78-b439-4c5d833bc324"",""provenance"":""stm""}]"
112,4,0,0,4,0,"[{""episode_id"":""6d0ea22d-290d-471b-8ad8-3a53641c95ca"",""provenance"":""stm""},{""episode_id"":""1f649e85-472b-4779-aa5e-c7ec56886ac8"",""provenance"":""stm""},{""episode_id"":""d5fc76a4-72c0-4b60-b63f-a1177eb9baa6"",""provenance"":""stm""},{""episode_id"":""75526bd5-89be-427c-9f77-ceccd8df8508"",""provenance"":""stm""}]"
113,4,0,0,4,0,"[{""episode_id"":""6d0ea22d-290d-471b-8ad8-3a53641c95ca"",""provenance"":""stm""},{""episode_id"":""1f649e85-472b-4779-aa5e-c7ec56886ac8"",""provenance"":""stm""},{""episode_id"":""d5fc76a4-72c0-4b60-b63f-a1177eb9baa6"",""provenance"":""stm""},{""episode_id"":""0270d00a-eefd-4fcc-8ed5-14e586b53f71"",""provenance"":""stm""}]"
114,1,0,0,1,0,"[{""episode_id"":""557987d6-0a6a-46eb-bc87-5874266508ee"",""provenance"":""stm""}]"
115,0,0,0,0,0,[]
116,0,0,0,0,0,[]
117,1,0,0,1,0,"[{""episode_id"":""0a739806-f547-4ca9-bed6-0280ae50574e"",""provenance"":""stm""}]"
118,0,0,0,0,0,[]
119,1,0,0,1,0,"[{""episode_id"":""386b2581-d71f-4c78-b439-4c5d833bc324"",""provenance"":""stm""}]"
120,2,0,0,2,0,"[{""episode_id"":""557987d6-0a6a-46eb-bc87-5874266508ee"",""provenance"":""stm""},{""episode_id"":""94abc389-bf56-433a-8bb7-d6f1b0726fa9"",""provenance"":""stm""}]"
121,0,0,0,0,0,[]
