turn,estimated_tokens,rule_token_estimate,k_token_estimate,n_token_estimate,total_episodes_in_context
1,182,0,0,0,0
2,333,61,0,146,1
3,472,61,0,256,2
4,622,61,0,381,3
5,1149,61,0,923,4
6,1739,61,0,1497,5
7,2741,61,0,2491,6
8,3610,61,0,3345,7
9,4893,61,0,4618,8
10,6175,61,0,5882,9
11,7205,61,0,6901,10
12,7293,61,0,6993,10
13,7857,61,0,7540,11
14,8164,61,0,7840,11
15,7387,61,0,7067,11
16,8051,61,0,7733,11
17,7507,61,0,7189,11
18,7621,61,0,7298,11
19,7769,61,0,7461,10
20,8095,61,0,7773,11
21,7710,61,0,7395,11
22,8154,61,0,7846,10
23,8120,61,0,7789,12
24,7895,61,0,7596,10
25,8159,61,0,7842,11
26,8120,61,0,7814,10
27,7821,61,0,7510,10
28,8151,61,0,7836,11
29,7976,61,0,7649,12
30,7789,61,0,7471,11
31,8145,61,0,7824,9
32,8048,61,0,7729,10
33,8119,61,0,7817,9
34,8113,61,0,7818,9
35,7912,61,0,7595,10
36,8070,61,0,7757,10
37,8084,61,0,7789,9
38,8147,61,1060,6790,9
39,7956,61,0,7643,10
40,8052,61,0,7754,9
41,8136,61,0,7853,8
42,8118,61,0,7824,9
43,8100,61,0,7805,9
44,8030,61,0,7731,9
45,8152,61,0,7864,8
46,8077,61,0,7791,8
47,7925,61,0,7616,10
48,7959,61,0,7677,9
49,7803,61,0,7505,9
50,8142,61,0,7868,7
51,8142,61,0,7831,9
52,8137,61,0,7864,7
53,8165,61,0,7872,9
54,7990,61,0,7698,8
55,7881,61,0,7578,8
56,8049,61,0,7754,8
57,7901,61,0,7615,8
58,8138,61,0,7827,10
59,8034,61,0,7769,7
60,7772,61,0,7491,8
61,8137,61,0,7860,7
62,8096,61,0,7787,9
63,7988,61,0,7704,8
64,7833,61,0,7568,7
65,7914,61,0,7630,7
66,8070,61,0,7778,8
67,7979,61,0,7667,10
68,7740,61,0,7463,7
69,7741,61,0,7471,7
70,7944,61,0,7676,7
71,8119,61,0,7834,8
72,8138,61,956,6922,6
73,8107,61,0,7834,7
74,8079,61,1744,6036,9
75,8152,61,0,7887,7
76,7730,61,0,7455,7
77,7915,61,0,7646,7
78,7933,61,0,7664,7
79,8011,61,0,7731,7
80,7983,61,1744,5951,8
81,8056,61,0,7788,7
82,8154,61,0,7877,8
83,8167,61,0,7882,8
84,7765,61,0,7507,6
85,7694,61,0,7442,6
86,8057,61,1744,6034,7
87,7760,61,0,7503,6
88,8150,61,0,7876,7
89,8034,61,0,7755,7
90,8083,61,0,7805,7
91,8176,61,0,7866,9
92,8051,61,0,7762,8
93,8093,61,0,7809,8
94,8058,61,0,7784,7
95,7733,61,0,7466,7
96,8121,61,0,7847,7
97,7560,61,0,7303,6
98,7659,61,0,7393,6
99,8038,61,0,7772,6
100,7924,61,0,7633,7
101,8138,61,0,7857,7
102,7727,61,0,7425,8
103,8141,61,0,7863,7
104,8114,61,0,7846,7
105,7720,61,1664,5786,6
106,7836,61,2947,4623,6
107,8143,61,908,6944,8
108,8121,61,908,6921,8
109,7726,61,1760,5664,9
110,7757,61,1760,5719,7
111,7853,61,908,6666,7
112,8052,61,2177,5579,10
113,7607,61,1880,5454,9
114,7571,61,146,7153,8
115,8109,61,0,7852,8
116,7857,61,0,7611,7
117,8113,61,218,7600,8
118,7972,61,0,7709,8
119,7722,61,908,6564,7
120,8058,61,318,7440,9
121,8166,61,0,7850,7
