turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,40.192043325029175,0.02488054642838376,56,182
2,42.07722332050928,0.023765826760545294,71,333
3,40.684662637721885,0.024579287013008756,77,472
4,47.24270277809684,0.021167290209814806,429,622
5,48.120385168240134,0.020781213543984857,443,1149
6,48.832618954714235,0.02047811527223979,753,1739
7,47.53570620813085,0.021036817999959635,650,2741
8,47.97858822713583,0.020842630784922052,981,3610
9,47.256279159840936,0.021161209002883458,1033,4893
10,45.72638970839343,0.021869209582851507,887,6175
11,45.03787970288311,0.022203531929057146,902,7205
12,40.65069228787818,0.024599827056283483,462,7293
13,42.93764493396045,0.02328958659791504,679,7857
14,41.95470738435089,0.02383522761436301,612,8164
15,45.03181341089044,0.022206522994656065,935,7387
16,43.97011536984063,0.022742719494566212,831,8051
17,44.49651242698866,0.022473671428537977,861,7507
18,43.962276154758236,0.02274677490491505,789,7621
19,44.71021728960235,0.02236625229357936,1199,7769
20,42.336692205607655,0.023620173138314906,752,8095
21,43.231543949453275,0.02313125807325339,737,7710
22,42.14491357609165,0.023727655727529808,646,8154
23,43.33006000139415,0.023078666403135027,759,8120
24,42.480938929907516,0.02353996934130799,835,7895
25,40.97357129319481,0.02440597605818381,756,8159
26,39.43802694619602,0.025356238063437266,599,8120
27,42.815430925412265,0.023356065287351093,870,7821
28,43.66025015528835,0.022904128960398888,808,8151
29,44.05919538737156,0.022696737677752155,844,7976
30,42.69577252142129,0.023421522575760415,660,7789
31,43.59772927022474,0.022936974396117332,828,8145
32,44.373613791167024,0.0225359152559952,957,8048
33,43.95138951379181,0.02275240921987695,846,8119
34,44.03615692745829,0.022708611962831398,861,8113
35,44.02817345664212,0.022712729634009818,847,7912
36,42.59073458001083,0.023479285104167504,960,8070
37,40.632016445188505,0.024611133964984804,686,8084
38,41.84338938582526,0.023898637626586648,691,8147
39,43.472518250045205,0.02300303824701851,753,7956
40,44.41323278113125,0.022515812008731893,916,8052
41,44.34225589489912,0.02255185217392231,920,8136
42,43.280883042990595,0.02310488903395772,766,8118
43,44.05699901404036,0.02269786917809163,876,8100
44,44.944801392243086,0.022249514271356588,995,8030
45,44.84792059079744,0.022297577832520392,1015,8152
46,44.269809760571036,0.02258875756205872,886,8077
47,44.15907465159731,0.022645402058120986,826,7925
48,44.19708622592648,0.022625925946525165,898,7959
49,46.03491431670953,0.021722642799337735,1236,7803
50,45.417359852181086,0.022018012567324007,1114,8142
51,44.646874744003036,0.02239798430984959,1007,8142
52,44.35796125383489,0.02254386747572955,1030,8137
53,45.72483634084219,0.021869952525270894,1188,8165
54,44.21370250972079,0.022617422727267432,858,7990
55,43.74703840551322,0.022858690243908603,820,7881
