turn,estimated_tokens,rule_token_estimate,k_token_estimate,n_token_estimate,total_episodes_in_context
1,182,0,0,0,0
2,333,61,0,146,1
3,472,61,0,256,2
4,622,61,0,381,3
5,1149,61,0,923,4
6,1739,61,0,1497,5
7,2741,61,0,2491,6
8,3610,61,0,3345,7
9,4893,61,0,4618,8
10,6175,61,0,5882,9
11,7205,61,0,6901,10
12,7293,61,0,6993,10
13,7857,61,0,7540,11
14,8164,61,0,7840,11
15,7387,61,0,7067,11
16,8051,61,0,7733,11
17,7507,61,0,7189,11
18,8001,61,0,7678,11
19,7716,61,0,7396,11
20,8065,61,0,7781,8
21,8146,61,0,7829,11
22,8068,61,0,7757,10
23,8027,61,0,7712,11
24,8089,61,0,7799,9
25,8007,61,0,7701,10
26,8004,61,0,7686,11
27,8071,61,0,7786,8
28,7647,61,0,7344,10
29,8088,61,0,7798,9
30,7688,61,0,7380,10
31,8072,61,0,7766,8
32,8096,61,0,7789,9
33,8079,61,0,7776,9
34,8107,61,0,7811,9
35,8079,61,0,7802,7
36,8083,61,0,7745,12
37,8114,61,0,7831,8
38,8109,61,0,7802,10
39,8134,61,0,7820,10
40,8042,61,0,7737,10
41,8136,61,0,7827,10
42,8153,61,0,7870,8
43,8002,61,0,7692,10
44,8027,61,0,7740,8
45,8063,61,0,7767,9
46,8000,61,0,7702,9
47,8115,61,0,7816,9
48,8078,61,0,7820,7
49,8115,61,0,7803,10
50,8049,61,0,7774,7
51,7868,61,0,7575,8
52,8064,61,0,7767,9
53,7905,61,0,7621,8
54,8163,61,0,7872,8
55,7745,61,0,7442,8
56,7983,61,0,7674,9
57,7730,61,0,7455,7
58,8080,61,0,7799,8
59,8139,61,0,7863,8
60,8134,61,0,7850,8
61,7856,61,0,7555,9
62,8038,61,0,7754,7
63,7858,61,0,7598,6
64,7942,61,0,7663,8
65,7760,61,0,7475,7
66,8068,61,0,7778,8
67,8082,61,0,7798,8
68,8166,61,0,7852,10
69,8126,61,0,7853,7
70,8103,61,0,7836,7
71,8162,61,0,7889,7
72,7671,61,0,7414,6
73,7977,61,0,7704,7
74,8081,61,0,7798,8
75,8102,61,0,7799,10
76,7907,61,0,7635,7
77,8092,61,0,7826,7
78,7877,61,0,7592,8
79,8125,61,0,7846,7
80,8044,61,0,7773,7
81,7883,61,0,7615,7
82,8124,61,0,7847,8
83,8112,61,0,7838,7
84,8106,61,0,7822,8
85,8124,61,0,7858,7
86,7655,61,0,7381,7
87,8078,61,0,7809,7
88,8141,61,0,7867,7
89,8132,61,0,7858,7
90,8127,61,0,7833,8
91,7997,61,0,7700,8
92,8110,61,0,7821,8
93,8131,61,0,7847,8
94,8100,61,0,7827,7
95,8041,61,0,7774,7
96,7566,61,0,7291,7
97,7397,61,0,7139,6
98,7915,61,0,7634,7
99,8097,61,0,7819,7
100,8068,61,0,7778,7
101,8168,61,0,7875,8
102,8068,61,0,7780,7
103,8025,61,0,7739,8
104,7731,61,0,7460,7
105,8148,61,0,7871,7
106,8012,61,0,7725,8
107,8114,61,0,7815,9
108,7676,61,0,7414,6
109,8020,61,0,7747,7
110,8086,61,0,7813,7
111,8167,61,0,7893,7
112,8069,61,0,7814,7
113,8056,61,0,7797,8
114,8074,61,0,7806,8
115,7652,61,0,7396,8
116,7590,61,0,7342,7
117,8166,61,0,7876,8
118,7793,61,0,7544,7
119,8108,61,0,7838,9
120,8079,61,146,7632,9
121,8114,61,0,7802,7
