0.00.196.791 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.243.413 W srv  llama_server: -----------------
0.00.243.418 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.243.418 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.243.418 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.243.418 W srv  llama_server: -----------------
0.00.252.581 I srv    load_model: loading model 'C:\Users\muzaf\.cache\huggingface\hub\models--unsloth--Qwen3.8-27B-GGUF\snapshots\f1bfb127c64f7072bdd2cad55f258b9c8b2910fe\Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.00.961.811 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.961.823 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.961.836 W model has unused tensor blk.64.attn_q.weight (size = 43253760 bytes) -- ignoring
0.00.961.841 W model has unused tensor blk.64.attn_k.weight (size = 3604480 bytes) -- ignoring
0.00.961.846 W model has unused tensor blk.64.attn_v.weight (size = 4300800 bytes) -- ignoring
0.00.961.862 W model has unused tensor blk.64.attn_output.weight (size = 21626880 bytes) -- ignoring
0.00.961.868 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.961.872 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.961.877 W model has unused tensor blk.64.ffn_gate.weight (size = 47349760 bytes) -- ignoring
0.00.961.882 W model has unused tensor blk.64.ffn_down.weight (size = 61276160 bytes) -- ignoring
0.00.961.886 W model has unused tensor blk.64.ffn_up.weight (size = 61276160 bytes) -- ignoring
0.00.961.893 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.00.961.898 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.961.903 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.961.918 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.06.433.921 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 65536, kv_unified = 'false'
0.06.438.076 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.06.438.092 I srv  llama_server: model loaded
0.06.438.094 I srv  llama_server: listening on http://127.0.0.1:8097
2.41.321.261 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
2.41.321.294 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
2.44.499.531 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.85, t =   3.18 s / 3221.93 tokens per second
2.44.974.297 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  11526, progress = 0.96, t =   3.65 s / 3155.23 tokens per second
2.45.129.132 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12038, progress = 1.00, t =   3.81 s / 3161.39 tokens per second
2.45.288.152 I slot print_timing: id  0 | task 0 | prompt eval time =    3918.17 ms / 12042 tokens (    0.33 ms per token,  3073.38 tokens per second)
2.45.288.158 I slot print_timing: id  0 | task 0 |        eval time =      48.67 ms /     3 tokens (   16.22 ms per token,    61.64 tokens per second)
2.45.288.159 I slot print_timing: id  0 | task 0 |       total time =    3966.84 ms / 12045 tokens
2.45.288.159 I slot print_timing: id  0 | task 0 |    graphs reused =          2
2.45.288.313 I slot      release: id  0 | task 0 | stop processing: n_tokens = 12044, truncated = 0
2.45.314.029 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
2.45.314.233 I slot launch_slot_: id  0 | task 11 | processing task, is_child = 0
2.45.423.548 I slot print_timing: id  0 | task 11 | prompt eval time =      64.67 ms /     4 tokens (   16.17 ms per token,    61.85 tokens per second)
2.45.423.554 I slot print_timing: id  0 | task 11 |        eval time =      44.62 ms /     3 tokens (   14.88 ms per token,    67.23 tokens per second)
2.45.423.555 I slot print_timing: id  0 | task 11 |       total time =     109.30 ms /     7 tokens
2.45.423.555 I slot print_timing: id  0 | task 11 |    graphs reused =          3
2.45.423.679 I slot      release: id  0 | task 11 | stop processing: n_tokens = 12044, truncated = 0
2.45.436.927 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 165233584
2.45.540.693 I slot launch_slot_: id  0 | task 15 | processing task, is_child = 0
2.45.669.705 I slot print_timing: id  0 | task 15 | prompt eval time =      80.95 ms /    13 tokens (    6.23 ms per token,   160.59 tokens per second)
2.45.669.711 I slot print_timing: id  0 | task 15 |        eval time =      48.03 ms /     3 tokens (   16.01 ms per token,    62.46 tokens per second)
2.45.669.712 I slot print_timing: id  0 | task 15 |       total time =     128.99 ms /    16 tokens
2.45.669.712 I slot print_timing: id  0 | task 15 |    graphs reused =          4
2.45.669.734 I slot      release: id  0 | task 15 | stop processing: n_tokens = 15, truncated = 0
2.45.683.509 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 165479640
2.45.720.415 I slot launch_slot_: id  0 | task 20 | processing task, is_child = 0
2.48.890.817 I slot print_timing: id  0 | task 20 | prompt processing, n_tokens =  10240, progress = 0.85, t =   3.17 s / 3229.90 tokens per second
2.49.354.056 I slot print_timing: id  0 | task 20 | prompt processing, n_tokens =  11463, progress = 0.96, t =   3.63 s / 3154.71 tokens per second
2.49.499.194 I slot print_timing: id  0 | task 20 | prompt processing, n_tokens =  11975, progress = 1.00, t =   3.78 s / 3169.03 tokens per second
2.50.387.868 I slot print_timing: id  0 | task 20 | prompt eval time =    3886.03 ms / 11979 tokens (    0.32 ms per token,  3082.58 tokens per second)
2.50.387.874 I slot print_timing: id  0 | task 20 |        eval time =     781.40 ms /    48 tokens (   16.28 ms per token,    61.43 tokens per second)
2.50.387.875 I slot print_timing: id  0 | task 20 |       total time =    4667.43 ms / 12027 tokens
2.50.387.875 I slot print_timing: id  0 | task 20 |    graphs reused =         50
2.50.388.003 I slot      release: id  0 | task 20 | stop processing: n_tokens = 12026, truncated = 0
2.50.402.496 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.445 (> 0.100 thold), f_keep = 0.443
2.50.506.611 I slot launch_slot_: id  0 | task 76 | processing task, is_child = 0
2.53.673.966 I slot print_timing: id  0 | task 76 | prompt processing, n_tokens =  10240, progress = 0.85, t =   3.17 s / 3233.01 tokens per second
2.54.132.000 I slot print_timing: id  0 | task 76 | prompt processing, n_tokens =  11466, progress = 0.96, t =   3.63 s / 3162.72 tokens per second
2.54.278.105 I slot print_timing: id  0 | task 76 | prompt processing, n_tokens =  11978, progress = 1.00, t =   3.77 s / 3175.95 tokens per second
2.57.398.225 I slot print_timing: id  0 | task 76 | n_decoded =    183, tg =  60.73 t/s, tg_3s =  60.73 t/s
2.59.375.562 I slot print_timing: id  0 | task 76 | prompt eval time =    3878.09 ms / 11982 tokens (    0.32 ms per token,  3089.67 tokens per second)
2.59.375.567 I slot print_timing: id  0 | task 76 |        eval time =    4990.84 ms /   304 tokens (   16.42 ms per token,    60.91 tokens per second)
2.59.375.568 I slot print_timing: id  0 | task 76 |       total time =    8868.93 ms / 12286 tokens
2.59.375.568 I slot print_timing: id  0 | task 76 |    graphs reused =        351
2.59.375.693 I slot      release: id  0 | task 76 | stop processing: n_tokens = 12285, truncated = 0
2.59.380.303 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 179185599
2.59.485.384 I slot launch_slot_: id  0 | task 388 | processing task, is_child = 0
2.59.714.464 I slot print_timing: id  0 | task 388 | prompt eval time =     185.63 ms /   442 tokens (    0.42 ms per token,  2381.12 tokens per second)
2.59.714.470 I slot print_timing: id  0 | task 388 |        eval time =      43.43 ms /     3 tokens (   14.48 ms per token,    69.08 tokens per second)
2.59.714.471 I slot print_timing: id  0 | task 388 |       total time =     229.06 ms /   445 tokens
2.59.714.471 I slot print_timing: id  0 | task 388 |    graphs reused =        352
2.59.714.502 I slot      release: id  0 | task 388 | stop processing: n_tokens = 444, truncated = 0
2.59.727.762 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.137 (> 0.100 thold), f_keep = 0.029
2.59.767.616 I slot launch_slot_: id  0 | task 393 | processing task, is_child = 0
2.59.953.810 I slot print_timing: id  0 | task 393 | prompt eval time =      91.82 ms /    95 tokens (    0.97 ms per token,  1034.68 tokens per second)
2.59.953.815 I slot print_timing: id  0 | task 393 |        eval time =      94.36 ms /     6 tokens (   15.73 ms per token,    63.59 tokens per second)
2.59.953.816 I slot print_timing: id  0 | task 393 |       total time =     186.18 ms /   101 tokens
2.59.953.817 I slot print_timing: id  0 | task 393 |    graphs reused =        356
2.59.953.838 I slot      release: id  0 | task 393 | stop processing: n_tokens = 100, truncated = 0
2.59.979.651 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 179763744
3.00.066.091 I slot launch_slot_: id  0 | task 401 | processing task, is_child = 0
3.03.140.121 I slot print_timing: id  0 | task 401 | n_decoded =    184, tg =  61.15 t/s, tg_3s =  61.15 t/s
3.06.148.364 I slot print_timing: id  0 | task 401 | n_decoded =    368, tg =  61.16 t/s, tg_3s =  61.17 t/s
3.09.155.224 I slot print_timing: id  0 | task 401 | n_decoded =    552, tg =  61.17 t/s, tg_3s =  61.19 t/s
3.12.171.255 I slot print_timing: id  0 | task 401 | n_decoded =    734, tg =  60.96 t/s, tg_3s =  60.34 t/s
3.15.171.971 I slot print_timing: id  0 | task 401 | n_decoded =    915, tg =  60.83 t/s, tg_3s =  60.32 t/s
3.18.174.304 I slot print_timing: id  0 | task 401 | n_decoded =   1096, tg =  60.74 t/s, tg_3s =  60.29 t/s
3.21.187.105 I slot print_timing: id  0 | task 401 | n_decoded =   1278, tg =  60.70 t/s, tg_3s =  60.41 t/s
3.24.203.631 I slot print_timing: id  0 | task 401 | n_decoded =   1459, tg =  60.61 t/s, tg_3s =  60.00 t/s
3.27.208.003 I slot print_timing: id  0 | task 401 | n_decoded =   1640, tg =  60.57 t/s, tg_3s =  60.25 t/s
3.30.211.375 I slot print_timing: id  0 | task 401 | n_decoded =   1821, tg =  60.54 t/s, tg_3s =  60.27 t/s
3.31.361.201 I slot print_timing: id  0 | task 401 | prompt eval time =      65.07 ms /     4 tokens (   16.27 ms per token,    61.48 tokens per second)
3.31.361.206 I slot print_timing: id  0 | task 401 |        eval time =   31230.02 ms /  1890 tokens (   16.52 ms per token,    60.52 tokens per second)
3.31.361.207 I slot print_timing: id  0 | task 401 |       total time =   31295.09 ms /  1894 tokens
3.31.361.208 I slot print_timing: id  0 | task 401 |    graphs reused =       2236
3.31.361.333 I slot      release: id  0 | task 401 | stop processing: n_tokens = 13868, truncated = 0
3.31.375.160 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.445 (> 0.100 thold), f_keep = 0.384
3.31.539.458 I slot launch_slot_: id  0 | task 2292 | processing task, is_child = 0
3.32.357.360 I slot print_timing: id  0 | task 2292 | prompt eval time =      65.47 ms /     4 tokens (   16.37 ms per token,    61.10 tokens per second)
3.32.357.365 I slot print_timing: id  0 | task 2292 |        eval time =     752.41 ms /    46 tokens (   16.36 ms per token,    61.14 tokens per second)
3.32.357.366 I slot print_timing: id  0 | task 2292 |       total time =     817.88 ms /    50 tokens
3.32.357.366 I slot print_timing: id  0 | task 2292 |    graphs reused =       2280
3.32.357.493 I slot      release: id  0 | task 2292 | stop processing: n_tokens = 12027, truncated = 0
3.32.388.922 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 212167399
3.32.516.596 I slot launch_slot_: id  0 | task 2339 | processing task, is_child = 0
3.32.621.596 I slot print_timing: id  0 | task 2339 | prompt eval time =      60.59 ms /     4 tokens (   15.15 ms per token,    66.02 tokens per second)
3.32.621.602 I slot print_timing: id  0 | task 2339 |        eval time =      44.38 ms /     3 tokens (   14.79 ms per token,    67.59 tokens per second)
3.32.621.603 I slot print_timing: id  0 | task 2339 |       total time =     104.97 ms /     7 tokens
3.32.621.603 I slot print_timing: id  0 | task 2339 |    graphs reused =       2281
3.32.621.638 I slot      release: id  0 | task 2339 | stop processing: n_tokens = 444, truncated = 0
3.32.633.871 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.137 (> 0.100 thold), f_keep = 0.029
3.32.713.698 I slot launch_slot_: id  0 | task 2343 | processing task, is_child = 0
3.32.870.653 I slot print_timing: id  0 | task 2343 | prompt eval time =      60.50 ms /     4 tokens (   15.13 ms per token,    66.11 tokens per second)
3.32.870.659 I slot print_timing: id  0 | task 2343 |        eval time =      96.43 ms /     6 tokens (   16.07 ms per token,    62.22 tokens per second)
3.32.870.660 I slot print_timing: id  0 | task 2343 |       total time =     156.93 ms /    10 tokens
3.32.870.661 I slot print_timing: id  0 | task 2343 |    graphs reused =       2285
3.32.870.685 I slot      release: id  0 | task 2343 | stop processing: n_tokens = 100, truncated = 0
3.32.883.903 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 212680591
3.32.999.865 I slot launch_slot_: id  0 | task 2350 | processing task, is_child = 0
3.36.080.538 I slot print_timing: id  0 | task 2350 | n_decoded =    183, tg =  60.90 t/s, tg_3s =  60.90 t/s
3.39.094.639 I slot print_timing: id  0 | task 2350 | n_decoded =    367, tg =  60.97 t/s, tg_3s =  61.05 t/s
3.42.111.097 I slot print_timing: id  0 | task 2350 | n_decoded =    551, tg =  60.98 t/s, tg_3s =  61.00 t/s
3.45.111.321 I slot print_timing: id  0 | task 2350 | n_decoded =    732, tg =  60.82 t/s, tg_3s =  60.33 t/s
3.47.155.569 I slot print_timing: id  0 | task 2350 | prompt eval time =      75.79 ms /     4 tokens (   18.95 ms per token,    52.78 tokens per second)
3.47.155.574 I slot print_timing: id  0 | task 2350 |        eval time =   14079.89 ms /   855 tokens (   16.47 ms per token,    60.72 tokens per second)
3.47.155.575 I slot print_timing: id  0 | task 2350 |       total time =   14155.68 ms /   859 tokens
3.47.155.575 I slot print_timing: id  0 | task 2350 |    graphs reused =       3134
3.47.155.697 I slot      release: id  0 | task 2350 | stop processing: n_tokens = 12833, truncated = 0
3.47.188.858 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.445 (> 0.100 thold), f_keep = 0.415
3.47.347.687 I slot launch_slot_: id  0 | task 3206 | processing task, is_child = 0
3.48.161.205 I slot print_timing: id  0 | task 3206 | prompt eval time =      67.88 ms /     4 tokens (   16.97 ms per token,    58.93 tokens per second)
3.48.161.211 I slot print_timing: id  0 | task 3206 |        eval time =     745.62 ms /    46 tokens (   16.21 ms per token,    61.69 tokens per second)
3.48.161.211 I slot print_timing: id  0 | task 3206 |       total time =     813.49 ms /    50 tokens
3.48.161.212 I slot print_timing: id  0 | task 3206 |    graphs reused =       3178
3.48.161.340 I slot      release: id  0 | task 3206 | stop processing: n_tokens = 12027, truncated = 0
3.48.166.278 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 227971245
3.48.294.327 I slot launch_slot_: id  0 | task 3253 | processing task, is_child = 0
3.48.412.103 I slot print_timing: id  0 | task 3253 | prompt eval time =      69.20 ms /     4 tokens (   17.30 ms per token,    57.81 tokens per second)
3.48.412.109 I slot print_timing: id  0 | task 3253 |        eval time =      48.55 ms /     3 tokens (   16.18 ms per token,    61.79 tokens per second)
3.48.412.110 I slot print_timing: id  0 | task 3253 |       total time =     117.75 ms /     7 tokens
3.48.412.111 I slot print_timing: id  0 | task 3253 |    graphs reused =       3179
3.48.412.145 I slot      release: id  0 | task 3253 | stop processing: n_tokens = 444, truncated = 0
3.48.415.060 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.137 (> 0.100 thold), f_keep = 0.029
3.48.493.092 I slot launch_slot_: id  0 | task 3257 | processing task, is_child = 0
3.48.659.110 I slot print_timing: id  0 | task 3257 | prompt eval time =      69.51 ms /     4 tokens (   17.38 ms per token,    57.55 tokens per second)
3.48.659.116 I slot print_timing: id  0 | task 3257 |        eval time =      96.48 ms /     6 tokens (   16.08 ms per token,    62.19 tokens per second)
3.48.659.117 I slot print_timing: id  0 | task 3257 |       total time =     165.99 ms /    10 tokens
3.48.659.118 I slot print_timing: id  0 | task 3257 |    graphs reused =       3183
3.48.659.141 I slot      release: id  0 | task 3257 | stop processing: n_tokens = 100, truncated = 0
3.48.679.559 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 228469047
3.48.790.308 I slot launch_slot_: id  0 | task 3264 | processing task, is_child = 0
3.48.911.484 I slot print_timing: id  0 | task 3264 | prompt eval time =      73.26 ms /     4 tokens (   18.32 ms per token,    54.60 tokens per second)
3.48.911.489 I slot print_timing: id  0 | task 3264 |        eval time =      47.88 ms /     3 tokens (   15.96 ms per token,    62.65 tokens per second)
3.48.911.490 I slot print_timing: id  0 | task 3264 |       total time =     121.15 ms /     7 tokens
3.48.911.491 I slot print_timing: id  0 | task 3264 |    graphs reused =       3184
3.48.911.622 I slot      release: id  0 | task 3264 | stop processing: n_tokens = 11981, truncated = 0
3.48.939.104 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.445 (> 0.100 thold), f_keep = 0.445
3.49.096.350 I slot launch_slot_: id  0 | task 3268 | processing task, is_child = 0
