corpus_id,turn_number,normalized_position,quartile,k_count,overlap_count,k_only_count,n_count,overlap_fraction_exact,overlap_fraction
study_009_arm_s,1,0/1,1,0,0,0,0,,
study_009_arm_s,2,1/120,1,1,1,0,1,1/1,1.0
study_009_arm_s,3,1/60,1,0,0,0,2,,
study_009_arm_s,4,1/40,1,1,1,0,3,1/1,1.0
study_009_arm_s,5,1/30,1,2,2,0,4,1/1,1.0
study_009_arm_s,6,1/24,1,2,2,0,5,1/1,1.0
study_009_arm_s,7,1/20,1,2,2,0,6,1/1,1.0
study_009_arm_s,8,7/120,1,2,2,0,7,1/1,1.0
study_009_arm_s,9,1/15,1,2,2,0,8,1/1,1.0
study_009_arm_s,10,3/40,1,1,1,0,9,1/1,1.0
study_009_arm_s,11,1/12,1,2,2,0,10,1/1,1.0
study_009_arm_s,12,11/120,1,2,2,0,10,1/1,1.0
study_009_arm_s,13,1/10,1,4,3,1,10,3/4,0.75
study_009_arm_s,14,13/120,1,2,2,0,10,1/1,1.0
study_009_arm_s,15,7/60,1,4,3,1,10,3/4,0.75
study_009_arm_s,16,1/8,1,0,0,0,10,,
study_009_arm_s,17,2/15,1,4,4,0,10,1/1,1.0
study_009_arm_s,18,17/120,1,5,3,2,10,3/5,0.6
study_009_arm_s,19,3/20,1,2,2,0,10,1/1,1.0
study_009_arm_s,20,19/120,1,6,4,2,10,2/3,0.6666666666666666
study_009_arm_s,21,1/6,1,5,3,2,10,3/5,0.6
study_009_arm_s,22,7/40,1,7,4,3,10,4/7,0.5714285714285714
study_009_arm_s,23,11/60,1,5,4,1,10,4/5,0.8
study_009_arm_s,24,23/120,1,1,1,0,10,1/1,1.0
study_009_arm_s,25,1/5,1,6,3,3,10,1/2,0.5
study_009_arm_s,26,5/24,1,3,3,0,10,1/1,1.0
study_009_arm_s,27,13/60,1,3,1,2,10,1/3,0.3333333333333333
study_009_arm_s,28,9/40,1,1,1,0,10,1/1,1.0
study_009_arm_s,29,7/30,1,3,3,0,10,1/1,1.0
study_009_arm_s,30,29/120,1,3,3,0,10,1/1,1.0
study_009_arm_s,31,1/4,1,0,0,0,10,,
study_009_arm_s,32,31/120,2,0,0,0,10,,
study_009_arm_s,33,4/15,2,0,0,0,10,,
study_009_arm_s,34,11/40,2,0,0,0,10,,
study_009_arm_s,35,17/60,2,0,0,0,10,,
study_009_arm_s,36,7/24,2,0,0,0,10,,
study_009_arm_s,37,3/10,2,0,0,0,10,,
study_009_arm_s,38,37/120,2,0,0,0,10,,
study_009_arm_s,39,19/60,2,0,0,0,10,,
study_009_arm_s,40,13/40,2,0,0,0,10,,
study_009_arm_s,41,1/3,2,0,0,0,10,,
study_009_arm_s,42,41/120,2,0,0,0,10,,
study_009_arm_s,43,7/20,2,1,0,1,10,0/1,0.0
study_009_arm_s,44,43/120,2,0,0,0,10,,
study_009_arm_s,45,11/30,2,0,0,0,10,,
study_009_arm_s,46,3/8,2,0,0,0,10,,
study_009_arm_s,47,23/60,2,0,0,0,10,,
study_009_arm_s,48,47/120,2,0,0,0,10,,
study_009_arm_s,49,2/5,2,0,0,0,10,,
study_009_arm_s,50,49/120,2,0,0,0,10,,
study_009_arm_s,51,5/12,2,0,0,0,10,,
study_009_arm_s,52,17/40,2,0,0,0,10,,
study_009_arm_s,53,13/30,2,0,0,0,10,,
study_009_arm_s,54,53/120,2,0,0,0,10,,
study_009_arm_s,55,9/20,2,0,0,0,10,,
study_009_arm_s,56,11/24,2,2,1,1,10,1/2,0.5
study_009_arm_s,57,7/15,2,1,0,1,10,0/1,0.0
study_009_arm_s,58,19/40,2,1,0,1,10,0/1,0.0
study_009_arm_s,59,29/60,2,1,0,1,10,0/1,0.0
study_009_arm_s,60,59/120,2,1,0,1,10,0/1,0.0
study_009_arm_s,61,1/2,2,0,0,0,10,,
study_009_arm_s,62,61/120,3,0,0,0,10,,
study_009_arm_s,63,31/60,3,0,0,0,10,,
study_009_arm_s,64,21/40,3,0,0,0,10,,
study_009_arm_s,65,8/15,3,0,0,0,10,,
study_009_arm_s,66,13/24,3,0,0,0,10,,
study_009_arm_s,67,11/20,3,0,0,0,10,,
study_009_arm_s,68,67/120,3,0,0,0,10,,
study_009_arm_s,69,17/30,3,0,0,0,10,,
study_009_arm_s,70,23/40,3,0,0,0,10,,
study_009_arm_s,71,7/12,3,0,0,0,10,,
study_009_arm_s,72,71/120,3,0,0,0,10,,
study_009_arm_s,73,3/5,3,0,0,0,10,,
study_009_arm_s,74,73/120,3,0,0,0,10,,
study_009_arm_s,75,37/60,3,1,0,1,10,0/1,0.0
study_009_arm_s,76,5/8,3,1,0,1,10,0/1,0.0
study_009_arm_s,77,19/30,3,0,0,0,10,,
study_009_arm_s,78,77/120,3,0,0,0,10,,
study_009_arm_s,79,13/20,3,1,0,1,10,0/1,0.0
study_009_arm_s,80,79/120,3,0,0,0,10,,
study_009_arm_s,81,2/3,3,0,0,0,10,,
study_009_arm_s,82,27/40,3,0,0,0,10,,
study_009_arm_s,83,41/60,3,0,0,0,10,,
study_009_arm_s,84,83/120,3,1,0,1,10,0/1,0.0
study_009_arm_s,85,7/10,3,0,0,0,10,,
study_009_arm_s,86,17/24,3,1,0,1,10,0/1,0.0
study_009_arm_s,87,43/60,3,0,0,0,10,,
study_009_arm_s,88,29/40,3,0,0,0,10,,
study_009_arm_s,89,11/15,3,0,0,0,10,,
study_009_arm_s,90,89/120,3,0,0,0,10,,
study_009_arm_s,91,3/4,3,0,0,0,10,,
study_009_arm_s,92,91/120,4,0,0,0,10,,
study_009_arm_s,93,23/30,4,1,0,1,10,0/1,0.0
study_009_arm_s,94,31/40,4,0,0,0,10,,
study_009_arm_s,95,47/60,4,0,0,0,10,,
study_009_arm_s,96,19/24,4,0,0,0,10,,
study_009_arm_s,97,4/5,4,1,0,1,10,0/1,0.0
study_009_arm_s,98,97/120,4,0,0,0,10,,
study_009_arm_s,99,49/60,4,2,0,2,10,0/1,0.0
study_009_arm_s,100,33/40,4,0,0,0,10,,
study_009_arm_s,101,5/6,4,1,1,0,10,1/1,1.0
study_009_arm_s,102,101/120,4,1,0,1,10,0/1,0.0
study_009_arm_s,103,17/20,4,2,0,2,10,0/1,0.0
study_009_arm_s,104,103/120,4,1,0,1,10,0/1,0.0
study_009_arm_s,105,13/15,4,1,0,1,10,0/1,0.0
study_009_arm_s,106,7/8,4,2,0,2,10,0/1,0.0
study_009_arm_s,107,53/60,4,1,0,1,10,0/1,0.0
study_009_arm_s,108,107/120,4,1,0,1,10,0/1,0.0
study_009_arm_s,109,9/10,4,1,0,1,10,0/1,0.0
study_009_arm_s,110,109/120,4,1,0,1,10,0/1,0.0
study_009_arm_s,111,11/12,4,1,0,1,10,0/1,0.0
study_009_arm_s,112,37/40,4,4,4,0,10,1/1,1.0
study_009_arm_s,113,14/15,4,5,5,0,10,1/1,1.0
study_009_arm_s,114,113/120,4,1,1,0,10,1/1,1.0
study_009_arm_s,115,19/20,4,1,0,1,10,0/1,0.0
study_009_arm_s,116,23/24,4,2,1,1,10,1/2,0.5
study_009_arm_s,117,29/30,4,3,0,3,10,0/1,0.0
study_009_arm_s,118,39/40,4,1,0,1,10,0/1,0.0
study_009_arm_s,119,59/60,4,0,0,0,10,,
study_009_arm_s,120,119/120,4,0,0,0,10,,
study_009_arm_s,121,1/1,4,0,0,0,10,,
study_010_arm_s,1,0/1,1,0,0,0,0,,
study_010_arm_s,2,1/999,1,0,0,0,1,,
study_010_arm_s,3,2/999,1,0,0,0,2,,
study_010_arm_s,4,1/333,1,0,0,0,3,,
study_010_arm_s,5,4/999,1,0,0,0,4,,
study_010_arm_s,6,5/999,1,0,0,0,5,,
study_010_arm_s,7,2/333,1,1,1,0,6,1/1,1.0
study_010_arm_s,8,7/999,1,1,1,0,7,1/1,1.0
study_010_arm_s,9,8/999,1,1,1,0,8,1/1,1.0
study_010_arm_s,10,1/111,1,2,2,0,9,1/1,1.0
study_010_arm_s,11,10/999,1,1,1,0,10,1/1,1.0
study_010_arm_s,12,11/999,1,1,1,0,10,1/1,1.0
study_010_arm_s,13,4/333,1,1,1,0,10,1/1,1.0
study_010_arm_s,14,13/999,1,1,1,0,10,1/1,1.0
study_010_arm_s,15,14/999,1,3,2,1,10,2/3,0.6666666666666666
study_010_arm_s,16,5/333,1,3,2,1,10,2/3,0.6666666666666666
study_010_arm_s,17,16/999,1,3,2,1,10,2/3,0.6666666666666666
study_010_arm_s,18,17/999,1,4,2,2,10,1/2,0.5
study_010_arm_s,19,2/111,1,2,1,1,10,1/2,0.5
study_010_arm_s,20,19/999,1,2,1,1,10,1/2,0.5
study_010_arm_s,21,20/999,1,2,1,1,10,1/2,0.5
study_010_arm_s,22,7/333,1,2,1,1,10,1/2,0.5
study_010_arm_s,23,22/999,1,5,2,3,10,2/5,0.4
study_010_arm_s,24,23/999,1,5,2,3,10,2/5,0.4
study_010_arm_s,25,8/333,1,5,2,3,10,2/5,0.4
study_010_arm_s,26,25/999,1,6,2,4,10,1/3,0.3333333333333333
study_010_arm_s,27,26/999,1,3,1,2,10,1/3,0.3333333333333333
study_010_arm_s,28,1/37,1,3,1,2,10,1/3,0.3333333333333333
study_010_arm_s,29,28/999,1,3,1,2,10,1/3,0.3333333333333333
study_010_arm_s,30,29/999,1,3,1,2,10,1/3,0.3333333333333333
study_010_arm_s,31,10/333,1,7,2,5,10,2/7,0.2857142857142857
study_010_arm_s,32,31/999,1,7,2,5,10,2/7,0.2857142857142857
study_010_arm_s,33,32/999,1,7,2,5,10,2/7,0.2857142857142857
study_010_arm_s,34,11/333,1,8,2,6,10,1/4,0.25
study_010_arm_s,35,34/999,1,4,1,3,10,1/4,0.25
study_010_arm_s,36,35/999,1,4,1,3,10,1/4,0.25
study_010_arm_s,37,4/111,1,4,1,3,10,1/4,0.25
study_010_arm_s,38,1/27,1,4,1,3,10,1/4,0.25
study_010_arm_s,39,38/999,1,9,2,7,10,2/9,0.2222222222222222
study_010_arm_s,40,13/333,1,1,1,0,10,1/1,1.0
study_010_arm_s,41,40/999,1,9,2,7,10,2/9,0.2222222222222222
study_010_arm_s,42,41/999,1,10,2,8,10,1/5,0.2
study_010_arm_s,43,14/333,1,5,1,4,10,1/5,0.2
study_010_arm_s,44,43/999,1,5,1,4,10,1/5,0.2
study_010_arm_s,45,44/999,1,5,1,4,10,1/5,0.2
study_010_arm_s,46,5/111,1,5,1,4,10,1/5,0.2
study_010_arm_s,47,46/999,1,11,2,9,10,2/11,0.18181818181818182
study_010_arm_s,48,47/999,1,10,2,8,10,1/5,0.2
study_010_arm_s,49,16/333,1,11,2,9,10,2/11,0.18181818181818182
study_010_arm_s,50,49/999,1,12,2,10,10,1/6,0.16666666666666666
study_010_arm_s,51,50/999,1,6,1,5,10,1/6,0.16666666666666666
study_010_arm_s,52,17/333,1,6,1,5,10,1/6,0.16666666666666666
study_010_arm_s,53,52/999,1,6,1,5,10,1/6,0.16666666666666666
study_010_arm_s,54,53/999,1,6,1,5,10,1/6,0.16666666666666666
study_010_arm_s,55,2/37,1,13,2,11,10,2/13,0.15384615384615385
study_010_arm_s,56,55/999,1,12,2,10,10,1/6,0.16666666666666666
study_010_arm_s,57,56/999,1,13,2,11,10,2/13,0.15384615384615385
study_010_arm_s,58,19/333,1,14,2,12,10,1/7,0.14285714285714285
study_010_arm_s,59,58/999,1,7,1,6,10,1/7,0.14285714285714285
study_010_arm_s,60,59/999,1,7,1,6,10,1/7,0.14285714285714285
study_010_arm_s,61,20/333,1,7,1,6,10,1/7,0.14285714285714285
study_010_arm_s,62,61/999,1,7,1,6,10,1/7,0.14285714285714285
study_010_arm_s,63,62/999,1,15,2,13,10,2/15,0.13333333333333333
study_010_arm_s,64,7/111,1,14,2,12,10,1/7,0.14285714285714285
study_010_arm_s,65,64/999,1,15,2,13,10,2/15,0.13333333333333333
study_010_arm_s,66,65/999,1,16,2,14,10,1/8,0.125
study_010_arm_s,67,22/333,1,8,1,7,10,1/8,0.125
study_010_arm_s,68,67/999,1,8,1,7,10,1/8,0.125
study_010_arm_s,69,68/999,1,8,1,7,10,1/8,0.125
study_010_arm_s,70,23/333,1,8,1,7,10,1/8,0.125
study_010_arm_s,71,70/999,1,17,2,15,10,2/17,0.11764705882352941
study_010_arm_s,72,71/999,1,16,2,14,10,1/8,0.125
study_010_arm_s,73,8/111,1,17,2,15,10,2/17,0.11764705882352941
study_010_arm_s,74,73/999,1,18,2,16,10,1/9,0.1111111111111111
study_010_arm_s,75,2/27,1,2,1,1,10,1/2,0.5
study_010_arm_s,76,25/333,1,9,1,8,10,1/9,0.1111111111111111
study_010_arm_s,77,76/999,1,9,1,8,10,1/9,0.1111111111111111
study_010_arm_s,78,77/999,1,9,1,8,10,1/9,0.1111111111111111
study_010_arm_s,79,26/333,1,19,2,17,10,2/19,0.10526315789473684
study_010_arm_s,80,79/999,1,18,2,16,10,1/9,0.1111111111111111
study_010_arm_s,81,80/999,1,19,2,17,10,2/19,0.10526315789473684
study_010_arm_s,82,3/37,1,20,2,18,10,1/10,0.1
study_010_arm_s,83,82/999,1,0,0,0,10,,
study_010_arm_s,84,83/999,1,0,0,0,10,,
study_010_arm_s,85,28/333,1,1,1,0,10,1/1,1.0
study_010_arm_s,86,85/999,1,1,1,0,10,1/1,1.0
study_010_arm_s,87,86/999,1,11,1,10,10,1/11,0.09090909090909091
study_010_arm_s,88,29/333,1,2,1,1,10,1/2,0.5
study_010_arm_s,89,88/999,1,0,0,0,10,,
study_010_arm_s,90,89/999,1,10,1,9,10,1/10,0.1
study_010_arm_s,91,10/111,1,2,0,2,10,0/1,0.0
study_010_arm_s,92,91/999,1,4,1,3,10,1/4,0.25
study_010_arm_s,93,92/999,1,6,1,5,10,1/6,0.16666666666666666
study_010_arm_s,94,31/333,1,5,1,4,10,1/5,0.2
study_010_arm_s,95,94/999,1,15,1,14,10,1/15,0.06666666666666667
study_010_arm_s,96,95/999,1,6,1,5,10,1/6,0.16666666666666666
study_010_arm_s,97,32/333,1,1,0,1,10,0/1,0.0
study_010_arm_s,98,97/999,1,12,1,11,10,1/12,0.08333333333333333
study_010_arm_s,99,98/999,1,5,0,5,10,0/1,0.0
study_010_arm_s,100,11/111,1,7,0,7,10,0/1,0.0
study_010_arm_s,101,100/999,1,11,1,10,10,1/11,0.09090909090909091
study_010_arm_s,102,101/999,1,9,1,8,10,1/9,0.1111111111111111
study_010_arm_s,103,34/333,1,19,1,18,10,1/19,0.05263157894736842
study_010_arm_s,104,103/999,1,10,1,9,10,1/10,0.1
study_010_arm_s,105,104/999,1,2,0,2,10,0/1,0.0
study_010_arm_s,106,35/333,1,14,1,13,10,1/14,0.07142857142857142
study_010_arm_s,107,106/999,1,8,0,8,10,0/1,0.0
study_010_arm_s,108,107/999,1,10,0,10,10,0/1,0.0
study_010_arm_s,109,4/37,1,16,1,15,10,1/16,0.0625
study_010_arm_s,110,109/999,1,13,1,12,10,1/13,0.07692307692307693
study_010_arm_s,111,110/999,1,23,1,22,10,1/23,0.043478260869565216
study_010_arm_s,112,1/9,1,14,1,13,10,1/14,0.07142857142857142
study_010_arm_s,113,112/999,1,3,0,3,10,0/1,0.0
study_010_arm_s,114,113/999,1,16,1,15,10,1/16,0.0625
study_010_arm_s,115,38/333,1,11,0,11,10,0/1,0.0
study_010_arm_s,116,115/999,1,13,0,13,10,0/1,0.0
study_010_arm_s,117,116/999,1,21,1,20,10,1/21,0.047619047619047616
study_010_arm_s,118,13/111,1,17,1,16,10,1/17,0.058823529411764705
study_010_arm_s,119,118/999,1,27,1,26,10,1/27,0.037037037037037035
study_010_arm_s,120,119/999,1,18,1,17,10,1/18,0.05555555555555555
study_010_arm_s,121,40/333,1,4,0,4,10,0/1,0.0
study_010_arm_s,122,121/999,1,2,0,2,10,0/1,0.0
study_010_arm_s,123,122/999,1,14,0,14,10,0/1,0.0
study_010_arm_s,124,41/333,1,16,0,16,10,0/1,0.0
study_010_arm_s,125,124/999,1,26,1,25,10,1/26,0.038461538461538464
study_010_arm_s,126,125/999,1,20,1,19,10,1/20,0.05
study_010_arm_s,127,14/111,1,31,1,30,10,1/31,0.03225806451612903
study_010_arm_s,128,127/999,1,21,1,20,10,1/21,0.047619047619047616
study_010_arm_s,129,128/999,1,5,0,5,10,0/1,0.0
study_010_arm_s,130,43/333,1,19,1,18,10,1/19,0.05263157894736842
