T4A pre-run gates
T4A graph build c121_l
T4A c121_l E1 depth 1
T4A c121_l E1 depth 2
T4A c121_l E1 depth 3
T4A c121_l E2 depth 1
T4A c121_l E2 depth 2
T4A c121_l E2 depth 3
T4A c121_l E3 depth 1
T4A c121_l E3 depth 2
T4A c121_l E3 depth 3
T4A c121_l E1_E2 depth 1
T4A c121_l E1_E2 depth 2
T4A c121_l E1_E2 depth 3
T4A c121_l E1_E3 depth 1
T4A c121_l E1_E3 depth 2
T4A c121_l E1_E3 depth 3
T4A c121_l E2_E3 depth 1
T4A c121_l E2_E3 depth 2
T4A c121_l E2_E3 depth 3
T4A c121_l E1_E2_E3 depth 1
T4A c121_l E1_E2_E3 depth 2
T4A c121_l E1_E2_E3 depth 3
T4A c121_l E4 depth 1
T4A c121_l E4 depth 2
T4A c121_l E4 depth 3
T4A graph build c1000_l
T4A c1000_l E1 depth 1
T4A c1000_l E1 depth 2
T4A c1000_l E1 depth 3
T4A c1000_l E2 depth 1
T4A c1000_l E2 depth 2
T4A c1000_l E2 depth 3
T4A c1000_l E3 depth 1
T4A c1000_l E3 depth 2
T4A c1000_l E3 depth 3
T4A c1000_l E1_E2 depth 1
T4A c1000_l E1_E2 depth 2
T4A c1000_l E1_E2 depth 3
T4A c1000_l E1_E3 depth 1
T4A c1000_l E1_E3 depth 2
T4A c1000_l E1_E3 depth 3
T4A c1000_l E2_E3 depth 1
T4A c1000_l E2_E3 depth 2
T4A c1000_l E2_E3 depth 3
T4A c1000_l E1_E2_E3 depth 1
T4A c1000_l E1_E2_E3 depth 2
T4A c1000_l E1_E2_E3 depth 3
T4A c1000_l E4 depth 1
T4A c1000_l E4 depth 2
T4A c1000_l E4 depth 3
T4A synthetic incremental-update benchmark
T4A gate result: CLOSED_NOT_RUN_BY_BINDING_GATE
