turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,44.26164305244496,0.022592925409820754,122,182
2,36.121233179018596,0.02768454761895728,42,499
3,40.656529197316814,0.024596295348939833,86,621
4,45.57205613749212,0.021943271485995126,249,798
5,45.36737085823453,0.022042273578621808,299,1144
6,46.21564896817632,0.02163769247703502,545,1579
7,45.44790691484536,0.02200321352254298,599,2326
8,45.23525726425496,0.02210664999998139,650,3151
9,42.28947262628042,0.023646546951227733,492,4043
10,42.891972587755404,0.0233143858784773,609,4707
11,41.11741742694327,0.024320593621347524,486,5456
12,39.71893238609265,0.025176910352961653,425,6126
13,42.54268602216166,0.023505803076916028,780,6734
14,39.26947172487249,0.02546507391304223,506,7833
15,42.73144503598948,0.023401970121950597,984,8558
16,38.860044469077856,0.0257333725079942,622,9887
17,39.79707175030561,0.02512747687252444,761,10753
18,38.818428836268296,0.025760960192847727,726,11629
19,38.33627045068913,0.02608495788045611,736,12599
20,36.47059995915651,0.027419346024466332,654,13596
21,39.012092031837035,0.025633078051387728,934,14379
22,35.00412239945403,0.028568063743703433,593,14735
23,36.885212906845226,0.027111135362713826,772,15206
24,37.563088576255,0.026621879028130197,782,14664
25,36.95602570299098,0.02705918672199285,723,14640
26,34.854577687796265,0.028690635960570907,609,15354
27,34.14241235805707,0.02928908448274938,580,15256
28,37.50323226916153,0.026664368362251493,806,15214
29,38.27968595771589,0.026123516298033625,859,14637
30,33.99895628905842,0.029412667597735084,537,14725
31,38.07351212211389,0.02626497909603614,885,15423
32,37.172667083022304,0.026901486454188953,753,14780
33,33.187628929577286,0.03013170968380889,506,15343
34,36.86381506192628,0.027126872200290003,759,15041
35,37.303952421325874,0.026806810943398086,795,15344
