turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,37.14857514206195,0.026918932857474178,70,182
2,38.74173571247283,0.02581195657885952,76,433
3,38.03037481457279,0.02629477108431789,83,592
4,43.95060336334589,0.0227528161953286,389,767
5,43.55531686049214,0.02295930949608297,516,1287
6,44.05251498584954,0.02270017955436183,763,2018
7,43.29775688189384,0.023095884683536058,790,3111
8,41.38693613193656,0.02416221381578285,608,4168
9,42.797520429758016,0.02336583965515626,1044,5008
10,40.37650329874304,0.024766879702312682,739,6349
11,40.30880608515876,0.024808474800452812,877,7273
