turn,estimated_tokens,rule_token_estimate,k_token_estimate,n_token_estimate,total_episodes_in_context
1,182,0,0,0,0
2,499,147,0,211,1
3,621,147,0,290,2
4,798,147,0,426,3
5,1144,147,0,773,4
6,1579,147,0,1177,5
7,2326,147,0,1900,6
8,3151,147,0,2696,7
9,4043,147,0,3562,8
10,4707,147,0,4194,9
11,5456,147,0,4916,10
12,6126,147,0,5563,11
13,6734,147,0,6139,12
14,7833,147,0,7204,13
15,8558,147,0,7905,14
16,9887,147,0,9208,15
17,10753,147,0,10049,16
18,11629,147,0,10889,17
19,12599,147,0,11837,18
20,13596,147,0,12799,19
21,14379,147,0,13562,20
22,14735,147,0,13912,20
23,15206,147,0,14361,21
24,14664,147,0,13851,20
25,14640,147,0,13821,20
26,15354,147,0,14506,21
27,15256,147,0,14407,21
28,15214,147,0,14370,21
29,14637,147,0,13819,20
30,14725,147,0,13904,20
31,15423,147,0,14551,21
32,14780,147,0,13948,20
33,15343,147,0,14485,21
34,15041,147,0,14191,21
35,15344,147,0,14489,21
