turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,40.78170914945177,0.024520796721278246,122,182
2,32.92959816553451,0.030367816666728772,42,499
3,37.33807000011515,0.02678231627925375,86,621
4,41.618479487583684,0.02402778795170392,249,798
5,41.501257321508305,0.024095655518411082,299,1144
6,42.44871015821692,0.02355784183483434,545,1579
7,41.90276935963268,0.023864771118525568,599,2326
8,41.363716157999896,0.02417577753846462,650,3151
9,39.449217403321846,0.02534904532518798,492,4043
10,39.68617269421271,0.025197693103467908,609,4707
11,37.577714831559724,0.02661151707820583,486,5456
12,36.30602603916393,0.027543636941186646,425,6126
13,38.99340991873726,0.025645359102576877,780,6734
14,35.980866143380965,0.027792549407095354,506,7833
15,42.16557924182754,0.023716026626002494,984,8558
16,35.77474453954522,0.027952680385868452,622,9887
17,36.511177810725975,0.027388872667543133,761,10753
18,35.6041660640851,0.02808660082643327,726,11629
19,35.06135692204495,0.02852142894022583,736,12599
20,33.61329213891384,0.029750135626920873,654,13596
21,35.62567801072472,0.028069641220553356,934,14379
22,32.03706246198538,0.031213848060713516,593,14735
23,34.18977599597993,0.02924850985035939,802,15206
24,34.08786430427497,0.029335953437088447,771,14769
25,33.233503083680375,0.030090117117116653,666,15222
26,33.06302660079604,0.03024526496240134,665,14796
27,30.764635323892964,0.032504854664191736,536,15304
28,33.65387744487094,0.029714258086252294,742,15093
29,33.61347690575387,0.02974997209612739,749,15371
30,33.87562791795935,0.029519748015352495,781,15383
31,34.00254818795627,0.02940956055623504,791,15328
32,35.27924900659682,0.028345274578067445,948,15222
33,30.938688320502656,0.03232199082393914,534,15055
34,32.426673364981944,0.030838809419159077,637,15057
35,30.331929053464545,0.03296855924452912,503,15092
