turn,live_chars,arm_l_target_chars,signed_error,absolute_percentage_error,n_candidate_count,n_delivered_count,k_candidate_count,k_delivered_count,k_only_delivered_count,skipped_k_count
112,59030,60244,-1214,0.020151384370227742,32,20,5,5,0,0
113,59508,61481,-1973,0.03209121517216701,32,21,6,6,0,0
114,59915,56969,2946,0.05171233477856378,32,22,1,1,0,0
115,60557,57355,3202,0.05582773951704298,32,23,0,0,0,0
116,60351,60541,-190,0.003138369039163542,32,22,3,1,0,2
117,60117,63655,-3538,0.05558086560364465,32,25,3,1,0,2
118,59895,58500,1395,0.023846153846153847,32,24,1,0,0,1
119,59428,57268,2160,0.03771739889641685,32,25,1,0,0,1
120,59709,59309,400,0.006744338970476656,32,25,3,3,0,0
121,60018,60620,-602,0.009930715935334873,32,25,0,0,0,0
