turn,selected_source_turns,selected_count,civil_engineering_count,renaissance_art_count,monetary_policy_count,marine_biology_count,probe_count,k_candidate_count,k_only_delivered_count,skipped_k_source_turns
112,111;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,20,19,0,0,1,0,5,0,
113,112;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;111,21,19,0,0,1,1,6,0,
114,113;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;111;112,22,19,0,0,1,2,1,0,
115,114;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;111;112;113,23,19,0,0,1,3,0,0,
116,115;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;111;112,22,19,0,0,1,2,3,0,32;58
117,116;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;112;115;113;114;33,25,19,1,0,0,5,3,0,32;60
118,117;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;33;112;113;114,24,19,1,0,0,4,1,0,100
119,118;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;33;112;113;114;115,25,19,1,0,0,5,1,0,100
120,119;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;33;112;113;114;115,25,19,1,0,0,5,3,0,
121,120;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;33;112;113;114;115,25,19,1,0,0,5,0,0,
