question,turn,domain,item,matching_source_turns,matching_source_domains,registered_plant_turn_selected,probe_derived_only
Q11,120,civil,Halcyon Crossing,3;4;5;6;8;9;12;14;16;17;18;19;112;113,civil_engineering;probe,True,False
Q11,120,civil,847,3;4;5;6;7;11;13;14;15;16;17;18;19;112,civil_engineering;probe,True,False
Q11,120,civil,Dr. Anara Bekova,3;5;8;12;17;113,civil_engineering;probe,True,False
Q11,120,civil,S460ML,4;5;7;8;9;10;12;13;17;18;112,civil_engineering;probe,True,False
Q11,120,civil,92.4,4;5;7;8;10;13;14;17;113,civil_engineering;probe,True,False
Q11,120,art,The Annunciation of Forli,115,probe,False,True
Q11,120,art,Melozzo da Forli,,,False,False
Q11,120,art,Cardinal Giuliano della Rovere,,,False,False
Q11,120,art,1483,,,False,False
Q11,120,monetary,Taylor Rule,,,False,False
Q11,120,monetary,Federal Reserve,,,False,False
Q11,120,monetary,Dr. Priya Mehta,,,False,False
Q11,120,monetary,2.3%,,,False,False
Q11,120,marine,Vampyroteuthis infernalis,119,probe,False,True
Q11,120,marine,Dr. Kenji Watanabe,,,False,False
Q11,120,marine,600,,,False,False
Q11,120,marine,marine snow,,,False,False
Q14,121,civil,Halcyon Crossing,3;4;5;6;8;9;12;14;16;17;18;19;112;113;120,civil_engineering;probe,True,False
Q14,121,civil,847,3;4;5;6;7;11;13;14;15;16;17;18;19;112;120,civil_engineering;probe,True,False
Q14,121,civil,Dr. Anara Bekova,3;5;8;12;17;113;120,civil_engineering;probe,True,False
Q14,121,civil,S460ML,4;5;7;8;9;10;12;13;17;18;112;120,civil_engineering;probe,True,False
Q14,121,civil,92.4,4;5;7;8;10;13;14;17;113;120,civil_engineering;probe,True,False
Q14,121,art,The Annunciation of Forli,115;120,probe,False,True
Q14,121,art,Melozzo da Forli,,,False,False
Q14,121,art,Cardinal Giuliano della Rovere,,,False,False
Q14,121,art,1483,,,False,False
Q14,121,monetary,Taylor Rule,,,False,False
Q14,121,monetary,Federal Reserve,,,False,False
Q14,121,monetary,Dr. Priya Mehta,,,False,False
Q14,121,monetary,2.3%,,,False,False
Q14,121,marine,Vampyroteuthis infernalis,120,probe,False,True
Q14,121,marine,Dr. Kenji Watanabe,,,False,False
Q14,121,marine,600,,,False,False
Q14,121,marine,marine snow,,,False,False
