turn,live_chars,arm_l_target_chars,signed_error,absolute_percentage_error,n_candidate_count,n_delivered_count,k_candidate_count,k_delivered_count,k_only_delivered_count,skipped_k_count
112,60052,60244,-192,0.00318703937321559,32,16,5,2,0,1
113,59740,61481,-1741,0.02831769164457312,32,16,6,4,1,2
114,60093,56969,3124,0.05483684108901332,32,15,1,1,1,0
115,59708,57355,2353,0.04102519396739604,32,15,1,0,0,0
116,59949,60541,-592,0.009778497216762194,32,16,4,3,0,1
117,60251,63655,-3404,0.05347576781085539,32,15,3,0,0,2
118,60348,58500,1848,0.03158974358974359,32,16,0,0,0,0
119,59724,57268,2456,0.04288607948592582,32,17,0,0,0,0
120,60285,59309,976,0.01645618708796304,32,17,3,0,0,2
121,58317,60620,-2303,0.037990762124711315,32,15,0,0,0,0
