turn,selected_source_turns,selected_count,civil_engineering_count,renaissance_art_count,monetary_policy_count,marine_biology_count,probe_count,k_candidate_count,k_only_delivered_count,skipped_k_source_turns
112,111;83;89;96;103;2;4;7;9;27;36;39;42;49;68;73,16,5,4,4,3,0,5,0,5
113,112;78;84;90;97;104;3;10;12;20;28;30;37;47;64;69;4,17,7,2,5,2,1,6,1,5;9
114,113;74;79;91;98;105;13;14;18;22;32;45;50;53;58;1,16,5,5,2,3,1,1,1,
115,114;61;65;70;85;92;106;16;19;34;40;48;51;54;62,15,2,5,5,2,1,1,0,
116,115;66;80;86;99;100;107;6;15;21;23;33;55;56;59;94,16,4,4,3,4,1,4,0,37
117,116;63;71;75;81;93;108;24;25;26;29;43;44;46;57,15,4,4,4,2,1,3,0,59;115
118,117;52;67;76;87;101;102;109;5;8;11;17;31;35;38;41,16,4,5,3,3,1,0,0,
119,118;60;72;77;82;88;95;110;2;7;9;27;36;39;42;49;3,17,5,5,4,2,1,0,0,
120,119;68;73;83;89;96;103;111;4;10;12;20;28;30;37;90;112,17,6,1,5,3,2,3,0,2;114
121,120;47;64;69;78;84;97;104;1;13;14;18;22;32;113,15,5,2,4,2,2,0,0,
