question,turn,domain,item,matching_source_turns,matching_source_domains,registered_plant_turn_selected,probe_derived_only
Q11,120,civil,Halcyon Crossing,4;12;20;28;30;112,civil_engineering;probe,False,False
Q11,120,civil,847,4;20;28;30;112,civil_engineering;probe,False,False
Q11,120,civil,Dr. Anara Bekova,12;30,civil_engineering,False,False
Q11,120,civil,S460ML,4;10;12;20;30;112,civil_engineering;probe,True,False
Q11,120,civil,92.4,4;10;20;30,civil_engineering,True,False
Q11,120,art,The Annunciation of Forli,,,False,False
Q11,120,art,Melozzo da Forli,,,False,False
Q11,120,art,Cardinal Giuliano della Rovere,,,False,False
Q11,120,art,1483,,,False,False
Q11,120,monetary,Taylor Rule,90,monetary_policy,False,False
Q11,120,monetary,Federal Reserve,68;73;90,monetary_policy,False,False
Q11,120,monetary,Dr. Priya Mehta,90,monetary_policy,False,False
Q11,120,monetary,2.3%,90,monetary_policy,False,False
Q11,120,marine,Vampyroteuthis infernalis,103;111;119,marine_biology;probe,False,False
Q11,120,marine,Dr. Kenji Watanabe,111,marine_biology,False,False
Q11,120,marine,600,111,marine_biology,False,False
Q11,120,marine,marine snow,111,marine_biology,False,False
Q14,121,civil,Halcyon Crossing,14;18;22;113;120,civil_engineering;probe,False,False
Q14,121,civil,847,13;14;18;22;120,civil_engineering;probe,False,False
Q14,121,civil,Dr. Anara Bekova,113;120,probe,False,True
Q14,121,civil,S460ML,13;18;120,civil_engineering;probe,False,False
Q14,121,civil,92.4,13;14;22;113;120,civil_engineering;probe,False,False
Q14,121,art,The Annunciation of Forli,,,False,False
Q14,121,art,Melozzo da Forli,,,False,False
Q14,121,art,Cardinal Giuliano della Rovere,,,False,False
Q14,121,art,1483,,,False,False
Q14,121,monetary,Taylor Rule,120,probe,False,True
Q14,121,monetary,Federal Reserve,64;69;84,monetary_policy,False,False
Q14,121,monetary,Dr. Priya Mehta,120,probe,False,True
Q14,121,monetary,2.3%,120,probe,False,True
Q14,121,marine,Vampyroteuthis infernalis,104;120,marine_biology;probe,False,False
Q14,121,marine,Dr. Kenji Watanabe,120,probe,False,True
Q14,121,marine,600,104;120,marine_biology;probe,False,False
Q14,121,marine,marine snow,104,marine_biology,False,False
