turn,estimated_tokens,rule_token_estimate,k_token_estimate,n_token_estimate,total_episodes_in_context
1,182,0,0,0,0
2,499,147,0,211,1
3,621,147,0,290,2
4,798,147,0,426,3
5,1144,147,0,773,4
6,1579,147,0,1177,5
7,2326,147,0,1900,6
8,3151,147,0,2696,7
9,4043,147,0,3562,8
10,4707,147,0,4194,9
11,5456,147,0,4916,10
12,6126,147,0,5563,11
13,6734,147,0,6139,12
14,7833,147,0,7204,13
15,8558,147,0,7905,14
16,9887,147,0,9208,15
17,10753,147,0,10049,16
18,11629,147,0,10889,17
19,12599,147,0,11837,18
20,13596,147,0,12799,19
21,14379,147,0,13562,20
22,14735,147,0,13912,20
23,15206,147,0,14361,21
24,14664,147,0,13851,20
25,14640,147,0,13821,20
26,15354,147,0,14506,21
27,15256,147,0,14407,21
28,15214,147,0,14370,21
29,14637,147,0,13819,20
30,14725,147,0,13904,20
31,15423,147,0,14551,21
32,14780,147,0,13948,20
33,15343,147,0,14485,21
34,15041,147,0,14191,21
35,15344,147,0,14489,21
36,15341,147,0,14487,21
37,14903,147,0,14080,20
38,15302,147,0,14455,21
39,15024,147,0,14168,21
40,15015,147,0,14167,21
41,15149,147,0,14299,21
42,15337,147,0,14487,21
43,14977,147,0,14127,21
44,15367,147,0,14512,21
45,15265,147,0,14414,21
46,15127,147,0,14273,21
47,15277,147,0,14425,21
48,15113,147,0,14276,21
49,15322,147,0,14470,21
50,14967,147,0,14140,20
51,15248,147,0,14388,21
52,14742,147,0,13917,20
53,15237,147,0,14389,21
54,15084,147,0,14224,21
55,14777,147,0,13934,20
56,14942,147,0,14079,21
57,15004,147,0,14149,21
58,15020,147,0,14171,21
59,15150,147,0,14307,21
60,14986,147,0,14137,21
61,15259,147,0,14402,21
62,15238,147,0,14374,21
63,14841,147,0,14017,20
64,15280,147,0,14435,21
65,14813,147,0,13976,20
66,14796,147,0,13966,20
67,15238,147,0,14386,21
68,15386,147,0,14529,21
69,14920,147,0,14096,20
70,15279,147,0,14459,20
71,14857,147,0,14031,20
72,14911,147,0,14090,20
73,15353,147,0,14499,21
74,15221,147,0,14373,21
75,15169,147,0,14323,21
76,15036,147,0,14184,21
77,15254,147,0,14407,21
78,15005,147,0,14155,21
79,15242,147,0,14382,21
80,14790,147,0,13966,20
81,15314,147,0,14465,21
82,15314,147,0,14468,21
83,15231,147,0,14378,21
84,14737,147,0,13912,20
85,14737,147,0,13920,20
86,15285,147,0,14431,21
87,15080,147,0,14258,20
88,15167,147,0,14313,21
89,15380,147,0,14526,21
90,15157,147,0,14298,21
91,15026,147,0,14160,21
92,15232,147,0,14375,21
93,15359,147,0,14506,21
94,15142,147,0,14289,21
95,15172,147,0,14325,21
96,14870,147,0,14044,20
97,15389,147,0,14538,21
98,14843,147,0,14034,19
99,15038,147,0,14207,20
100,15191,147,0,14349,20
101,14810,147,0,13949,21
102,15148,147,0,14279,21
103,15049,147,0,14195,21
104,15096,147,0,14248,21
105,15139,147,0,14281,21
106,15169,147,0,14314,21
107,15258,147,0,14403,21
108,15266,147,0,14411,21
109,15052,147,0,14198,21
110,15347,147,0,14493,21
111,15016,147,0,14161,21
112,14994,147,0,14187,20
113,15104,147,0,14279,21
114,15216,147,0,14353,22
115,15366,147,0,14485,23
116,15317,147,0,14462,22
117,15289,147,0,14319,25
118,15205,147,0,14292,24
119,15084,147,0,14147,25
120,15179,147,0,14217,25
121,15297,147,0,14295,25
