turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,42.27597346596791,0.02365409754088805,122,182
2,34.214865772754685,0.029227061904661934,42,499
3,38.42547934550045,0.026024398837254794,86,621
4,42.65944533069802,0.023441467469817134,249,798
5,42.338640361519936,0.023619086287637713,299,1144
6,43.2717330175212,0.023109774678890003,545,1579
7,43.13880789336213,0.023180983639417452,599,2326
8,42.513182340432174,0.023522115846146614,650,3151
9,40.83588940821394,0.02448826300814829,492,4043
10,41.17389659330549,0.02428723251232411,609,4707
11,38.74613149571854,0.025809028189317438,486,5456
12,37.52985720907688,0.026645451764685704,425,6126
13,40.34216569879973,0.024787960256426,780,6734
14,36.98232447347034,0.027039944466372322,506,7833
15,40.24604205129752,0.024847163821113197,984,8558
16,36.91213274506043,0.027091363344043554,622,9887
17,37.60588354078322,0.02659158370565897,761,10753
18,36.89700572874825,0.02710247024790013,726,11629
19,36.093213135678646,0.02770603980978036,736,12599
20,34.677296498774155,0.028837311467903793,654,13596
21,36.687612910620935,0.02725715631693507,934,14379
22,33.01952607728062,0.030285110623924406,593,14735
23,34.93290533705175,0.02862630492229186,772,15206
24,35.44081971368105,0.028216051662427404,782,14664
25,34.86633234370044,0.028680963347172288,723,14640
26,32.92356559080398,0.030373380952375163,609,15354
27,32.44719521071444,0.030819304827610753,580,15256
28,35.277022888875564,0.02834706327543714,806,15214
29,36.01472249990865,0.027766422467993095,859,14637
30,32.2375076100963,0.031019767783996278,537,14725
31,35.832480263883696,0.027907641129936538,885,15423
32,35.086429501400666,0.02850104767599905,753,14780
33,31.22603953013008,0.03202455434782556,506,15343
34,34.88366577818918,0.028666711989461968,759,15041
35,35.22468084833381,0.02838918553458808,795,15344
36,37.28527585864467,0.026820238739581375,1079,15341
37,35.71547320768716,0.02799906903612764,830,14903
38,31.800135201535,0.03144640718231065,543,15302
39,31.47642476554572,0.03176980891090928,505,15024
40,33.99864368143898,0.029412938038641062,673,15015
41,36.434774851962196,0.027446306559134534,930,15149
42,30.76484831219989,0.032504629629636336,486,15337
43,36.06364729845601,0.027728753881275145,876,14977
44,34.40650613040249,0.02906427046704326,728,15367
45,33.170506580400996,0.030147263430425154,618,15265
46,34.50679998731292,0.028979795297381067,723,15127
47,32.99284909454534,0.030309598214278758,616,15277
48,35.13146429034264,0.028464512373738208,792,15113
49,37.318653897280896,0.026796250549456762,1092,15322
50,34.60986417034399,0.028893496809989386,721,14967
51,35.89380344161245,0.027859962002262453,879,15248
52,35.10605366083697,0.028485115691472992,752,14742
53,32.32279444965807,0.030937919107132724,560,15237
54,36.034892000452835,0.027750881006870603,874,15084
55,31.46006888857511,0.031786325819621944,488,14777
56,31.40315044896736,0.031843938767388336,503,14942
57,32.04141568182996,0.03120960727609423,536,15004
58,33.938483942392345,0.029465075744025983,672,15020
