turn,estimated_tokens,rule_token_estimate,k_token_estimate,n_token_estimate,total_episodes_in_context
1,182,0,0,0,0
2,499,147,0,211,1
3,621,147,0,290,2
4,798,147,0,426,3
5,1144,147,0,773,4
6,1579,147,0,1177,5
7,2326,147,0,1900,6
8,3151,147,0,2696,7
9,4043,147,0,3562,8
10,4707,147,0,4194,9
11,5456,147,0,4916,10
12,6126,147,0,5563,11
13,6734,147,0,6139,12
14,7833,147,0,7204,13
15,8558,147,0,7905,14
16,9887,147,0,9208,15
17,10753,147,0,10049,16
18,11629,147,0,10889,17
19,12599,147,0,11837,18
20,13596,147,0,12799,19
21,14379,147,0,13562,20
22,14735,147,0,13912,20
23,15206,147,0,14361,21
24,14769,147,0,13955,20
25,15222,147,0,14378,21
26,14796,147,0,13975,20
27,15304,147,0,14459,21
28,15093,147,0,14249,21
29,15371,147,0,14529,21
30,15383,147,0,14535,21
31,15328,147,0,14459,21
32,15222,147,0,14389,20
33,15055,147,0,14228,20
34,15057,147,0,14235,20
35,15092,147,0,14267,20
36,14990,147,0,14164,20
37,15171,147,0,14378,19
38,15350,147,0,14585,18
39,15357,147,0,14531,20
40,15280,147,0,14515,18
41,15316,147,0,14469,21
42,15341,147,0,14628,16
43,15175,147,0,14355,20
44,15214,147,0,14414,19
45,15292,147,0,14471,20
46,15333,147,0,14535,19
47,15340,147,0,14546,19
48,15023,147,0,14272,18
49,15281,147,0,14483,19
50,15338,147,0,14542,19
51,15051,147,0,14304,17
52,15350,147,0,14635,16
53,15078,147,0,14288,19
54,15192,147,0,14474,16
55,15385,147,0,14624,17
56,15177,147,0,14372,19
57,15243,147,0,14529,16
58,15040,147,0,14273,18
59,15272,147,0,14541,17
60,15381,147,0,14645,17
61,15306,147,0,14504,19
62,15342,147,0,14619,16
63,15390,147,0,14679,16
64,15355,147,0,14540,20
65,15125,147,0,14371,17
66,15406,147,0,14717,15
67,15308,147,0,14542,18
68,15267,147,0,14522,17
69,15289,147,0,14548,17
70,15339,147,0,14632,16
71,14928,147,0,14215,16
72,15190,147,0,14481,16
73,15392,147,0,14593,19
74,15162,147,0,14427,17
75,14749,147,0,14127,13
76,15336,147,0,14623,16
77,15383,147,0,14622,18
78,15039,147,0,14300,17
79,15308,147,0,14616,15
80,15272,147,0,14589,15
81,15159,147,0,14450,16
82,15339,147,0,14634,16
83,15334,147,0,14590,17
84,15386,147,0,14702,15
85,14818,147,0,14141,15
86,15225,147,0,14539,15
87,15155,147,0,14420,17
88,15216,147,0,14527,15
89,14831,147,0,14118,16
90,14832,147,0,14196,13
91,15046,147,0,14321,16
92,15086,147,0,14397,15
93,14675,147,0,13964,16
94,14876,147,0,14160,16
95,15369,147,0,14690,15
96,15255,147,0,14569,15
97,15037,147,0,14382,14
98,15257,147,0,14537,16
99,15345,147,0,14628,16
100,15356,147,0,14624,16
101,15302,147,0,14610,15
102,15408,147,0,14708,15
103,15381,147,0,14695,15
104,15369,147,0,14689,15
105,15046,147,0,14301,17
106,15042,147,0,14355,15
107,15390,147,0,14700,15
108,15375,147,0,14715,14
109,15301,147,0,14616,15
110,15399,147,0,14712,15
111,15404,147,0,14689,16
112,15249,147,0,14556,16
113,15162,147,347,14093,17
114,15261,147,211,14341,16
115,15154,147,0,14497,15
116,15216,147,0,14529,16
117,15322,147,0,14633,15
118,15319,147,0,14628,16
119,15158,147,0,14446,17
120,15323,147,0,14585,17
121,14872,147,0,14146,15
